No	pt_word	pt_word_art	pt_ipa_PT	pt_ipa_BR	pt_type_gender	pt_notes	en_word	en_ipa_US	en_ipa_UK	en_type	en_marker	en_notes	es_word	es_ipa_ES	es_ipa_LA	es_type_gender	es_marker	es_notes	image	fr_word	fr_word_art	fr_ipa	fr_type_gender	fr_notes	de_word	de_word_art	de_ipa	de_type_gender	de_notes	val_word	val_ipa	cat_ipa	val_type_gender	val_notes	it_word	it_ipa	it_type_gender	it_notes	en_pron	pt_pron	es_pron	fr_pron	de_pron	it_pron	val_pron	tags
21	vinte e um		/ˈvĩtɨ ɨ ˈũ/	/ˈvĩtʃi i ˈũ/	numeral		twenty-one	/ˈtwɛnti wʌn/		numeral			veintiuno						21	vingt et un		/vɛ̃teœ̃/			einundzwanzig		/ˈaɪ̯nʊntˈt͡svantsɪç/			vint-i-un	/bim.diˈun/				ventuno	/venˈtu.no/										Numbers Numbers::00_to_100 Numbers::ordinal
22	vinte e dois		/ˈvĩtɨ ɨ ˈdojʃ/	/ˈvĩtʃi i ˈdojs/	numeral		twenty-two	/ˈtwɛnti tuː/		numeral			veintidós						22	vingt-deux		/vɛ̃tdø/			zweiundzwanzig		/t͡svaɪ̯ʊntˈt͡svantsɪç/			vint-i-dos	/bim.diˈðos/				ventidue	/venˈti.dwe/										Numbers Numbers::00_to_100 Numbers::ordinal
23	vinte e três		/ˈvĩtɨ ɨ ˈtɾɛʃ/	/ˈvĩtʃi i ˈtɾejs/	numeral		twenty-three	/ˈtwɛnti θriː/		numeral			veintitrés						23	vingt-trois		/vɛ̃tʁwa/			dreiundzwanzig		/dʁaɪ̯ʊntˈt͡svantsɪç/			vint-i-tres	/bim.diˈtɾes/				ventitré	/venˈti.tre/										Numbers Numbers::00_to_100 Numbers::ordinal
24	vinte e quatro		/ˈvĩtɨ ɨ ˈkwatɾu/	/ˈvĩtʃi i ˈkwatɾu/	numeral		twenty-four	/ˈtwɛnti fɔːr/		numeral			veinticuatro						24	vingt-quatre		/vɛ̃katʁ/			vierundzwanzig		/fɪɐ̯ʊntˈt͡svantsɪç/			vint-i-quatre	/bim.diˈkwa.tɾe/				ventiquattro	/venˈti.kwat.tro/										Numbers Numbers::00_to_100 Numbers::ordinal
25	vinte e cinco		/ˈvĩtɨ ɨ ˈsĩku/	/ˈvĩtʃi i ˈsĩku/	numeral		twenty-five	/ˈtwɛnti faɪv/		numeral			veinticinco						25	vingt-cinq		/vɛ̃sɛ̃k/			fünfundzwanzig		/ˈfʏnfʊntˈt͡svantsɪç/			vint-i-cinc	/bim.diˈsiŋk/				venticinque	/ven.tiˈtʃiŋ.kwe/										Numbers Numbers::00_to_100 Numbers::ordinal
26	vinte e seis		/ˈvĩtɨ ɨ ˈsejʃ/	/ˈvĩtʃi i ˈsejs/	numeral		twenty-six	/ˈtwɛnti sɪks/		numeral			veintiséis						26	vingt-six		/vɛ̃sis/			sechsundzwanzig		/zɛksʊntˈt͡svantsɪç/			vint-i-sis	/bim.diˈsis/				ventisei	/venˈti.sɛi/										Numbers Numbers::00_to_100 Numbers::ordinal
27	vinte e sete		/ˈvĩtɨ ɨ ˈsɛtɨ/	/ˈvĩtʃi i ˈsɛtʃi/	numeral		twenty-seven	/ˈtwɛnti ˈsɛvən/		numeral			veintisiete						27	vingt-sept		/vɛ̃sɛt/			siebenundzwanzig		/ˈziːbn̩ʊntˈt͡svantsɪç/			vint-i-set	/bim.diˈset/				ventisette	/venˈti.set.te/										Numbers Numbers::00_to_100 Numbers::ordinal
28	vinte e oito		/ˈvĩtɨ ɨ ˈojtu/	/ˈvĩtʃi i ˈojtu/	numeral		twenty-eight	/ˈtwɛnti eɪt/		numeral			veintiocho						28	vingt-huit		/vɛ̃ɥit/			achtundzwanzig		/axtʊntˈt͡svantsɪç/			vint-i-vuit	/bim.diˈbɥit/				ventotto	/venˈtɔt.to/										Numbers Numbers::00_to_100 Numbers::ordinal
29	vinte e nove		/ˈvĩtɨ ɨ ˈnɔvɨ/	/ˈvĩtʃi i ˈnɔvi/	numeral		twenty-nine	/ˈtwɛnti naɪn/		numeral			veintinueve						29	vingt-neuf		/vɛ̃nœf/			neunundzwanzig		/nɔʏ̯nʊntˈt͡svantsɪç/			vint-i-nou	/bim.diˈnɔw/				ventinove	/venˈti.nɔ.ve/										Numbers Numbers::00_to_100 Numbers::ordinal
31	trinta e um		/ˈtɾĩtɐ i ˈũ/	/ˈtɾĩtɐ i ˈũ/	numeral		thirty-one	/ˈθɜːrti wʌn/		numeral			treinta y uno						31	trente et un		/tʁɑ̃teœ̃/			einunddreißig		/aɪ̯nʊntˈdʁaɪ̯sɪç/			trenta-i-un	/tɾen.taˈjun/				trentuno	/trenˈtu.no/										Numbers Numbers::00_to_100 Numbers::ordinal
