PT - Apesar de não ter dinheiro, fui de férias.	Apesar de não ter dinheiro, fui de férias.	[sound:_pt_apesar_de_não_ter_dinheiro,_fui_de_férias..mp3]	/ɐpɨˈzaɾ dɨ ˈnɐ̃w̃ ˈteɾ diˈɲɐjɾu, ˈfuj dɨ ˈfɛɾiɐʃ./	Português		A pesar de no tener dinero, me fui de vacaciones.	Portugues::Frases
PT - bem-te-vi	bem-te-vi	[sound:_pt_bem-te-vi.mp3]	/bɐ̃j̃tɨˈvi/	Português		bien te vi	Portugues::Frases
PT - como disse?	como disse?	[sound:_pt_como_disse_.mp3]	/ˈkɔmu ˈdisɨ?/	Português		¿cómo dijiste?	Portugues::Frases
PT - como já disse	como já disse	[sound:_pt_como_já_disse.mp3]	/ˈkɔmu ˈʒa ˈdisɨ/	Português		como ya dije	Portugues::Frases
PT - Ele sempre quis ser ator	Ele sempre quis ser ator	[sound:_pt_ele_sempre_quis_ser_ator.mp3]	/ˈelɨ ˈsẽpɾɨ ˈkiʃ ˈseɾ ɐˈtoɾ/	Português		Él siempre quiso ser actor	Portugues::Frases
PT - enquanto estive lá	enquanto estive lá	[sound:_pt_enquanto_estive_lá.mp3]	/ẽˈkwɐ̃tu ˈʃtivɨ ˈla/	Português		mientras estuve allí	Portugues::Frases
PT - estive doente	estive doente	[sound:_pt_estive_doente.mp3]	/ˈʃtivɨ duˈẽtɨ/	Português		estuve enfermo	Portugues::Frases
PT - Eu disse que . . .	Eu disse que . . .	[sound:_pt_eu_disse_que_._._..mp3]	/ˈew ˈdisɨ kɨ . . ./	Português		Yo dije que...	Portugues::Frases
PT - eu estive presente	eu estive presente	[sound:_pt_eu_estive_presente.mp3]	/ˈew ˈʃtivɨ pɾɨˈzẽtɨ/	Português		yo estuve presente	Portugues::Frases
PT - eu pus	eu pus	[sound:_pt_eu_pus.mp3]	/ˈew ˈpuʃ/	Português		yo puse	Portugues::Frases
PT - Fui à serra do Marão.	Fui à serra do Marão.	[sound:_pt_fui_à_serra_do_marão..mp3]	/ˈfuj ˈa ˈsɛʁɐ du mɐˈɾɐ̃w̃./	Português		Fui a la sierra del Marão.	Portugues::Frases
PT - não deu em nada	não deu em nada	[sound:_pt_não_deu_em_nada.mp3]	/ˈnɐ̃w̃ ˈdew ˈɐ̃j̃ ˈnadɐ/	Português		no resultó en nada	Portugues::Frases
PT - Não fiz por mal	Não fiz por mal	[sound:_pt_não_fiz_por_mal.mp3]	/ˈnɐ̃w̃ ˈfiʃ puɾ ˈmaɫ/	Português		No lo hice con mala intención	Portugues::Frases
PT - Não tive mas quis muito ter	Não tive mas quis muito ter	[sound:_pt_não_tive_mas_quis_muito_ter.mp3]	/ˈnɐ̃w̃ ˈtivɨ ˈmaʃ ˈkiʒ ˈmũjtu ˈteɾ/	Português		No lo tuve, pero quise mucho tenerlo	Portugues::Frases
PT - No fim tudo dá certo, e se não deu certo é porque ainda não chegou ao fim.	No fim tudo dá certo, e se não deu certo é porque ainda não chegou ao fim.	[sound:_pt_no_fim_tudo_dá_certo,_e_se_não_deu_certo_é_porque_ainda_não_chegou_ao_fim..mp3]	/nu ˈfĩ ˈtudu ˈda ˈsɛɾtu, i sɨ ˈnɐ̃w̃ ˈdew ˈsɛɾtu ˈɛ puɾkɨ ˈaĩdɐ ˈnɐ̃w̃ ʃɨˈɡo ɐu ˈfĩ./	Português		Al final todo sale bien, y si no salió bien es porque aún no ha llegado el final.	Portugues::Frases
PT - O que foi que você disse?	O que foi que você disse?	[sound:_pt_o_que_foi_que_você_disse_.mp3]	/u kɨ ˈfoj kɨ vuˈse ˈdisɨ?/	Português		¿Qué fue lo que dijiste?	Portugues::Frases
PT - O senhor o que está aqui a fazer? Sou ex-aluno, vim visitar a escola	O senhor o que está aqui a fazer? Sou ex-aluno, vim visitar a escola	[sound:_pt_o_senhor_o_que_está_aqui_a_fazer__sou_ex-aluno,_vim_visitar_a_escola.mp3]	/u sɨˈɲɔɾ u kɨ ˈʃta ɐˈki ɐ fɐˈzeɾ? ˈso iʃɐˈlunu, ˈvĩ viziˈtaɾ ɐ ˈʃkɔlɐ/	Português		¿Qué está haciendo usted aquí? Soy exalumno, vine a visitar la escuela	Portugues::Frases
