carro	<img src="pt_carro.JPG">	carro	o carro	/u ˈkaʁu/	/u ˈkaʁu/	sm			car	/ˈkʰɑːr/	/ˈkʰɑː/	n			coche, carro	/ˈkoʧe, ˈkaro/	/ˈkoʧe, ˈkaro/				voiture		/vwatyːʁ/				Auto		/ˈaʊ̯to/				cotxe						auto	/ˈau̯to/											Portugues::Curso::1A2 Portugues::Vocabulario::Cidade::Transporte Vocabulary::Transport
balcão (café)	<img src="_balcao_restaurante.JPG">	balcão, balcões	o balcão, os balcões	/u baɫˈkɐ̃w̃, uʒ baɫˈkõj̃ʃ/	/u bawˈkɐ̃w̃, uʒ bawˈkõj̃s/	sm, smp			bar counter	/bɑːr ˈkʰaʊntə˞/	/ˈbɑː ˈkʰaʊntə/	n			la barra	/la ˈβara/	/la ˈβara/				comptoir (café)		/kɔ̃twaːʁ (kafe) /				Bar (Café)		/ˈbaːɐ̯ (kaˈfeː) /				mostrador (cafè)						bancone (caffè)	/banˈkone (kafˈfɛ) /											Portugues::Curso::1A2 Portugues::Falso_Amigo Portugues::Vocabulario::Actividades::No_Restaurante Portugues::Vocabulario::Cidade::Locais Vocabulary::City
bar		bar	o bar	/u ˈbaɾ/	/u ˈbaʁ/	sm			bar	/ˈbɑːr/	/ˈbɑː/	n			bar	/ˈbaɾ/	/ˈbaɾ/				bar		/baːʁ/				Bar		/ˈbaːɐ̯/				bar						bar	/bar/											Português::Curso::A1 Português::Vocabulario::Cidade::Locais Português::Vocabulario::Trabalho::Workplace
banco		banco	o banco	/u ˈbɐ̃ku/	/u ˈbɐ̃ku/	sm			bank	/ˈbæŋk/	/ˈbæŋk/	n			banco	/ˈbanko/	/ˈbanko/				banque		/bɑ̃ːk/				Bank		/ˈbaŋk/				banc						banca	/ˈbanka/											Português::Curso::A1 Português::Vocabulario::Cidade::Locais Português::Vocabulario::Trabalho::Workplace
barco	<img src="pt_barco.JPG">	barco	o barco	/u ˈbaɾku/	/u ˈbaʁku/	sm			boat	/ˈboʊt/	/ˈbəʊt/	n			barco	/ˈbaɾko/	/ˈbaɾko/				bateau		/bato/				Boot		/ˈboːt/				vaixell						barca	/ˈbarka/											Portugues::Curso::1A2 Portugues::Vocabulario::Cidade::Transporte Vocabulary::Transport
autocarro	<img src="pt_autocarro.JPG">	autocarro	o autocarro	/u ɐwtuˈkaʁu/	/u awtoˈkaʁu/	sm			bus (PT)	/ˈbəs/	/ˈbʌs/	n			autobús (PT)	/awtoˈβus/	/awtoˈβus/				autobus		/ɔtɔbys/				Bus		/ˈbʊs/				autobús						autobus	/ˈau̯tobus/											Portugues::Curso::1A2 Portugues::Vocabulario::Cidade::Transporte Vocabulary::Transport
paragem de autocarros	<img src="pt_paragem_de_autocarros.JPG">	paragem de autocarros	a paragem de autocarros	/ɐ pɐˈɾaʒɐ̃j̃ dɨ ɐwtuˈkaʁuʃ/	/a paˈɾaʒẽj̃ dʒi awtoˈkaʁus/	exp	Lugar onde eles param para descida e/ou subida de passageiros.		bus stop (PT)	/ˈbəs ˈstɑp/	/ˈbʌs ˈstɒp/	n			parada de autobús (PT)	/paˈɾaða ðe awtoˈβus/	/paˈɾaða ðe awtoˈβus/				arrêt de bus		/aʁɛ də bys/				Bushaltestelle		/ˈbʊshaltəʃtɛlə/				parada d'autobús						fermata dell'autobus	/ferˈmata dellˈau̯tobus/											Portugues::Curso::1A2 Portugues::Vocabulario::Cidade
A padaria portuguesa	<img src="_padaria_portuguesa.JPG">	A padaria portuguesa	A padaria portuguesa	/ɐ pɐdɐˈɾiɐ puɾtuˈɡezɐ/	/a padaˈɾiɐ poʁtuˈɡezɐ/		<a href="https://apadariaportuguesa.pt/">https://apadariaportuguesa.pt/</a>		The Portuguese bakery	/ðə ˌpɔːrtʃəˈɡiːz ˈbeɪkə˞ri/	/ðə ˌpɔːtʃəˈɡiːz ˈbeɪkᵊri/	n	La panadería portuguesa		La panadería portuguesa	/la panaðɛˈɾia poɾtuˈɣesa/	/la panaðɛˈɾia poɾtuˈɣesa/				La boulangerie portugaise		/la bulɑ̃ʒʁi pɔʁtyɡɛːz/				Die portugiesische Bäckerei		/ˈdiː pɔrtuˈɡiːzɪʃə bɛkəˈraɪ̯/				La fleca portuguesa						La panetteria portoghese	/la panetteˈria portoˈɡeze/											Portugues::Curso::1A2 Lugares::Portugal Portugues::Vocabulario::Cidade::Locais
aldeia	<img src="_aldeia_Alegrete.JPG">	aldeia	a aldeia	/ɐ aɫˈdɐjɐ/	/a awˈdejɐ/	sf	Povoação rural com poucos habitantes, inferior à&nbsp;vila,		village	/ˈvɪlɪdʒ/	/ˈvɪlɪdʒ/	n			pueblo muy pequeñito, aldea	/ˈpweβlo muj pekeˈɲito, alˈdea/	/ˈpweβlo muj pekeˈɲito, alˈdea/				village		/vilaːʒ/				Dorf		/ˈdɔrf/				alqueria						paese	/paˈeze/											Portugues::Vocabulario::Cidade Portugues::Vocabulario::Locais::Assentamentos Vocabulary::Places Vocabulary::Places::Human
bicicleta	<img src="pt_bicicleta.JPG">	bicicleta	a bicicleta	/ɐ bisiˈklɛtɐ/	/a bisiˈklɛtɐ/	sf			bicycle	/ˈbaɪsɪkəl/	/ˈbaɪsɪkᵊl/	n			bicicleta	/biθiˈklɛta/	/bisiˈklɛta/				bicyclette		/bisiklɛt/				Fahrrad		/ˈfaːɐ̯raːt/				bicicleta						bicicletta	/bitʃiˈkletta/											Portugues::Curso::1A2 Portugues::Vocabulario::Cidade::Transporte Vocabulary::Transport
