cozinhar	<img src="_38_Cooking_Breakfast_Fried_Egg_Orange_Juice.JPG">	cozinhar	cozinhar	/kuziˈɲaɾ/	/koziˈɲaʁ/	v			cook	/ˈkʰʊk/	/ˈkʰʊk/	v			cocinar	/koθiˈnaɾ/	/kosiˈnaɾ/	v			cuisiner		/kɥizine/		v		kochen		/ˈkɔxn̩/				cuina						cucinare	/kutʃiˈnare/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
penteio o meu cabelo	<img src="_pentear_o_cabelo_peinar_comb.JPG">	penteio o meu cabelo	penteio o meu cabelo	/pẽˈtɐju u ˈmew kɐˈbɛlu/	/pẽˈteju u ˈmew kaˈbɛlu/	exp			comb my hair	/ˈkʰoʊm ˈmaɪ ˈhɛr/	/ˈkʰəʊm maɪ ˈheə/				me peino	/ˈpejno mi kaˈβeʎo, me ˈpejno/	/ˈpejno mi kaˈβeʎo, me ˈpejno/	v			je me coiffe		/ʒə mə kwaf/		v		ich kämme mich		/ˈɪç ˈkɛmə ˈmɪç/				em pentine els cabells						pettino i miei capelli	/petˈtino i ˈmjɛi̯ kaˈpelli/											Portugues::Curso::1A2 Portugues::Vocabulario::Pessoas::Cuidado_Pessoal Portugues::Vocabulario::Pessoas::Cuidado_Pessoal::Cabelo Vocabulary::Activities
table football	<img src="_table_football.JPG">	matraquilhos	os matraquilhos	/uʒ mɐtɾɐˈkiʎuʃ/	/uʒ matɾaˈkiʎus/	smp			table football	/ˈtʰeɪbəl ˈfʊtˌbɔːl/	/ˈtʰeɪbᵊl ˈfʊtbɔːl/	n			futbolín, futbolito	/futβoˈlin, futβoˈlito/	/futβoˈlin, futβoˈlito/	sm			baby-foot		/babifut/		nm		Tischfußball		/ˈtɪʃ ˈfuːsbal/				futbolí						football da tavolo	/football da ˈttavolo/											English::Curso::1C1 English::Curso::1C1::U01 English::Vocabulary Vocabulary::Activities::Games
acampar		acampar	acampar	/ɐkɐ̃ˈpaɾ/	/akɐ̃ˈpaʁ/	v			camp	/ˈkʰæmp/	/ˈkʰæmp/	v			acampar	/akamˈpaɾ/	/akamˈpaɾ/	v			camper		/kɑ̃pe/		v		zelten		/ˈtsɛltn̩/				acampar						campeggiare	/kampedˈdʒare/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
andar de bicicleta		andar de bicicleta	andar de bicicleta	/ɐ̃ˈdaɾ dɨ bisiˈklɛtɐ/	/ɐ̃ˈdaʁ dʒi bisiˈklɛtɐ/	v			to ride a bike	/tə ˈraɪd ə ˈbaɪk/	/tə ˈraɪd ə ˈbaɪk/	v			andar en bicicleta	/anˈdaɾ ɛm biθiˈklɛta/	/anˈdaɾ ɛm bisiˈklɛta/	v			faire du vélo		/fɛʁ dy velo/		v		Fahrrad fahren		/ˈfaːɐ̯raːt ˈfaːrən/				anar en bicicleta						andare in bicicletta	/anˈdare im bitʃiˈkletta/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities Vocabulary::Activities::Fun
arranjar-se		arranjar-se	arranjar-se	/ɐʁɐ̃ˈʒaɾsɨ/	/aʁɐ̃ˈʒaʁsi/	v pron	vestir-se bem		get ready	/ˈɡɛt ˈrɛdi/	/ˈɡet ˈredi/	v			arreglarse	/areˈɣlaɾse/	/areˈɣlaɾse/	v			se préparer		/sə pʁepaʁe/		v		sich bereit machen		/ˈzɪç bəˈraɪ̯t ˈmaxn̩/				arreglar-se						prepararsi	/prepaˈrarsi/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
assistir a bailados		assistir a bailados	assistir a bailados	/ɐsiˈʃtiɾ ɐ bɐjˈladuʃ/	/asisˈtʃiʁ a bajˈladus/	v			attend ballets	/əˈtʰɛnd bæˈleɪz/	/əˈtʰend ˈbæleɪz/	v			asistir a ballets	/asisˈtiɾ a ˈβalɛts/	/asisˈtiɾ a ˈβalɛts/	v			assister à des ballets		/asiste a de balɛ/		v		Ballette besuchen		/baˈlɛtə bəˈzuːxn̩/				assistir a ballets						assistere a balletti	/asˈsistere a bbalˈletti/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
assistir a concertos		assistir a concertos	assistir a concertos	/ɐsiˈʃtiɾ ɐ kõˈsɛɾtuʃ/	/asisˈtʃiʁ a kõˈsɛʁtus/	v			attend concerts	/əˈtʰɛnd ˈkʰɑːnsə˞ts/	/əˈtʰend ˈkʰɒnsɜːts/	v			asistir a conciertos	/asisˈtiɾ a konˈθjɛɾtos/	/asisˈtiɾ a konˈsjɛɾtos/	v			assister à des concerts		/asiste a de kɔ̃sɛːʁ/		v		Konzerte besuchen		/kɔnˈtsɛrtə bəˈzuːxn̩/				assistir a concerts						assistere a concerti	/asˈsistere a kkonˈtʃɛrti/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities Vocabulary::Activities::Fun
cantar		cantar	cantar	/kɐ̃ˈtaɾ/	/kɐ̃ˈtaʁ/	v			to sing	/tə ˈsɪŋ/	/tə ˈsɪŋ/	v			cantar	/kanˈtaɾ/	/kanˈtaɾ/	v			chanter		/ʃɑ̃te/		v		singen		/ˈzɪŋən/				cantar						cantare	/kanˈtare/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
jantar com amigos		jantar com amigos	jantar com amigos	/ʒɐ̃ˈtaɾ ˈkõ ɐˈmiɡuʃ/	/ʒɐ̃ˈtaʁ ˈkõ ɐˈmiɡus/	v			dine with friends	/ˈdaɪn ˈwɪθ ˈfrɛndz/	/ˈdaɪn wɪð ˈfrendz/	v			cenar con amigos	/θeˈnaɾ kon aˈmiɣos/	/seˈnaɾ kon aˈmiɣos/	v			dîner avec des amis		/dine avɛk de‿ zami/		v		mit Freunden essen		/ˈmɪt ˈfrɔɪ̯ndən ˈɛsn̩/				sopar amb amics						cenare con amici	/tʃeˈnare ˈkon aˈmitʃi/											Portugues::Curso::1A2 Portugues::Verbos Portugues::Vocabulario::Pessoas::Tempo_livre Vocabulary::Activities
