bem-disposto, bem-disposta	<img src="_bem-disposta_acordar.JPG">	bem-disposto, bem-disposta	bem-disposto, bem-disposta	/bɐ̃j-dɨʃ.ˈpoʃ.tu/ ,  /bɐ̃j-dɨʃ.ˈpoʃ.tɐ/	/ bẽdʒisˈpɔstu | bẽdʒisˈpɔstɐ /	adj m, adj f	<div>1.&nbsp;Que&nbsp;tem&nbsp;boa&nbsp;disposição&nbsp;ou&nbsp;bom&nbsp;humor.</div><div>2.&nbsp;Que&nbsp;está&nbsp;bem&nbsp;de&nbsp;saúde.</div>		good-spirited	/ˈɡʊdˈspɪrətəd/	/ˈɡʊdˈspɪrɪtɪd/				con ánimos (salud), alegre							de bonne humeur						fröhlich						bendispost						ben disposto											Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Carácter Português::Vocabulario::Corpo_Saude Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
cabeça	<img src="_cabeça_judith.JPG">	cabeça	a cabeça	/ɐ kɐˈbɛsɐ/	/a kaˈbɛsɐ/	sf			head						cabeza						tête						Kopf						cap						capo												Português::Curso::A1 Português::Vocabulario::Corpo::Partes_do_Corpo
orelha	<img src="_en_ears.JPG">	orelha	a orelha	/ɐ oˈɾɐʎɐ/	/a oˈɾeʎɐ/	sf			ear						oreja						oreille						Ohr						orella						orecchio												Português::Curso::A1 Português::Vocabulario::Corpo_Saude
perna	<img src="_pernas_piernas_legs.JPG">	perna	a perna	/ɐ ˈpɛɾnɐ/	/a ˈpɛʁnɐ/	sf			leg						pierna						jambe						Bein						cama						gamba												Português::Curso::A1 Português::Vocabulario::Corpo::Pernas Português::Vocabulario::Corpo_Saude
costas	<img src="_costas_espalda_back.JPG">	costas	as costas	/ɐʃ ˈkɔʃtɐʃ/	/aʃ ˈkɔstas/	sfp			back						espalda						dos						Rücken						esquena						schiena												Português::Curso::A1 Português::Vocabulario::Corpo_Saude
nariz	<img src="_nariz.JPG">	nariz	o nariz	/u nɐˈɾiʃ/	/u naˈɾiʃ/	sm			nose						nariz						nez						Nase						nas						naso												Português::Curso::A1 Português::Vocabulario::Corpo::Rostro Português::Vocabulario::Corpo_Saude
dentes	<img src="_en_teeth.JPG">	dentes	os dentes	/uʒ ˈdẽtɨʃ/	/uʒ ˈdẽtes/	smp			teeth						dientes						dents						Zähne						dents						denti												Português::Curso::A1 Português::Vocabulario::Corpo_Saude
testa	<img src="_testa_frente.JPG">	testa	a testa	/ɐ ˈtɛʃtɐ/	/a ˈtɛstɐ/	sf			forehead						frente						front						Stirn						front						front												Português::Curso::A1 Português::Vocabulario::Corpo_Saude
olhos	<img src="Olhos_Verdes.jpg">	olhos	os olhos	/uz ˈɔʎuʃ/	/uz ˈɔʎus/	smp			eyes						ojos						yeux						Augen						ulls						occhi												Português::Curso::A1 Português::Vocabulario::Corpo::Rostro Português::Vocabulario::Corpo_Saude
olho	<img src="_olho_ojo_azul.JPG">	olho	o olho	/u ˈɔʎu/	/u ˈɔʎu/	sm			eye						ojo						œil						Auge						ull						occhio												Português::Curso::A1 Português::Vocabulario::Corpo::Rostro Português::Vocabulario::Corpo_Saude
boca	<img src="_boca_mouth.JPG">	boca	a boca	/ɐ ˈbɔkɐ/	/a ˈbɔkɐ/	sf			mouth						boca						bouche						Mund						boca						bocca												Português::Curso::A1 Português::Vocabulario::Corpo::Partes_do_Corpo Português::Vocabulario::Corpo::Rostro
orelhas	<img src="noise baby cover ears sorolls.JPG">	orelhas	as orelhas	/ɐz oˈɾɐʎɐʃ/	/az oˈɾeʎas/	sfp			ears						orejas						oreilles						Ohren						orelles						orecchie												Português::Curso::A1 Português::Vocabulario::Corpo::Cabeça Português::Vocabulario::Corpo_Saude
cotovelo	<img src="_codo_cotovelo_elbow.JPG">	cotovelo	o cotovelo	/u kutuˈvɛlu/	/u kotoˈvɛlu/	sm			elbow						codo						coude						Ellenbogen						colze						gomito												Português::Curso::A1 Português::Vocabulario::Corpo Português::Vocabulario::Corpo::Braço Português::Vocabulario::Pessoas::Partes_do_Corpo
mão	<img src="hand mano.JPG">	mão	a mão	/ɐ ˈmɐ̃w̃/	/a ˈmɐ̃w̃/	sf			hand						mano						main						Hand						mà						mano												Português::Curso::A1 Português::Vocabulario::Corpo_Saude
mãos	<img src="_maos_manos_hands.JPG">	mãos	as mãos	/ɐʒ ˈmɐ̃w̃ʃ/	/aʒ ˈmɐ̃w̃s/	sfp			hands						manos						mains						Hände						mans						mani												Português::Curso::A1 Português::Vocabulario::Corpo Português::Vocabulario::Corpo::Braço Português::Vocabulario::Corpo::Maos Português::Vocabulario::Corpo_Saude
peito (corpo)	<img src="_peito.jpg">	peito	o peito	/u ˈpɐjtu/	/u ˈpejtu/	sm			chest						pecho						poitrine						Brust						pit						petto												Português::Curso::A1 Português::Vocabulario::Corpo::Tronco Português::Vocabulario::Corpo_Saude
barriga	<img src="_barriga_belly.JPG">	barriga	a barriga	/ɐ bɐˈʁiɡɐ/	/a baˈʁiɡɐ/	sf			belly						barriga						ventre						Bauch						panxa						pancia												Português::Curso::A1 Português::Vocabulario::Corpo::Partes_do_Corpo Português::Vocabulario::Corpo::Tronco
ancas	<img src="hip-cadera-maluc-photo.JPG">	ancas	as ancas	/ɐz ˈɐ̃kɐʃ/	/az ˈɐ̃kas/	sfp			hips						caderas						hanches						Hüften						malucs						anche												Português::Curso::A1 Português::Vocabulario::Corpo::Partes_do_Corpo
joelho	<img src="knees.jpg">	joelho	o joelho	/u ʒuˈɐʎu/	/u ʒoˈeʎu/	sm			knee						rodilla						genou						Knie						genoll						ginocchio												Português::Curso::A1 Português::Vocabulario::Corpo_Saude
tornozelo	<img src="ankle.JPG">	tornozelo	o tornozelo	/u tuɾnuˈzɛlu/	/u toʁnoˈzɛlu/	sm			ankle						tobillo						cheville						Knöchel						turmell						caviglia												Português::Curso::A1 Português::Vocabulario::Corpo_Saude
pescoço	<img src="neck.JPG">	pescoço	o pescoço	/u pɨˈʃkɔsu/	/u pesˈkɔsu/	sm			neck						cuello						cou						Verband collare collo																								Português::Curso::A1 Português::Vocabulario::Corpo_Saude
braço	<img src="forearm.jpg">	braço	o braço	/u ˈbɾasu/	/u ˈbɾasu/	sm			arm						brazo						bras						Arm						braç						braccio												Português::Curso::A1 Português::Vocabulario::Corpo::Partes_do_Corpo
pé	<img src="_foot_pie-pe.JPG">	pé	o pé	/u ˈpɛ/	/u ˈpɛ/	sm			foot						pie						pied						Fuß						pe						piede												Português::Curso::A1 Português::Vocabulario::Corpo::Pernas Português::Vocabulario::Corpo::Pes Português::Vocabulario::Corpo_Saude
rabo (PT)	<img src="_rabo.JPG">	rabo	o rabo	/u ˈʁabu/	/u ˈʁabu/	sm			ass ()						culo (PT)						queue						Schwanz						cua						coda												Português::Curso::A1 Português::Vocabulario::Corpo::Partes_do_Corpo Português::Vocabulario::Corpo::Tronco Português::Vocabulario::Corpo_Saude
nádegas	<img src="Buttocks.gif">	nádegas	as nádegas	/ɐʒ ˈnadɨɡɐʃ/	/aʒ ˈnadeɡas/	sfp			buttocks						las nalgas			sfp			fesses						Gesäß						galtes						natiche												Português::Curso::A1 Português::Vocabulario::Corpo::Tronco
sobrancelhas	<img src="_sobrancelhas_cejas.gif">	sobrancelhas	as sobrancelhas	/ɐʃ subɾɐ̃ˈsɐʎɐʃ/	/aʃ sobɾɐ̃ˈseʎas/	sfp			eyebrows						cejas						sourcils						Augenbrauen						cebes						sopracciglia												Português::Curso::A1 Português::Vocabulario::Corpo::Rostro Português::Vocabulario::Corpo_Saude
maçã da cara	<img src="_pomulos_maça_da_cara.JPG">	maçã da cara	a maçã da cara	/ɐ mɐˈsɐ̃ dɐ ˈkaɾɐ/	/a maˈsɐ̃ dɐ ˈkaɾɐ/	exp			cheek						pómulo																																				Português::Curso::A1 Português::Vocabulario::Corpo::Rostro Português::Vocabulario::Corpo_Saude
calcanhar, calcanhar de Aquiles	<img src="_calcanhar_talon.JPG">	calcanhar	o calcanhar	/u kaɫkɐˈɲaɾ/, /u kaɫkɐˈɲaɾ dɨ ɐˈkilɨʃ/	/u kawkɐˈɲaʁ/, /u kawkɐˈɲaʁ dʒi aˈkiles/	exp			heel						talón						talon d'Achille						achillesferse						taló d'Aquil·les						tallone di Achille												Português::Curso::A1 Português::Vocabulario::Corpo::Partes_do_Corpo Português::Vocabulario::Corpo::Pes
bochechas	<img src="_bochechas.JPG">	bochechas	as bochechas	/ɐʒ buˈʃɐʃɐʃ/	/aʒ boˈʃeʃas/	sfp			cheeks						mejillas						joues						Wangen						galtes						guance												Português::Curso::A1 Português::Vocabulario::Corpo::Partes_do_Corpo Português::Vocabulario::Corpo::Rostro
queixo	<img src="_queixo.JPG">	queixo	o queixo	/u ˈkɐjʃu/	/u ˈkejʃu/	sm			chin						barbilla						menton						Kinn						barbeta						mento												Português::Curso::A1 Português::Vocabulario::Corpo_Saude
lábios	<img src="_labios_lips.JPG">	lábios	os lábios	/uʒ ˈlabiuʃ/	/uʒ ˈlabius/	smp			lips						labios						lèvres						Lippen						llavis						labbra												Português::Curso::A1 Português::Vocabulario::Corpo_Saude
pálpebras	<img src="_parpados_palbebras.JPG">	pálpebras	as pálpebras	/ɐʃ ˈpaɫpɨbɾɐʃ/	/aʃ ˈpawpebɾas/	sfp			eyelids						párpados						paupières						Augenlider						parpelles						palpebre												Português::Curso::A1 Português::Vocabulario::Corpo_Saude
garganta	<img src="_garganta.JPG">	garganta	a garganta	/ɐ ɡɐɾˈɡɐ̃tɐ/	/a ɡaʁˈɡɐ̃tɐ/	sf			throat						garganta						gorge						Kehle						gola						gola												Português::Curso::A1 Português::Vocabulario::Corpo::Cabeça Português::Vocabulario::Corpo_Saude
ouvidos	<img src="hearing.jpg">	ouvidos	os ouvidos	/uz oˈviduʃ/	/uz oˈvidus/	smp			ears						oídos						oreilles						Ohren						oïdes						orecchie												Português::Curso::A1 Português::Vocabulario::Corpo::Cabeça Português::Vocabulario::Corpo_Saude
ossos	<img src="_leg_bones_ossos_huesos.png">	ossos	os ossos	/uz ˈɔsuʃ/	/uz ˈɔsus/	smp			bones						huesos						os						Knochen						ossos						ossa												Português::Curso::A1 Português::Vocabulario::Corpo::Iterno Português::Vocabulario::Corpo_Saude
músculos	<img src="_musculos_muscles.JPG">	músculos	os músculos	/uʒ ˈmuʃkuluʃ/	/uʒ ˈmuskulus/	smp			muscles						músculos						muscles						Muskeln						músculs						muscoli												Português::Curso::A1 Português::Vocabulario::Corpo::Iterno Português::Vocabulario::Corpo_Saude
articulações	<img src="joints_articulaciones.jpg">	articulações	as articulações	/ɐz ɐɾtikulɐˈsõj̃ʃ/	/az aʁtʃikulaˈsõj̃s/	sfp			joints						articulaciones						articulations						Gelenke						articulacions						articolazioni												Português::Curso::A1 Português::Vocabulario::Corpo::Iterno
tendões	<img src="tendon.JPG">	tendões	os tendões	/uʃ tẽˈdõj̃ʃ/	/uʃ tẽˈdõj̃s/	smp			tendons						tendones						tendons						Sehnen						tendons						tendini												Português::Vocabulario::Corpo Português::Vocabulario::Corpo::Iterno
coração	<img src="_coraçao.JPG">	coração	o coração	/u kuɾɐˈsɐ̃w̃/	/u koɾaˈsɐ̃w̃/	sm			heart						corazón						cœur						Herz						cor						cuore												Português::Curso::A1 Português::Vocabulario::Corpo_Saude
aparelho reprodutor	<img src="_aparelho_reprodutor_reproductory_system.JPG">	aparelho reprodutor	o aparelho reprodutor	/u ɐpɐˈɾɐʎu ʁɨpɾuduˈtoɾ/	/u apaˈɾeʎu ʁepɾoduˈtoʁ/	exp			reproductive system						sistema reproductor						système reproducteur						Fortpflanzungssystem						sistema reproductor						sistema riproduttivo												Português::Vocabulario::Corpo::Iterno
estômago	<img src="_estomago_2.jpeg">	estômago	o estômago	/u ˈʃtomɐɡu/	/u isˈtomaɡu/	smf			stomach						estómago						estomac						Magendarm						estómac						stomaco												Português::Curso::A1 Português::Vocabulario::Corpo::Iterno Português::Vocabulario::Corpo_Saude
pés	<img src="_pies_pes_feet.JPG">	pés	os pés	/uʃ ˈpɛʃ/	/uʃ ˈpɛs/	smp			feet						pies						pieds						Füße						peus						piedi												Português::Curso::A1 Português::Vocabulario::Corpo::Pernas Português::Vocabulario::Corpo_Saude
espirrar	<img src="_espirrar.gif">	espirrar	espirrar	/ʃpiˈʁaɾ/	/ispiˈʁaʁ/	v			to sneeze						estornudar						éternuer						niesen						esternudar						starnutire												Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas
assoar-se	<img src="_precisar_lenços_tissues.JPG">	assoar-se	assoar-se	/ɐsuˈaɾsɨ/	/asoˈaʁsi/	v			to blow one's nose						sonarse						se moucher						sich schnäuzen						sonar-se						soffiarsi il naso												Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Tratamento
tem constipado	<img src="_resfriados.JPG">	tem constipado	tem constipado	/ˈtɐ̃j̃ kõʃtiˈpadu/	/ˈtẽj̃ kõstʃiˈpadu/	exp			has a cold						tiene resfriado						a un rhume						hat eine Erkältung						té un refredat						ha il raffreddore												Português::Curso::A1 Português::Vocabulario::Corpo_Saude
precisas lenços	<img src="_precisar_lenços.JPG">	precisas lenços	precisas lenços	/pɾɨˈsizɐʒ ˈlẽsuʃ/	/pɾeˈsizas ˈlẽsus/	exp			you need tissues						necesitas pañuelos						tu as besoin de mouchoirs						du brauchst Taschentücher						necessites mocadors						hai bisogno di fazzoletti												Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Tratamento
entorse no tornozelo	<img src="_torcedura_esguince_tornozelo_tobillo.JPG">	entorse no tornozelo	a entorse no tornozelo	/ɐ ẽˈtɔɾsɨ nu tuɾnuˈzɛlu/	/a ẽˈtɔʁsi nu toʁnoˈzɛlu/	sf			ankle sprain						esguince en el tobillo						entorse de la cheville						Knöchelverstauchung						esquinç de turmell						distorsione alla caviglia												Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas
torceu um pé	<img src="_torceu_um_pe.JPG">	torceu um pé	torceu um pé	/tuɾˈsew ˈũ ˈpɛ/	/toʁˈsew ˈũ ˈpɛ/	v			twisted a foot						se torció un pie						s'est tordu un pied						hat sich den Fuß verdreht						s'ha torçat un peu						ha storto un piede												Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas
muito inchado	<img src="_inchado.JPG">	muito inchado	muito inchado	/ˈmũjtu ĩˈʃadu/	/ˈmũjtu ĩˈʃadu/	exp			very swollen						muy hinchado						très enflé						sehr geschwollen						molt inflat						molto gonfio												Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas
queimarse com água a ferver	<img src="_queimarse_agua_ferver.JPG">	queimarse com água a ferver	queimarse com água a ferver	/kɐjˈmaɾsɨ ˈkõ ˈaɡwɐ ɐ fɨɾˈveɾ/	/kejˈmaʁsi ˈkõ ˈaɡwɐ a feʁˈveʁ/	exp			burn with boiling water						quemarse con agua hirviendo						se brûler avec de l'eau bouillante						mit kochendem Wasser verbrennen						cremar-se amb aigua bullint						ustionarsi con acqua bollente												Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas
queimadura	<img src="_queimadura.JPG">	queimadura	a queimadura	/ɐ kɐjmɐˈduɾɐ/	/a kejmaˈduɾɐ/	sf			burn						quemadura						brûlure						Verbrennung						cremada						ustione												Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas
vou desinfetar	<img src="_desinfetar_ferida.JPG">	vou desinfetar	vou desinfetar	/ˈvo dɨzĩfɨˈtaɾ/	/ˈvo dezĩfeˈtaʁ/	exp			I will disinfect						voy a desinfectar						je vais désinfecter						ich werde desinfizieren						desinfectaré						disinfetterò												Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Tratamento
colocar um penso	<img src="_poner_um_penso.JPG">	colocar um penso	colocar um penso	/kuluˈkaɾ ˈũ ˈpẽsu/	/koloˈkaʁ ˈũ ˈpẽsu/	exp			apply a bandage						poner un vendaje						mettre un bandage						einen Verband anlegen						posar un embenat						mettere una benda												Português::Curso::A1 Português::Vocabulario::Corpo_Saude
caiu e partiu o braço	<img src="_95_Broken_Arm_Injury_Xray_Doctor_Consult.JPG">	caiu e partiu o braço	caiu e partiu o braço	/ˈkajw i pɐɾˈtiw u ˈbɾasu/	/ˈkajw i paʁˈtʃiw u ˈbɾasu/	exp			fell and broke his arm						cayó y se rompió el brazo						il est tombé et s'est cassé le bras						er ist gefallen und hat sich den Arm gebrochen						va caure i s'ha trencat el braç						è caduto e si è rotto il braccio												Português::Curso::A1 Português::Vocabulario::Corpo_Saude
