timorense	/ti.mo.ˈɾẽ.sɨ/	/ti.mo.ˈɾẽ.si/	timorense	/ti.mo.ˈɾẽ.sɨ/	/ti.mo.ˈɾẽ.si/
são-tomense	/sɐ̃w̃ tu.ˈmẽ.sɨ/	/sɐ̃w̃ tu.ˈmẽ.si/	são-tomense	/sɐ̃w̃ tu.ˈmẽ.sɨ/	/sɐ̃w̃ tu.ˈmẽ.si/
guineense	/ɡi.nɨ.ˈẽ.sɨ/	/ɡi.nɛ̃jˈsɪ/	guineense	/ɡi.nɨ.ˈẽ.sɨ/	/ɡi.nɛ̃jˈsɪ/
belga	/ˈbɛɫ.ɡɐ/	/ˈbɛw.ɡɐ/	belga	/ˈbɛɫ.ɡɐ/	/ˈbɛw.ɡɐ/
alemã	/a.lɨ.ˈmɐ̃w̃/	/a.le.ˈmɐ̃w̃/	alemão	/a.lɨ.ˈmɐ̃w̃/	/a.le.ˈmɐ̃w̃/
angolana	/ɐ̃.ɡu.ˈlɐ.nɐ/	/ɐ̃.ɡo.ˈla.nə/	angolano	/ɐ̃.ɡu.ˈlɐ.nu/	/ɐ̃.ɡo.ˈla.nʊ/
brasileira	/bɾɐ.zi.ˈlej.ɾɐ/	/bɾɐ.zi.ˈlej.ɾɐ/	brasileiro	/bɾɐ.zi.ˈlej.ɾu/	/bɾɐ.zi.ˈlej.ɾʊ/
cabo-verdiana	/ˈka.bu veɾ.di.ɐ.nɐ/	/ˈka.bʊ veɾ.dʒɐ.nə/	cabo-verdiano	/ˈka.bu veɾ.di.ɐ.nu/	/ˈka.bʊ veɾ.dʒɐ.nʊ/
canadense	/ka.na.ˈdẽj.sɨ/	/ka.na.ˈdẽj.sɪ/	canadense	/ka.na.ˈdẽj.sɨ/	/ka.na.ˈdẽj.sɪ/
chinesa	/ʃi.ˈne.zɐ/	/ʃi.ˈne.zɐ/	chinês	/ʃi.ˈnɛs/	/ʃi.ˈnejs/
egípcia	/e.ˈʒip.si.ɐ/	/e.ˈʒip.si.ɐ/	egípcio	/ɨ.ˈʒip.si.u/	/e.ˈʒip.sjʊ/
espanhola	/iʃ.pɐˈɲɔɫ.ɐ/	/es.pɐˈɲo.lɐ/	espanhol	/ɨʃ.pɐˈɲɔɫ/	/es.pɐ̃w̃.ˈɔw̃/
francesa	/fɾɐ̃.ˈsɛ.ze/	/fɾɐ̃.ˈse.zɐ/	francês	/fɾɐ̃.ˈsɛʃ/	/fɾɐ̃.ˈsejs/
inglesa	/ĩ.ˈɡle.zɐ/	/ĩ.ˈɡle.zɐ/	inglês	/ĩ.ˈɡlɛjʃ/	/ĩ.ˈɡlejs/
japonesa	/ʒɐ.po.ˈne.zɐ/	/ʒɐ.po.ˈne.zɐ/	japonês	/ʒɐ.po.ˈneʃ/	/ʒɐ.po.ˈnes/
moçambicana	/mo.ʃɐ̃.bi.ˈkɐ.nɐ/	/mo.sɐ̃.bɪ.ˈkɐ.nɐ/	moçambicano	/mo.ʃɐ̃.bi.ˈkɐ.nu/	/mo.sɐ̃.bɪ.ˈkɐ.nʊ/
norte-americana	/ˈnoɾ.tɨ ɐ.me.ɾi.ˈkɐ.nɐ/	/ˈnoɾ.tʃʔ a.me.ɾi.ˈkɐ.nɐ/	norte-americano	/ˈnoɾ.tɨ ɐ.me.ɾi.ˈkɐ.nu/	/ˈnoɾ.tʃʔ a.me.ɾi.ˈkɐ.nʊ/
norueguesa	/noɾˈweɡe.zɐ/	/no.ɾʊ.ˈɡez.ɐ/	norueguês	/noɾˈweɡeʃ/	/no.ɾʊ.ˈɡejs/
portuguesa	/puɾ.tu.ˈɣez.ɐ/	/poɾ.tu.ˈɡez.ɐ/	português	/poɾ.tu.ˈɣez/	/poɾ.tu.ˈɡez/
russa	/ˈʁu.sɐ/	/ˈʁus.ɐ/	russo	/ˈʁu.su/	/ˈʁus.u/
