10285	Países Baixos	os Países Baixos	/pɐˈizeʃ ˈbajʃus/	/pɐˈizis ˈbaʃus/	smp						*		Países Bajos
10286	Alemanha	a Alemanha	/ɐ.lɨ.ˈmɐ.ɲɐ/	/ɐlɛˈmɐ̃.ɲɐ/	sf						*		Alemania
10287	Equador	o Equador	/e.kwaˈdɔɾ/	/ɛ.kwaˈdoʁ/	sm						*		Ecuador
10288	Israel	Israel	/i.zɾɐˈɛl/	/i.zɾɛw/	sm						*		Israel
10289	Canadá	o Canadá	/kɐ.nɐˈdɐ/	/kɐnɐˈdɐ/	sm						*		Canadá
10290	México	o México	/ˈmeʃi.ku/	/ˈmeʃi.ku/	sm						*		México
10291	Portugal	Portugal	/puɾ.tu.ˈɣal/	/poɾtuˈɡaw/	sm						*		Portugal
10292	China	a China	/ˈʃi.nɐ/	/ˈʃĩ.nɐ/	sf						*		China
10293	Chile	o Chile	/ˈʃi.lɨ/	/ˈʃi.li/	sm						*		Chile
10294	Guiné Equatorial	a Guiné Equatorial	/ɡiˈne i.kwɐ.to.ɾiˈal/	/ɡiˈnɛ i.kwa.toɾiˈaw/	sf						*		Guinea Ecuatorial
10295	Timor-Leste	o Timor-Leste	/tiˈmoɾ ˈlɛʃ.tɨ/	/tiˈmoɾ ˈlɛstʃi/	sm						*		Timor Oriental
10296	Cabo Verde	o Cabo Verde	/ˈka.bu ˈveɾ.dɨ/	/ˈkabu ˈveɾdʒi/	sm						*		Cabo Verde
10297	Moçambique	Moçambique	/mo.ʃɐ̃ˈbi.kɨ/	/moˈsɐ̃.bi.ki/	sm						*		Mozambique
10298	Trinidad e Tobago	Trinidad e Tobago	/tɾi.niˈdɐd i tuˈba.ɡu/	/tɾi.niˈdadʒi tuˈbaɡu/	smp						*		Trinidad y Tobago
10299	Afeganistão	o Afeganistão	/ɐ.fɨ.ɡɐ̃.nis.ˈtɐ̃w̃/	/ɐfɛɡɐ̃nisˈtɐ̃w̃/	sm						*		Afganistán
10300	Andorra	Andorra	ɐ̃.ˈdo.ʁɐ/	ɐ̃ˈdoʁɐ/	sf						*		Andorra
10301	Angola	a Angola	/ɐ̃.ˈɡɔ.lɐ/	/ɐ̃ˈɡɔ.lɐ/	sf						*		Angola
