10285	cachaça	a cachaça	/kɐ.ˈʃa.sɐ/	/ka.ˈʃa.sa/	sf								aguardiente
10286	geladeira	a geladeira	/ʒe.lɐ.ˈdej.ɾɐ/	/ʒe.la.ˈdej.ɾɐ/	sf								nevera
10287	café de manhã	o café de manhã	/ka.ˈfɛ dɨ mɐ.ˈnɐ/	/ka.ˈfe dʒi mɐ.ˈnɐ/	sm								el desayuno
10288	açougue	o açougue	/ɐˈsoɡ.wi/	/aˈsow.ɡi/	sm								la carnicería
10289	ônibus	o ônibus	/ˈo.ni.bus/	/ˈo.ni.bus/	sm								el autobús
10290	trem	o trem	/ˈtɾẽ/	/tɾẽ/	sm								el tren
10291	banheiro	o banheiro	/bɐˈɲɐ.jɾu/	/bɐˈɲej.ɾu/	sm								el baño
10292	suco	o suco	/ˈsu.ku/	/ˈsu.ku/	sm								el jugo
10293	lanchonete	a lanchonete	/lɐ̃.ʃu.nɛ.ˈt(ɨ)/	/lɐ̃.ʃu.nɛ.ˈtʃi/	sf								la cafetería
10294	celular	o celular	/se.lu.ˈlaɾ/	/se.lu.ˈlaʁ/	sm								el celular
10295	camiseta	a camiseta	/kɐ.mi.ˈze.tɐ/	/kɐ.mi.ˈze.tɐ/	sf								la camiseta
10296	xícara	a xícara	/ˈʃi.ka.ɾɐ/	/ˈʃi.ka.ɾɐ/	sf								la taza
