10527	cinzento	/sĩ.ˈzẽ.tu/	/sĩ.ˈzẽ.tu/	adjm/n			gray						gris							gris					grau					gris					grigio
10528	roxo	/ˈʁɔ.ʃu/	/ˈʁɔ.ʃu/	adjm/n			purple						morado							violet					violett					morat/violeta					viola
10529	branco	/ˈbɾɐ̃.ku/	/ˈbɾɐ̃.ku/	adjm/n			white						blanco							blanc					weiß					blanc					bianco
10530	amarelo	/ɐ.mɐ.ˈʁɛ.lu/	/ɐ.mɐ.ˈʁɛ.lu/	adjm/n			yellow						amarillo							jaune					gelb					groc/guallo					giallo
10531	vermelho	/vɨɾ.ˈmɛ.ʎu/	/vɛʁ.ˈme.ʎu/	adjm/n			red						rojo							rouge					rot					vermell					rosso
10532	castanho	/kɐʃ.ˈtɐ.ɲu/	/kɐʃ.ˈtɐ.ɲu/	adjm/n			brown						marrón							marron					braun					marró					marrone
10533	verde	/ˈvɛɾ.ðɨ/	/ˈvɛʁ.d͡ʒi/	adjm/n			green						verde							vert					grün					verd					verde
10534	azul	/ɐ.ˈzuɫ/	/ɐ.ˈzuw/	adjm/n			blue						azul							bleu					blau					blau					blu
10535	bege	/ˈbɛ.ʒɨ/	/ˈbɛ.ʒɨ/	adjm/n			beige						beige							beige					beige					beix					beige
10536	cor de laranja	/kɔɾ dɨ lɐ.ɾˈɐ̃.ʒɐ/	/koɾ dʒi la.ɾã.ʃɐ/	exp			orange color						color naranja							couleur orange					Orange Farbe					color taronja					arancione
10537	cor-de-rosa	/kɔɾ dɨ ʁɔ.zɐ/	/koɾ dʒi ɾo.θa/	exp			pink color						color rosa							couleur rose					rosa Farbe					color rosa					rosa
10538	lilás	/li.ˈlaʃ/	/liˈla/	adjm/n			lilac						lila							lilas					lila					lila					lilla
10539	comprida	/kõ.ˈpɾi.dɐ/	/kõ.ˈpɾi.dɐ/	adjf			long						longue							long					lang					larg					lunga
10540	curta	/ˈkuɾ.tɐ/	/ˈkuɾ.tɐ/	adjf			short						corto							court					kurz					curt					corta
