7133	peixes	os peixes	/ˈpej.ʃɨʃ/	/ˈpej.ʃis/	smp		fish						peces							poissons					Fische					peixos					pesce
7134	peixe	o peixe	/ˈpejʃɨ/	/ˈpejʃi/	sm		fish						pez							poisson					Fisch					peix					pesce
7135	moluscos	os moluscos	/mo.ˈluʃ.kuʃ/	/mo.ˈluʃ.kus/	smp		mollusks						moluscos							mollusques					Mollusken					molluscs					molluschi
7136	crustáceos	os crustáceos	/kɾuʃ.ˈta.se.ʊʃ/	/kɾus.ˈta.se.us/	smp		crustaceans						crustáceos							crustacés					Krustentiere					crustacis					crostacei
7137	cefalópodos	os cefalópodos	/sɛ.fɐ.ˈlo.po.duʃ/	/se.fa.ˈlo.po.dus/	smp		cephalopods						cefalópodos							céphalopodes					Kopffüßer					cefalòpodes					cefalopodi
7138	polvo	o polvo	/ˈpoɫ.vu/	/ˈpoɫ.vu/	sm		octopus						pulpo							poulpe					Oktopus					polp					polpo
7139	tamboril	o tamboril	/tɐ̃.bo.ˈɾiɫ/	/tɐ̃.bo.ˈɾil/	sm		monkfish						rape							rascasse					Seeteufel					ratjat					rana pescatrice
7140	rodovalho	o rodovalho	/ʁu.ðu.ˈva.ʎu/	/ʁo.du.ˈva.ʎu/	sm		turbot						rodavallo							turbot					Wolfsbarsch					rodoval					rombo
7141	salmão	o salmão	/sɐw̃.ˈmɐ̃w̃/	/saɫ.ˈmɐ̃w̃/	sm		salmon						salmón							saumon					Lachs					salmó					salmone
7142	salmonete	o salmonete	/sɐw̃.lu.ˈnɛ.tɨ/	/saɫ.mu.ˈnɛ.ti/	sm		red mullet						salmonete							grondin					Rote Meerbarbe					salamó					tenero
7143	sardinha	a sardinha	/sɐɾ.ˈdi.ɲɐ/	/saɾ.ˈdi.ɲɐ/	sf		sardine						sardina							sardine					Sardine					sardina					sardina
7144	choco	o choco	/ˈʃɔ.ku/	/ˈʃɔ.ku/	sm		cuttlefish						sepia, choco							encornet					Tintenfisch					chic					sepia
7145	cadelinha / conquilha	a cadelinha, a conquilha	/ka.ðɨ.ˈɫi.ɲɐ/, /kõ.ˈki.ʎɐ/	/ka.de.ˈli.ɲɐ/, /kõ.ˈki.ʎɐ/	s f		cockle						almeja coquina							Kokkel					Herzmuschel					cadell					murex
7146	truta	a truta	/ˈtɾu.tɐ/	/ˈtɾu.tɐ/	sf		trout						trucha							truite					Forelle					truita					trota
7147	vieira	a vieira	/vi.ˈɐj.ɾɐ/	/vi.ˈej.ɾɐ/	sf		scallop						vieira							coquille					Sankt-Jakob-Muschel					virola					capesante
7148	amêijoa	a amêijoa	/ɐ.ˈmɐj.ʒw̃ɐ/	/a.ˈme.ʒw̃ɐ/	sf		clam						almeja							palourde					Muschel					ametla					vongola
7149	anchova / enchova	a anchova, a enchova	/ɐ̃.ˈʃɔ.vɐ/, /ẽ.ˈʃɔ.vɐ/	/ã.ˈʃɔ.va/, /ẽ.ˈʃɔ.va/	sf		anchovy						anchoa, boquerón							anchois					Sardelle					anxova					acciuga
7150	arenque	o arenque	/ɐ.ˈɾẽ.kɨ/	/a.ˈɾẽ.ki/	sm		herring						arenque							hareng					Hering					arenca					aringa
7151	atum	o atum	/ɐ.ˈtũ/	/a.ˈtũ/	sm		tuna						atún							thon					Thunfisch					tonyina					tonno
7152	bacalhau	o bacalhau	/bɐ.kɐ.ˈʎaw/	/ba.ka.ˈʎaw/	sm		cod						bacalao							morue					Kabeljau					bacallà					baccalà
7153	berbigão	o berbigão	/bɛɾ.ˈbi.ɣɐ̃w̃/	/beɾ.ˈbi.ɣɐ̃w̃/	sm		cockle almeja berberecho						berberecho																						
7154	lavagante	o lavagante	/lɐ.vɐ.ˈɡɐ̃tɨ/	/la.va.ˈɡɐ̃.ti/	sm		lobster						bogavante							homard					Languste					langosta					aragosta
7155	cavala	a cavala	/kɐ.ˈva.lɐ/	/ka.ˈva.lɐ/	sf		mackerel						caballa							maquereau					Makrele					caballa					sgombro
7156	lula	a lula	/ˈlu.lɐ/	/ˈlu.lɐ/	sf		squid						calamar							calmar					Tintenfisch					llúdriga					calamaro
