No	pt_word	pt_word_art	pt_ipa_PT	pt_ipa_BR	pt_type_gender	pt_notes	en_word	en_ipa_US	en_ipa_UK	en_type	en_marker	en_notes	es_word	es_ipa_ES	es_ipa_LA	es_type_gender	es_marker	es_notes	image	fr_word	fr_word_art	fr_ipa	fr_type_gender	fr_notes	de_word	de_word_art	de_ipa	de_type_gender	de_notes	val_word	val_ipa	cat_ipa	val_type_gender	val_notes	it_word	it_ipa	it_type_gender	it_notes	en_pron	pt_pron	es_pron	fr_pron	de_pron	it_pron	val_pron	tags
7049	frutos secos	os frutos secos	/ˈfɾu.tus ˈsɛ.kus/	/ˈfɾu.tus ˈsɛ.kus/	smp		nuts/fruits secs						frutos secos							fruits secs					Trockenfrüchte					fruits secs					frutti secchi, frutta secca											
7050	amêndoa	a amêndoa	/ɐ.ˈmẽ.du.ɐ/	/ɐ.ˈmẽ.du.ɐ/	sf		almond						almendra							amande					Mandel					ametlla/almendra					mandorla											
7051	caju	o caju	/ˈka.ʒu/	/ˈka.ʒu/	sm		cashew						anacardo							anacarde					Cashewnuss					cassú					caju											
7052	avelã	a avelã	/ɐ.vɨ.ˈlã/	/a.vɛ.ˈlã/	sf		hazelnut						avellana							noisette					Haselnuss					avellana/nueç					avelã											
7053	amedoim	o amedoim	/ɐ.mɨ.ˈdwãj̃/	/a.mɨ.ˈdwaj̃/	sm		peanut						cacahuete, cacahuate							arachide					Erdnuss					manís					arachide											
7054	castanha	a castanha	/kɐʃ.ˈtɐ.ɲɐ/	/kaʃ.ˈta.ɲa/	sf		chestnut						castaña							châtaigne					Kastanie					castanya/castanya					chestnut											
7055	noz	a noz	/ˈnɔʃ/	/ˈnɔs/	sf		walnut						nuez							noix					Walnuss					nous					nocciola											
7056	pinhão	o pinhão	/pi.ˈɲɐ̃w̃/	/pi.ˈɲɐ̃w̃/	sm		pine nut						piñón							pignon					Pinienkern					pinyó					pignolo											
7057	sementes de girassol	as sementes de girassol	/sɨ.ˈmẽ.tɨʒ dɨ ʒi.ɾɐ.ˈsol/	/sɛ.ˈmɛn.tɛs dɛ ʒi.ˈras.sɔl/	sfp		sunflower seeds						pipas, semillas de girasol							graines de tournesol					Sonnenblumenkerne					llavors de gira-sol					semillas de girasol											
7058	pistácio / pistachio	o pistácio / o pistachio	/piʃ.ˈta.sju/, /pi.ˈsta.kju/	/piʃ.ˈta.sjo/, /pi.ˈsta.kjo/	sm		pistachio						pistacho, pistache							pistache					Pistazie					pistatxo/pistatxo					pistacchio											
7059	frutas	as frutas	/ˈfɾu.tɐʃ/	/ˈfɾu.tɐs/	sfp		fruits						frutas							fruits					Obst					fruites					frutta											
7060	legumes	os legumes	/lɨ.ˈɡu.mɨʃ/	/ˈlɛ.ɡu.mɨʃ/	smp		vegetables						verduras							légumes					Gemüse					vegetals					verdure											
7061	vegetais	os vegetais	/vɨʒ.ˈtajs/	/vɛ.ʒɛ.ˈtajs/	smp		vegetables						vegetales							légumes					Gemüse					vegetals					verdure											
7062	leguminosas	as leguminosas	/lɨ.ɡu.mi.ˈnɔ.zɐʃ/	/lɛ.ɡu.mi.ˈnɔ.zɐʃ/	sfp		legumes						leguminosas							légumineuses					Hülsenfrüchte					llegums					leguminose											
7063	tubérculos	os tubérculos	/tu.ˈbɛɾ.ku.lus/	/tu.ˈbɛɾ.ku.lus/	smp		tubers						tubérculos							tubercules					Knollen					tubercles					tuberi											
7064	azeitona	a azeitona	/ɐ.zɐj.ˈto.nɐ/	/ɐ.zɛj.ˈto.na/	sf		olive						aceituna							olive					Olive					oliva					oliva											
7065	acelga	a acelga	/ɐ.ˈsɛɫ.ɡɐ/	/a.ˈsɛɫ.ɡɐ/	sf		swiss chard						acelga							bettes					Kohlrabi					acelga					bietola											
7066	abacate	o abacate	/ɐ.bɐ.ˈka.tɨ/	/a.ba.ˈka.tɨ/	sm		avocado						aguacate							avocat					Avocado					avocat					avocado											
7067	alho	o alho	/ˈa.ʎu/	/ˈa.ʎu/	sm		garlic						ajo							ail					Knoblauch					all					iacapo											
7068	alperce / damasco	o alperce / o damasco	/aɫ.ˈpɛɾ.sɨ/, /dɐ.ˈmaʃ.ku/	/aɫ.ˈpɛɾ.sɨ/, /da.ˈmaʃ.ku/	sm		apricot						albaricoque, chabacano							abricot					Aprikose					albercoc					albicocca											
7069	alcachofra	a alcachofra	/ɐɫ.ˈka.ʃu.fɾɐ/	/aɫ.ˈka.ʃu.fɾɐ/	sf		artichoke						alcachofa							artichaut					Artischocke					alcalxofa					carciofo											
7070	alcaparra	a alcaparra	/ɐɫ.ka.ˈpa.ʁɐ/	/aɫ.ka.ˈpa.ʁɐ/	sf		caper						alcaparra							câpre					Kapern					alcaparra					capperi											
7071	tremoço	o tremoço	/tɾi.ˈmu.sku/	/tɾi.ˈmu.sku/	sm		lupin seed 						altramuz							lupin					Lupine					trompeta					lupino											
7072	aipo	o aipo	/ˈaj.pu/	/ˈaj.pu/	sm		celery						apio							céleri					Sellerie					api					cedro											
7073	arando	o arando	ɐ.ˈɾɐ̃.du	ɐ.ˈɾɐ̃.du	sm		cranberry						arándano							canberry					Cranberry					morera					mirtillo											
7074	arroz	o arroz	/ɐ.ˈʁɔs/	/a.ˈʁɔs/	sm		rice						arroz							riz					Reis					arròs					riso											
7075	bernigela	a bernigela	/bɨɾ.ni.ˈʒɛ.ɫɐ/	/bɛɾ.ni.ˈʒɛ.la/	sf		black cumin						berengena							nigelle					Schwarzkümmel					nigella					nigella											
7076	brócolos	os brócolos	/ˈbɾɔ.ku.lus/	/ˈbɾɔ.ku.lus/	smp		broccoli						brócoli							brocoli					Brokkoli					bròquil					broccoli											
7077	batata dolce	a batata-doce	/bɐ.ˈta.tɐ ˈdɔɫ.sɨ/	/ba.ˈta.ta ˈdɔɫ.sɨ/	sf		sweet potato						boniato							patate douce					Süßkartoffel					patata dolça					patata dolce											
7078	curgete, courgette	a curgete, a courgette	/kur.ˈʒɛ.tɨ/, /kuʁ.ˈʒɛt/	/kuʁ.ˈʒɛ.tɨ/, /kur.ˈʒɛt/	sf		zucchini						calabacín							courgette					Zucchini					cabassó					zucchina											
7079	abóbora	a abóbora	/ɐ.ˈbo.βo.ɾɐ/	/a.ˈbɔ.bo.ɾa/	sf		pumpkin						calabaza							citrouille					Kürbis					cabàs					zucca											
7080	caqui, dióspiro	o caqui, o dióspiro	/ˈka.ki/, /dju.ˈspi.ɾu/	/ˈka.ki/, /dju.ˈspi.ɾu/	sm		persimmon						caqui							kaki					Kaki					caqui					caco											
7081	cebola	a cebola	/sɨ.ˈbo.lɐ/	/sɛ.ˈbɔ.la/	sf		onion						cebolla							oignon					Zwiebel					cebolla					cipolla											
7082	cereja	a cereja	/sɨ.ˈɾɛ.ʒɐ/	/sɛ.ˈrɛ.ʒa/	sf		cherry						cereza							cerise					Kirsche					cirera					ciliegia											
7083	anona	a anona	ɐ.ˈno.nɐ	ɐ.ˈno.na	sf		custard apple						chirimoya							corossol					Stechäpfel					anona					anona											
7084	ameixa	a ameixa	ɐ.ˈmɐj.ʃɐ	ɐ.ˈmɐj.ʃa	sf		plum						ciruela							prune					Pflaume					pruna					prugna											
