Eu sou dos Países Baixos	Eu	Ser	Países Baixos	/ˈew   ˈso   duʃ   pɐ.ˈi.zɨʒ   ˈbaj.ʃuʃ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Tu vens da Alemanha	Tu	Vir	Alemanha	/ˈtu   vɐ̃jʒ   dɐ   ɐ.ɫɨ.ˈmɐ.ɲɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ele vai ao Equador	Ele	Ir	Equador	/ˈe.ɫɨ   ˈvaj   ˈa.u   i.kwɐ.ˈdoɾ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ela mora em Israel	Ela	Morar	Israel	/ˈe.ɫɐ   ˈmo.ɾɐ   ɐ̃j .ʒɾɐ.ˈɛɫ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós vamos ao Canadá	Nós	Ir	Canadá	/ˈnɔʒ   ˈvɐ.muz   ˈa.u   kɐ.nɐ.ˈda/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Você é de Portugal	Você	Ser	Portugal	/vu.ˈse  ˈɛ   dɨ   puɾ.tu.ˈgaɫ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles vão à China	Eles	Ir	China	/ˈe.ɫɨʒ   ˈvɐ̃w   à   ˈʃi.nɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Elas moram no Chile	Elas	Morar	Chile	/ˈe.ɫɐʒ   ˈmo.ɾɐ̃w   nu   ˈʃi.ɫɨ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós vamos à Guiné Equatorial	Nós	Ir	Guiné Equatorial	/ˈnɔʒ   ˈvɐ.muʃ   à   gi.ˈnɛ i.kwɐ.tu.ɾi.ˈaɫ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Vocês são de Timor-Leste	Vocês	Ser	Timor-Leste	/vu.ˈseʃ   ˈsɐ̃w   dɨ   ti.ˈmoɾ-ˈɫeʃ.tɨ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eu moro em Cabo Verde	Eu	Morar	Cabo Verde	/ˈew   ˈmo.ɾu   ɐ̃j   ˈka.bu ˈveɾ.dɨ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Tu vais a Moçambique	Tu	Ir	Moçambique	/ˈtu   ˈvajz   ɐ   mu.sɐ̃.ˈbi.kɨ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ele vem de Trinidad e Tobago	Ele	Vir	Trinidad e Tobago	/ˈe.ɫɨ   vɐ̃j   dɨ tɾɨ.ni.ˈdad i tu.ˈba.gu/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ela mora no Afeganistão	Ela	Morar	Afeganistão	/ˈe.ɫɐ   ˈmo.ɾɐ   nu   ɐ.fɨ.gɐ.nɨʃ.ˈtɐ̃w/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós somos de Andorra	Nós	Ser	Andorra	/ˈnɔʃ   ˈso.muʒ   dɨ   ɐ̃.ˈdo.ʁɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Você mora no Brasil	Você	Morar	Brasil	/vu.ˈse   ˈmo.ɾɐ   nu   bɾɐ.ˈziɫ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles são do Japão	Eles	Ser	Japão	/ˈe.ɫɨʃ ˈsɐ̃w du ʒɐ.ˈpɐ̃w/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Elas vêm dos Estados Unidos	Elas	Vir	Estados Unidos	/ˈe.ɫɐʒ ˈvɐ̃jɐ̃j duz ʃ.ˈta.duz u.ˈni.duʃ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós vamos à França	Nós	Ir	França	/ˈnɔʒ ˈvɐ.muʃ à ˈfɾɐ̃.sɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Vocês moram em Honduras	Vocês	Morar	Honduras	/vu.ˈseʒ ˈmo.ɾɐ̃w ɐ̃j õ.ˈdu.ɾɐʃ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eu vou ao Egito	Eu	Ir	Egito	/ˈew ˈvo ˈa.u .ˈʒi.tu/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Tu moras no Iraque	Tu	Morar	Iraque	/ˈtu ˈmo.ɾɐʒ nu i.ˈɾa.kɨ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
A senhora vem dos Camarões	A senhora	Vir	Camarões	/ɐ sɐ.ˈɲo.ɾɐ vɐ̃j duʃ kɐ.mɐ.ˈɾõjʃ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ela é da Colômbia	Ela	Ser	Colômbia	/ˈe.ɫɐ ˈɛ dɐ ku.ˈɫo.bi.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós moramos no Marrocos	Nós	Morar	Marrocos	/ˈnɔʒ mu.ˈɾɐ.muʒ nu ma.ˈʁo.kuʃ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Você é da Espanha	Você	Ser	Espanha	/vu.ˈse ˈɛ dɐ ʃ.ˈpɐ.ɲɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eles moram em Faro	Eles	Morar	Faro	/ˈe.ɫɨʒ ˈmo.ɾɐ̃w ɐ̃j ˈfa.ɾu/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Elas vão a Beja	Elas	Ir	Beja	/ˈe.ɫɐʒ ˈvɐ̃w ɐ ˈbɐj.ʒɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós vimos de Braga	Nós	Vir	Braga	/ˈnɔʒ ˈvi.muʒ dɨ ˈbɾa.gɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Vocês são de Coimbra	Vocês	Ser	Coimbra	/vu.ˈseʃ ˈsɐ̃w dɨ ku.ˈĩ.bɾɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Eu moro no Porto	Eu	Morar	Porto	/ˈew ˈmo.ɾu nu ˈpoɾ.tu/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Tu vais ao Funchal	Tu	Ir	Funchal	/ˈtu ˈvajz ˈa.u fũ.ˈʃaɫ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ele vem do Rio de Janeiro	Ele	Vir	Rio de Janeiro	/ˈe.ɫɨ vɐ̃j du ˈʁi.u dɨ ʒɐ.ˈnɐj.ɾu/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Ela mora em São Paulo	Ela	Morar	São Paulo	/ˈe.ɫɐ ˈmo.ɾɐ ɐ̃j ˈsɐ̃w ˈpaw.ɫu/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
Nós vamos à Bahia	Nós	Ir	Bahia	/ˈnɔʒ ˈvɐ.muʃ à bɐ.ˈi.ɐ/	Português::Artigos Português::Curso::A1::U01 Português::Frases::Paises/Cidades+Artigos
