#separator:tab
#html:true
#tags column:47
10418	Bahamas	as Bahamas	/bɐˈa.mas/	/bɐˈa.mas/	sfp		The Bahamas	/ðə bəˈhɑːməz/	/ðə bəˈhɑːməz/	n. prop	*		Las Bahamas	/las ba.'mas/	/las baˈmas/	sfp	*			les Bahamas	les Bahamas	/bahamas/	smp		Bahamas					Bahamas					Bahamas											Geo::America::Caribbean Geo::America::Caribbean::Antilles::Lucayan_Archipielago Geo::America::North_America Geo::Countries Geo::Islands Geo::Language::English_Speaking
10419	Cuba	Cuba	/ˈku.bɐ/	/ˈku.ba/	sm		Cuba	/ˈkjuːbə/	/ˈkjuːbə/	n. prop	*		Cuba	/ˈkuβa/	/ˈku.βa/	sf	*			Cuba	le Cuba	/ky.ba/	sm		Kuba					Cuba					Cuba											Geo::America::Caribbean Geo::America::Caribbean::Antilles::Greater_Antilles Geo::America::Latin_America Geo::America::North_America Geo::Countries Geo::Islands Geo::Language::Spanish_Speaking
10420	Haiti	o Haiti	/ˈa.i.ti/	/ˈa.i.tʃi/	sm		Haiti	/ˈheɪti/	/ˈheɪti/	n. prop	*		Haití	"/a.&#x27;i.ti/"	/aiˈti/	sm	*			Haïti	le Haïti	/ai.ti/	sm		Haiti					Haiti					Haiti											Geo::America::Caribbean Geo::America::Caribbean::Antilles::Greater_Antilles Geo::America::North_America Geo::Countries Geo::Islands Geo::Language::French_Speaking
10421	República Dominicana	a República Dominicana	/ʁɛ.ˈpub.li.kɐ du.mi.ni.ˈkɐ.nɐ/	/ˈʁe.pub.li.kɐ du.mi.ni.ˈkɐ.nɐ/	sf		Dominican Republic	/dəˌmɪnɪkən rɪˈpʌblɪk/	/dəˌmɪnɪkən rɪˈpʌblɪk/	n. prop	*		República Dominicana	"/re.&#x27;pu.bli.ka ðo.mi.ɲi.&#x27;kana/"	/reˈpuβlika ðo.miniˈkana/	sf	*			République Dominicaine	la République Dominicaine	/ʁepyblik dɔminikɛn/	sf		Dominikanische Republik					Repubblica Dominicana					Repubblica Dominicana											Geo::America::Caribbean Geo::America::Caribbean::Antilles::Greater_Antilles Geo::America::Latin_America Geo::America::North_America Geo::Countries Geo::Islands Geo::Language::Spanish_Speaking
10422	Jamaica	a Jamaica	/ʒɐ.ˈmɐj.kɐ/	/ʒɐ.ˈmaj.kɐ/	sf		Jamaica	/dʒəˈmeɪkə/	/dʒəˈmeɪkə/	n. prop	*		Jamaica	"/ʝa.&#x27;ma.ka/"	/xaˈmaika/	sf	*			Jamaïque	la Jamaïque	/ʒa.majk/	sf		Jamaika					Giamaica					Giamaica											Geo::America::Caribbean Geo::America::Caribbean::Antilles::Greater_Antilles Geo::America::North_America Geo::Countries Geo::Islands Geo::Language::English_Speaking
10423	Porto Rico	o Porto Rico	/ˈpoɾ.tu ˈʁi.ku/	/ˈpoɾ.tu ˈʁi.ku/	sm		Puerto Rico	/ˌpwɛərtoʊ ˈrikoʊ/	/ˌpwɛərtoʊ ˈrikoʊ/	n. prop	*		Puerto Rico	"/&#x27;pweɾ.to &#x27;ri.ko/"	/ˈpwerto ˈriko/	sm	*			Porto Rico	Porto Rico	/pɔʁto ʁi.ko/	sm		Puerto Rico					Porto Rico					Porto Rico											Geo::America::Caribbean Geo::America::Caribbean::Antilles::Greater_Antilles Geo::America::Latin_America Geo::America::North_America Geo::Countries Geo::Islands Geo::Language::English_Speaking Geo::Language::Spanish_Speaking Geo::Region::USA::Free_Associated_State
10424	Dominica	a Dominica	/do.mi.ˈni.kɐ/	/do.mi.ˈni.ka/	sf		Dominica	/ˌdɒmɪˈniːkə/	/ˌdɒmɪˈniːkə/	n. prop	*		Dominica	"/do.&#x27;mi.ni.ka/"	/do.miˈni.ka/	sf	*			la Dominique	la Dominique	/la dɔ.mi.nik/	sf		Dominica					Dominica					Dominica											Geo::America::Caribbean Geo::America::Caribbean::Antilles::Lesser_Antilles Geo::America::North_America Geo::Countries Geo::Islands Geo::Language::Creole_Speaking Geo::Language::English_Speaking Geo::Language::French_Speaking
10425	Santa Lúcia	a Santa Lúcia	/ˈsɐ̃.tɐ ˈlu.si.ɐ/	/ˈsɐ̃n.ta ˈlu.si.ɐ/	sf		Saint Lucia	"/seɪnt &#x27;luːʃə/"	"/seɪnt &#x27;luːʃə/"	n. prop	*		Santa Lucía	"/san.ta lu.&#x27;si.a/"	/ˈsanta luˈsi.a/	sf	*			Sainte-Lucie	Sainte-Lucie	/sɛ̃t ly.si/	sf		Saint Lucia					Santa Lucia					Santa Lucia											Geo::America::Caribbean Geo::America::Caribbean::Antilles::Lesser_Antilles Geo::America::North_America Geo::Countries Geo::Islands Geo::Language::Creole_Speaking Geo::Language::English_Speaking
10426	São Vicente e Granadinas	São Vicente e Granadinas	/sɐ̃w viˈsẽtɨ i ɡɾɐnɐˈdinɐs/	/sɐ̃w viˈsẽtɨ i ɡɾɐnɐˈdinɐs/	smp/f		Saint Vincent and the Grenadines	"/seɪnt &#x27;vɪnsənt ənd ðə ɡrɛnəˈdiːnz/"	"/seɪnt &#x27;vɪnsənt ənd ðə ɡrɛnəˈdiːnz/"	n. prop	*		San Vicente y las Granadinas	"/san βi.&#x27;θen.te i las ɣɾa.na.&#x27;ði.nas/"	/san βiˈsente i las ɣɾanaˈðinas/	smp	*			Saint-Vincent-et-les-Grenadines	Saint-Vincent-et-les-Grenadines	/sɛ̃.vɛ̃.sɑ̃.e le ɡʁe.na.din/	sfp		Saint Vincent und die Grenadinen					Saint Vincent e Grenadine					Saint Vincent e Grenadine											Geo::America::Caribbean Geo::America::Caribbean::Antilles::Lesser_Antilles Geo::America::North_America Geo::Countries Geo::Islands Geo::Language::English_Speaking
10427	São Cristóvão e Nevis	São Cristóvão e Nevis	/sɐ̃w kɾiʃˈtɔvɐ̃w i ˈnɛviʃ/	/sɐ̃w kɾisˈtɔ.vɐ̃w i ˈnɛ.vis/	smp		Saint Kitts and Nevis	/seɪnt kɪts ənd ˈniːvɪs/	/seɪnt kɪts ənd ˈniːvɪs/	n. prop	*		San Cristóbal y Nieves	"/san kɾis.&#x27;to.βal i &#x27;nie.βes/"	/san kɾisˈtoβal i ˈnjeβes/	smp	*			Saint-Christophe-et-Niévès	Saint-Christophe-et-Niévès	/sɛ̃.kʁis.tɔf e njev/	sfp		St. Kitts und Nevis					Saint Kitts e Nevis					Saint Kitts e Nevis											Geo::America::Caribbean Geo::America::Caribbean::Antilles::Lesser_Antilles Geo::America::North_America Geo::Countries Geo::Islands Geo::Language::English_Speaking
10428	Granada	a Granada	/gɾɐˈna.dɐ/	/gɾɐˈna.da/	sf		Grenada	/ɡrəˈneɪdə/	/ɡrɪˈneɪdə/	n. prop	*		Granada	/ɡɾaˈnaða/	/ɡraˈna.ða/	sf	*			Grenade	la Grenade	/ɡʁə.nad/	sf		Grenada					Granada					Granata											Geo::America::Caribbean Geo::America::Caribbean::Antilles::Lesser_Antilles Geo::America::North_America Geo::Countries Geo::Islands Geo::Language::English_Speaking
10429	Barbados	os Barbados	/bɐɾ.ˈba.dus/	/bɐɾ.ˈba.dus/	smp		Barbados	/bɑrˈbeɪdəʊz/	/bɑːˈbeɪdəʊz/	n. prop	*		Barbados	/baɾˈβaðos/	/barˈβa.ðos/	smp	*			Barbade	la Barbade	/baʁ.bad/	sf		Barbados					Barbados					Barbados											Geo::America::Caribbean Geo::America::Caribbean::Antilles::Lesser_Antilles Geo::America::North_America Geo::Countries Geo::Islands Geo::Language::English_Speaking
