10384	Angola	Angola	/ɐ̃.'ɡɔ.lɐ/	/ɐ̃.'ɡɔ.lɐ/	sf		Angola	/æŋˈɡoʊlə/	/æŋˈɡəʊlə/	n. prop	*		Angola	/ˈaŋɡola/	/ˈaŋɡola/	sm	*		<img src="_Angola_Region.png"><img src="_Angola_World_sm.png">	Angola	l'Angola	/ɑ̃gɔla/	sf		Angola	Angola	/ˈanɡɔla/	Nn.		Angola	/ˈaŋɡola/	/ˈaŋɡola/	sm		Angola	/ˈan.ɡo.la/	sm									Geo::Africa::Central_Africa Geo::Countries Geo::Language::Portuguese-Speaking
10388	Guiné Equatorial	a Guiné Equatorial	/ɡi'ni i.kwɐ.to'ɾjɐw/	/ɡi'ni i.kwa.to'ɾjɐw/	sf		Equatorial Guinea	/ˌɛkwəˈtɔriəl ɡɪˈni/	/ˌɛkwəˈtɔːriəl ɡɪˈniː/	n. prop	*		Guinea Ecuatorial	/ˈɡinea ekwatoɾjal/	/ˈɡinea ekwatoɾjal/	sf	*		<img src="_Equatorial_Guinea_Region.png"><img src="_Equatorial_Guinea_World_1_sm.png">	Guinée équatoriale	la Guinée équatoriale	/ɡi.ne e.kwa.tɔ.ʁjal/	sf		Äquatorialguinea	das Äquatorialguinea	/ˈɛkvaˌtoːɐ̯ˌɡiːneː/	Nn.		Guinera Equatorial (cat: Guinea Equatorial)	/ɡiˈneɾa ekwatoɾiˈal/	/ɡiˈneɾə ekwətoɾiˈal/	sf		Guinea Equatoriale	/ɡwiˈne e.kwɑ.toˈri.a.le/	sm									Geo::Africa Geo::Africa::Central_Africa Geo::Countries Geo::Language::Portuguese-Speaking
10391	São Tomé and Príncipe	São Tomé and Príncipe	/sɐ̃w to.'mɛ ɨ pɾĩ.'si.pɨ/	/sɐ̃w to.'mɛ i pɾĩ.'sipɨ/	sm		São Tomé and Príncipe	/ˌsaʊ toʊˈmeɪ ænd ˈprɪnsɪp/	/ˌsaʊ təˈmeɪ ænd ˈprɪnsɪp/	n. prop	*		Santo Tomé y Príncipe	/ˈsanto toˈme i ˈpɾinsipe/	/ˈsanto toˈme i ˈpɾinsipe/	sm	*		<img src="_Santo_Tome_Region_1_lg.png"><img src="_Santo_Tome_World_1_sm.png">	Sao Tomé et Principe	Sao Tomé et Principe	/sɑo to.me e pʁɛ̃.sip/	sf		São Tomé und Príncipe	São Tomé und Príncipe	/saːu̯ toˈmeː ʊnt ˈpʁɪnsɪpə/	Nn.		Sant Tomé i Príncep	/el ˈsam toˈme i ˈpɾinsɛp/	/el ˈsam toˈme i ˈpɾinsəp/	sm		São Tomé e Príncipe	/sɐ̃w toˈmɛ e ˈpɾĩ.si.pe/	sm									Geo::Africa Geo::Africa::Central_Africa Geo::Countries Geo::Language::Portuguese-Speaking
10444	Burundi	o Burundi	/bu.ɾũ'di/	/bu.ɾũ'di/	sm		Burundi	/bəˈrʊndi/	/bəˈrʊndi/	n. prop	*		Burundi	/bu.'ɾun.di/		sm	*		<img src="_Burundi_Region_lg.png"><img src="_Burundi_World.png">	le Burundi	le Burundi	/byʁyndi/	sm		Burundi					Burundi					Burundi											Geo::Africa::Central_Africa Geo::Africa::EAC_East_African_Community Geo::Africa::East_Africa Geo::Countries Geo::Language::English_Speaking Geo::Language::French_Speaking
10445	Ruanda	o Ruanda	/ʁu.'ɐ̃.dɐ/	/ʁwɐ̃.'dɐ/	sm		Rwanda	/ruˈɑːndə/	/ruˈɑːndə/	n. prop	*		Ruanda	/ru.'an.da/		sf	*		<img src="_Rwanda_Region_lg.png">	le Rwanda	le Rwanda	/ʁwɑ̃da/	sm		Ruanda					Ruanda					Ruanda											Geo::Africa::Central_Africa Geo::Africa::EAC_East_African_Community Geo::Africa::East_Africa Geo::Countries Geo::Language::English_Speaking Geo::Language::French_Speaking Geo::Language::Swahili_Speaking
10473	Congo	o Congo	/ˈkõɡu/	/ˈkõ.ɡu/	sm		Congo	/ˈkɑŋɡoʊ/	/ˈkɒŋɡəʊ/	n	*		Repubblica del Congo	/'kon.ɡo/		sm	*		<img src="_Congo-Brazzaville_World_sm.png">	Congo	le Congo	/kɔ̃ɡo/	sm		Kongo					Congo					Congo											Geo::Africa::Central_Africa Geo::Countries Geo::Language::French_Speaking
10474	Gabão	o Gabão	/ɡɐˈbɐ̃w̃/	/ɡa.ˈbɐ̃w̃/	sm		Gabon	/ɡəˈbɑn/	/ˈɡæbɒn/	n	*		Gabon	/ga.'βon/		sm	*		<img src="_Gabon_Region.png">	Gabon	le Gabon	/ɡabɔ̃/	sm		Gabun					Gabó					Gabon											Geo::Africa::Central_Africa Geo::Countries Geo::Language::French_Speaking
10475	Camarões	os Camarões	/kɐmɐˈɾõj̃ʃ/	/kɐ.mɐ.ˈɾõj̃ʃ/	smp		Cameroon	/ˌkæməˈrun/	/ˌkæməˈruːn/	n	*		Camerun	/ka.me.'ɾun/		sm	*		<img src="_Cameroon_Region_lg.png"><img src="_Cameroon_World.png">	Cameroun	le Cameroun	/kaməʁun/	sm		Kamerun					Cameroon					Camerun											Geo::Africa::Central_Africa Geo::Countries Geo::Language::English_Speaking Geo::Language::French_Speaking
10476	República Centro-Africana	a República Centro-Africana	/ʁeˈpublikɐ sẽˌtɾu‿ɐfɾiˈkɐnɐ/	/ʁe.ˈpu.bli.ka sẽ.tɾu a.fɾi.ˈka.nɐ/	sf		Central African Republic	/ˈsɛntrəl ˈæfrɪkən rɪˈpʌblɪk/	/ˈsɛntrəl ˈæfrɪkən rɪˈpʌblɪk/	n	*		Repubblica Centrafricana	/re.'pu.bli.ka θen.tɾoa.fɾi.'ka.na/		sf	*		<img src="Central-Africa_Region_lg.png"><img src="Central-Africa_World.png">	République centrafricaine	la Centrafrique	/sɑ̃tʁafʁik/	sf		Zentralafrikanische Republik					República Centroafricana					Repubblica Centrafricana											Geo::Africa::Central_Africa Geo::Countries Geo::Language::French_Speaking Geo::Language::Sango_Speaking
10477	Chade	o Chade	/ʃaˈdɨ/	/ˈʃa.dʒi/	sm		Chad	/tʃæd/	/tʃæd/	n	*		Ciad	/tʃad/		sm	*		<img src="_Chad_Region_lg.png"><img src="_Chad_World.png">	Tchad	le Tchad	/tʃad/	sm		Tschad					Chad					Chad											Geo::Africa::Central_Africa Geo::Countries Geo::Language::Arab_Speaking Geo::Language::French_Speaking
10478	República Democrática do Congo (Kinshasa)	a República Democrática do Congo	/ʁeˈpublikɐ dɨmuˈkɾatikɐ du ˈkõɡu/	/ʁe.ˈpu.bli.ka de.mu.ˈkɾa.tʃi.kɐ du ˈkõ.ɡu/	sf	Congo-Quinxassa ou Congo-Kinshasa	Democratic Republic of the Congo (Kinshasa)	/ˌdɛməˈkrætɪk rɪˈpʌblɪk əv ðə ˈkɑŋɡoʊ/	/ˌdɛməˈkrætɪk rɪˈpʌblɪk əv ðə ˈkɒŋɡəʊ/	n	*		Repubblica Democratica del Congo				*		<img src="_Congo_Kinshasa_World.png">	République démocratique du Congo					Demokratische Republik Kongo					República Democrática del Congo					Repubblica Democratica del Congo											Geo::Africa::Central_Africa Geo::Countries Geo::Language::French_Speaking Geo::Language::Swahili_Speaking
10479	Congo-Kinshasa	o Congo-Kinshasa	/ˈkõɡu kĩˈʃaza/	/ˈkõ.ɡu kĩ.ʃa.ˈza/	sm		Congo-Kinshasa	/ˈkɑŋɡoʊ kɪnˈʃɑːsə/	/ˈkɒŋɡəʊ kɪnˈʃæsə/	n	*		Congo-Kinshasa				*		<img src="_Congo_Kinshasa_Region_lg.png">	Congo-Kinshasa					Kongo-Kinshasa					Congo-Kinshasa					Congo-Kinshasa											Geo::Africa::Central_Africa Geo::Countries Geo::Language::French_Speaking Geo::Language::Swahili_Speaking
10480	Congo-Brazzavile	o Congo-Brazzavile	/ˈkõɡu bɾɐˈzavil/	/ˈkõ.ɡu bɾa.za.ˈvi.li/	sm		Congo-Brazzaville	/ˈkɑŋɡoʊ ˌbræzəˈvɪl/	/ˈkɒŋɡəʊ brəˈzævɪl/	n	*		Repubblica del Congo				*		<img src="_Congo-Brazzaville_Region_lg.png">	République du Congo					Republik Kongo					Congo-Brazzaville					Repubblica del Congo											Geo::Africa::Central_Africa Geo::Countries Geo::Language::French_Speaking
10481	República do Congo (Brazzavile)	a República do Congo	/ʁeˈpublikɐ du ˈkõɡu/	/ʁe.ˈpu.bli.ka du ˈkõ.ɡu/	sf	Congo-Brazzavile	Republic of the Congo (Brazzaville)	/rɪˈpʌblɪk əv ðə ˈkɑŋɡoʊ/	/rɪˈpʌblɪk ɒv ðə ˈkɒŋɡəʊ/	n	*		Repubblica del Congo				*		<img src="_Congo-Brazzaville_Region_lg.png">	République du Congo					Republik Kongo					República del Congo					Repubblica del Congo											Geo::Africa::Central_Africa Geo::Countries Geo::Language::French_Speaking
