10482	Arábia Saudita	a Arábia Saudita	/ɐ.'ɾa.bjɐ sɐw.'di.tɐ/	/a.'ɾa.bi.ɐ sɐw.'di.tɐ/	sf		Saudi Arabia	/ˌsɔːdɪ əˈreɪbiə/	/ˌsɔːdɪ əˈreɪbiə/	n. prop	*		Arabia Saudita	/a.'ɾa.bja sau.'di.ta/		sf	*			l'Arabie saoudite	l'Arabie saoudite	/aʁabi sawdil/	sf		Saudi-Arabien					Arabia Saudita					Arabia Saudita		
10483	Armênia	a Armênia	/aɾ.ˈmɛ.ni.ɐ/	/aɾ.ˈmɛ.ni.ɐ/	sf		Armenia	/ɑːˈmiːniə/	/ɑːˈmiːniə/	n. prop	*		Armenia	/ar.'me.ni.a/		sf	*			l'Arménie	l'Arménie	/aʁmeni/	sf		Armenien					Armenia					Armenia		
10484	Azerbaijão	o Azerbaijão	/az.ɨ.bɐj.ʒɐ̃w̃/	/az.ɨ.bɐj.ʒɐ̃w̃/	sm		Azerbaijan	/ˌæzərbaɪˈdʒɑːn/	/ˌæzərbaɪˈdʒɑːn/	n. prop	*		Azerbaiyán	/az.beɾ.bai.'xan/		sm	*			l'Azerbaïdjan	l'Azerbaïdjan	/azɛʁbajdʒɑ̃/	sm		Aserbaidschan					Azerbaigian					Azerbaigian		
10485	Catar	o Catar	/ka.ˈtaɾ/	/ka.ˈtaʁ/	sm		Qatar	/ˈkɑːtɑːr/	/ˈkɑːtɑːr/	n. prop	*		Catar	/ka.'taɾ/		sm	*			le Qatar	le Qatar	/kataʁ/	sm		Katar					Qatar					Qatar		
10486	Chipre	o Chipre	/ˈʃipɾɨ/	/ˈʃipɾi/	sm		Cyprus	/ˈsaɪprəs/	/ˈsaɪprəs/	n. prop	*		Chipre	/'tʃi.pre/		sm	*			Chypre	Chypre	/ʃipʁ/	sm		das Zypern		/ˈt͡siːpɐn/	Nn		Cipro	/ˈtʃipro/		sm		Cipro	/ˈtʃipro/	sm
10487	Geórgia	a Geórgia	/ˈʒɛ.oɾ.ʒi.ɐ/	/ˈʒɛ.oʁ.ʒi.ɐ/	sf		Georgia	/ˈdʒɔːrdʒə/	/ˈdʒɔːrdʒə/	n. prop	*		Georgia	/xe.'oɾ.ʒja/		sf	*			la Géorgie	la Géorgie	/ʒeɔʁʒi/	sf		Georgien					Georgia					Georgia		
10488	Iêmen	o Iêmen	/i.ˈjɛ̃j̃/	/i.ˈjɛ̃j̃/	sm		Yemen	/ˈjɛmən/	/ˈjɛmən/	n. prop	*		Yemen	/'ʝe.men/		sm	*			le Yémen	le Yémen	/jɛmɛn/	sm		Jemen					Yemen					Yemen		
10489	Iraque	o Iraque	/i.ˈɾak/	/i.ˈʁak/	sm		Iraq	/ɪˈræk/	/ɪˈræk/	n. prop	*		Iraq	/i.'ɾak/		sm	*			l'Irak	l'Irak	/iʁak/	sm		Irak					Iraq					Iraq		
10490	Israel	Israel	/i.ze.ˈɾaɛ̃w̃/	/i.ze.ˈʁaɛ̃w̃/	sm		Israel	/ˈɪzreɪəl/	/ˈɪzreɪəl/	n. prop	*		Israel	/is.ra'el/		sm	*			Israël	Israël	/iz.ʁa.ɛl/	sm		Israel					Israele					Israele		
10491	Jordânia	a Jordânia	/ʒoɾ.ˈdɐ.ni.ɐ/	/ʒoɾ.ˈdɐ.ni.ɐ/	sf		Jordan	/ˈdʒɔːrdən/	/ˈdʒɔːrdən/	n. prop	*		Jordania	/xor.'ða.nja/		sf	*			la Jordanie	la Jordanie	/ʒɔʁdani/	sf		Jordanien					Giordania					Giordania		
10492	Kuwait	o Kuwait	/kwe.ˈɪt/	/kwi.ˈt/	sm		Kuwait	/kʊˈweɪt/	/kʊˈweɪt/	n. prop	*		Kuwait	/kua.'it/		sm	*			le Koweït	le Koweït	/kowɛit/	sm		Kuwait					Kuwait					Kuwait		
10493	Líbano	o Líbano	/ˈli.bɐ.nu/	/ˈli.bɐ.nu/	sm		Lebanon	/ˈlɛbənɒn/	/ˈlɛbənɒn/	n. prop	*		Líbano	/'li.βa.no/		sm	*			le Liban	le Liban	/libɑ̃/	sm		Libanon					Libano					Libano		
10494	Omã	o Omã	/o.ˈmɐ̃/	/o.ˈmɐ̃/	sm		Oman	/oʊˈmɑːn/	/oʊˈmɑːn/	n. prop	*		Omán	/o.'man/		sm	*			l'Oman	l'Oman	/ɔman/	sm		Oman					Oman					Oman		
10495	Síria	a Síria	/ˈsi.ɾjɐ/	/ˈsi.ɾjɐ/	sf		Syria	/ˈsɪriə/	/ˈsɪriə/	n. prop	*		Siria	/si.'ɾja/		sf	*			la Syrie	la Syrie	/siʁi/	sf		Syrien					Siria					Siria		
