10384	Angola	Angola	/ɐ̃.'ɡɔ.lɐ/	/ɐ̃.'ɡɔ.lɐ/	sf		Angola	/æŋˈɡoʊlə/	/æŋˈɡəʊlə/	n. prop	*		Angola	/ˈaŋɡola/	/ˈaŋɡola/	sm	*			Angola	l'Angola	/ɑ̃gɔla/	sf		Angola	Angola	/ˈanɡɔla/	Nn.		Angola	/ˈaŋɡola/	/ˈaŋɡola/	sm		Angola	/ˈan.ɡo.la/	sm
10385	Brasil	o Brasil	/bɾɐ'ziw/	/bɾa'ziw/	sm		Brazil	/ˈbrəzɪl/	/ˈbræzɪl/	n. prop	*		Brasil	/bɾaˈsil/	/bɾaˈsil/	sm	*			Brésil	le Brésil	/bʁe.zil/	sm		Brasil	Brasil	/bʁaˈziːl/	Nm.		Brasil	/bɾɐˈziɫ/	/bɾəˈziɫ/	sm		Brasile	/bra.ˈzi.le/	sm
10386	Cabo Verde	Cabo Verde	/'kabu 'veɾ.ðɨ/	/'kabu 'veɾ.ðʒi/	sm		Cape Verde	/ˌkeɪp ˈvɜrd/	/ˌkeɪp ˈvɜːd/	n. prop	*		Cabo Verde	/ˈkaβo ˈβeɾðe/	/ˈkaβo ˈβeɾðe/	sm	*			Cap-Vert	le Cap-Vert	/kap vɛʁ/	sm		Kap Verde	das Kap Verde	/kap ˈvɛʁdə/	Nn.		Cabo Verd (cat: Cabo Verde)	/ˈkabo veɾt/	/ˈkabo ˈveɾðə/	sm		Capo Verde	/ˈka.po ˈver.de/	sm
10387	Guiné-Bissau	a Guiné-Bissau	/ɡi.ˈne bi.ˈsaw/	/ɡi.ˈne bi.ˈsaw/	sf		Guinea-Bissau	/ˌɡɪni bɪˈsaʊ/	/ˌɡɪni bɪˈsaʊ/	n. prop	*		Guinea-Bisáu	/ˈɡinea biˈsau/	/ˈɡinea biˈsau/	sm	*			Guinée-Bissau	la Guinée-Bissau	/ɡi.ne bi.sau/	sf		Guinea-Bissau	Guinea-Bissau	/ɡɪˈni bɪˈsaʊ/	Nn.		Guiné-Bissau (cat:Guinea-Bissau)	/ɡiˈne biˈsaw/	/ɡiˈne biˈsaw/	sm		Guinea-Bissau	/ɡi.ˈne.bi.ˈsːau/	sm
10388	Guiné Equatorial	a Guiné Equatorial	/ɡi'ni i.kwɐ.to'ɾjɐw/	/ɡi'ni i.kwa.to'ɾjɐw/	sf		Equatorial Guinea	/ˌɛkwəˈtɔriəl ɡɪˈni/	/ˌɛkwəˈtɔːriəl ɡɪˈniː/	n. prop	*		Guinea Ecuatorial	/ˈɡinea ekwatoɾjal/	/ˈɡinea ekwatoɾjal/	sf	*			Guinée équatoriale	la Guinée équatoriale	/ɡi.ne e.kwa.tɔ.ʁjal/	sf		Äquatorialguinea	das Äquatorialguinea	/ˈɛkvaˌtoːɐ̯ˌɡiːneː/	Nn.		Guinera Equatorial (cat: Guinea Equatorial)	/ɡiˈneɾa ekwatoɾiˈal/	/ɡiˈneɾə ekwətoɾiˈal/	sf		Guinea Equatoriale	/ɡwiˈne e.kwɑ.toˈri.a.le/	sm
10389	Moçambique	Moçambique	/musɐ̃.'bik/	/musɐ̃.'bik/	sm		Mozambique	/ˌmoʊzəmˈbiːk/	/ˌməʊzæmbiːk/	n. prop	*		Mozambique	/moθamˈbik/	/mosamˈbik/	sm	*			Mozambique	le Mozambique	/mɔ.zɑ̃.bi.k/	sm		Mosambik	Mosambik	/moˈzambiːk/	Nm.		Moçambic (cat: Mozambic)	/moˈsambik/	/muˈzambik/	sm		Mozambico	/moˈdzam.bi.ko/	sm
10390	Portugal	Portugal	/puɾ.tu'ɣaɫ/	/poɾ.tu'ɡaɫ/	sm		Portugal	/ˈpɔrtʃəɡəl/	/pɔːtjʊɡəl/	n. prop	*		Portugal	/porθuˈɣal/	/poɾtuˈɣal/	sf	*			Portugal	le Portugal	/pɔʁ.tu.ɡal/	sm		Portugal	Portugal	/poʁtuˈɡaːl/	Nn.		Portugal	/poɾtuˈɣal/	/puɾtuˈɣaɫ/	sm		Portogallo	/por.toˈɡal.lo/	sm
10391	São Tomé and Príncipe	São Tomé and Príncipe	/sɐ̃w to.'mɛ ɨ pɾĩ.'si.pɨ/	/sɐ̃w to.'mɛ i pɾĩ.'sipɨ/	sm		São Tomé and Príncipe	/ˌsaʊ toʊˈmeɪ ænd ˈprɪnsɪp/	/ˌsaʊ təˈmeɪ ænd ˈprɪnsɪp/	n. prop	*		Santo Tomé y Príncipe	/ˈsanto toˈme i ˈpɾinsipe/	/ˈsanto toˈme i ˈpɾinsipe/	sm	*			Sao Tomé et Principe	Sao Tomé et Principe	/sɑo to.me e pʁɛ̃.sip/	sf		São Tomé und Príncipe	São Tomé und Príncipe	/saːu̯ toˈmeː ʊnt ˈpʁɪnsɪpə/	Nn.		Sant Tomé i Príncep	/el ˈsam toˈme i ˈpɾinsɛp/	/el ˈsam toˈme i ˈpɾinsəp/	sm		São Tomé e Príncipe	/sɐ̃w toˈmɛ e ˈpɾĩ.si.pe/	sm
10392	Timor-Leste	Timor-Leste	/ti.'moɾ 'lɛʃ.tɨ/	/ti.'moɾ 'lɛs.tʃi/	sm		East Timor	/ˌist ˈtiːmɔr/	/ˌiːst ˈtiːmɔː/	n. prop	*		Timor Oriental	/tiˈmoɾ oɾjenˈtal/	/tiˈmoɾ oɾjenˈtal/	sm	*			Timor oriental	le Timor oriental	/ti.mɔʁ ɔ.ʁjɑ̃.tal/	sm		Osttimor	das Osttimor	/ˈɔsttiːmɔr/	Nn.		Timor Oriental	/tiˈmoɾ oɾjɛnˈtal/	/tiˈmo oɾjənˈtaɫ/	sm		Timor Est	/tiˈmoːr est/	sm
10393	Macao	o Macau	/mɐ.ˈkaw/	/mɐ.ˈkaw/	sm		Macao	/məˈkaʊ/	/ˈmæk.aʊ/	n. prop			Macao	/maˈkao/	/maˈkao/	sm				Macao	Macao	/ma.ka.o/	sm		Macao	Macao	/maˈkaʊ/	Nn.		Macao	/maˈkaw/	/məˈkaw/	sm		Macao	/maˈkao/	sm
10394	Goa	o Goa	/ɡo.ɐ/	/ɡo.ɐ/	sm		Goa	/ɡoʊ.ə/	/ɡəʊ.ə/	n. prop			Goa	/ɡoa/	/ɡoa/	sf				Goa	Goa	/ɡo.a/	sf		Goa	Goa	/ɡoːa/	Nn.		Goa	/ˈɡo.a/	/ˈɡo.ə/	sm		Goa	/ɡoa/	sm
