Ela mora no Afeganistão	Ela	Morar	Afeganistão
Ela vem da Alemanha	Ela	Vir	Alemanha
Tu vens da Alemanha	Tu	Vir	Alemanha
Nós moramos em Amsterdã	Nós	Morar	Amsterdã
Tu és de Amsterdã	Tu	Ser	Amsterdã
Nós somos de Andorra	Nós	Ser	Andorra
Nós moramos em Angola	Nós	Morar	Angola
Eles vão a Angola	Eles	Ir	Angola
Ela mora na Bahia	Ela	Morar	Bahia
Nós vamos à Bahia	Nós	Ir	Bahia
Ela vai a Beja	Ela	Ir	Beja
Elas vão a Beja	Elas	Ir	Beja
Ele mora na Bélgica	Ele	Morar	Bélgica
Ele vem da Bélgica	Ele	Vir	Bélgica
Nós somos de Bissau	Nós	Ser	Bissau
Os Senhores vêm de Bissau	Os Senhores	Vir	Bissau
Nós moramos em Braga	Nós	Morar	Braga
Nós vimos de Braga	Nós	Vir	Braga
Você mora no Brasil	Você	Morar	Brasil
As Senhoras vão ao Brasil	As Senhoras	Ir	Brasil
Ele vem de Brasília	Ele	Vir	Brasília
Você vai a Brasília	Você	Ir	Brasília
Eu venho de Budapeste	Eu	Vir	Budapeste
Eu vou a Budapeste	Eu	Ir	Budapeste
Eu moro em Cabo Verde	Eu	Morar	Cabo Verde
Eu venho de Cabo Verde	Eu	Vir	Cabo Verde
A senhora vem dos Camarões	A senhora	Vir	Camarões
Nós moramos nos Camarões	Nós	Morar	Camarões
Nós vamos ao Canadá	Nós	Ir	Canadá
Elas moram no Chile	Elas	Morar	Chile
Eles vêm do Chile	Eles	Vir	Chile
Eles vão à China	Eles	Ir	China
Nós vamos à China	Nós	Ir	China
Elas vão à Cidade do México	Elas	Ir	Cidade do México
Eu vou à Cidade do México	Eu	Ir	Cidade do México
Vocês são de Coimbra	Vocês	Ser	Coimbra
Vocês são de Coimbra	Vocês	Ser	Coimbra
Ela é da Colômbia	Ela	Ser	Colômbia
Elas são da Colômbia	Elas	Ser	Colômbia
Ele vem do Egito	Ele	Vir	Egito
Eu vou ao Egito	Eu	Ir	Egito
Ele vai ao Equador	Ele	Ir	Equador
Tu és da Espanha	Tu	Ser	Espanha
Você é da Espanha	Você	Ser	Espanha
Elas vêm dos Estados Unidos	Elas	Vir	Estados Unidos
Ele vai aos Estados Unidos	Ele	Ir	Estados Unidos
Ele vem de Faro	Ele	Vir	Faro
Eles moram em Faro	Eles	Morar	Faro
Eu moro na França	Eu	Morar	França
Nós vamos à França	Nós	Ir	França
Eu vou ao Funchal	Eu	Ir	Funchal
Tu vais ao Funchal	Tu	Ir	Funchal
Eles são da Guiné	Eles	Ser	Guiné
Eu vou à Guiné	Eu	Ir	Guiné
Nós vamos à Guiné Equatorial	Nós	Ir	Guiné Equatorial
Tu és de Honduras	Tu	Ser	Honduras
Vocês moram em Honduras	Vocês	Morar	Honduras
Ela mora na Inglaterra	Ela	Morar	Inglaterra
Ela vai à Inglaterra	Ela	Ir	Inglaterra
Ela vai ao Iraque	Ela	Ir	Iraque
Tu moras no Iraque	Tu	Morar	Iraque
Ela mora em Israel	Ela	Morar	Israel
Elas vão à Itália	Elas	Ir	Itália
As Senhoras vêm da Itália	As Senhoras	Vir	Itália
Eles são do Japão	Eles	Ser	Japão
Eles são do Japão	Eles	Ser	Japão
Eu vou a Lisboa	Eu	Ir	Lisboa
Nós vamos a Lisboa	Nós	Ir	Lisboa
Ela vem de London	Ela	Vir	London
Eles moram em London	Eles	Morar	London
Ele vem de Los Angeles	Ele	Vir	Los Angeles
Nós moramos em Los Angeles	Nós	Morar	Los Angeles
Tu és de Luanda	Tu	Ser	Luanda
Os Senhores moram em Luanda	Os Senhores	Morar	Luanda
Eles moram em Madrid	Eles	Morar	Madrid
Eles são de Madrid	Eles	Ser	Madrid
Elas vêm de Malabo	Elas	Vir	Malabo
Nós vamos a Malabo	Nós	Ir	Malabo
Eles moram em Maputo	Eles	Morar	Maputo
Vocês vão a Maputo	Vocês	Ir	Maputo
Eles vão ao Marrocos	Eles	Ir	Marrocos
Nós moramos no Marrocos	Nós	Morar	Marrocos
Tu vens do México	Tu	Vir	México
Tu moras em Moçambique	Tu	Morar	Moçambique
Tu vais a Moçambique	Tu	Ir	Moçambique
Ele mora em Moscou	Ele	Morar	Moscou
Eles vêm de Moscou	Eles	Vir	Moscou
Nós vamos a Munique	Nós	Ir	Munique
Eles moram em Munique	Eles	Morar	Munique
Nós vamos à Noruega	Nós	Ir	Noruega
Nós vimos da Noruega	Nós	Vir	Noruega
Elas vão a Nova Iorque	Elas	Ir	Nova Iorque
Tu és de Nova Iorque	Tu	Ser	Nova Iorque
Eu sou dos Países Baixos	Eu	Ser	Países Baixos
Nós vamos a Paris	Nós	Ir	Paris
Tu vais a Paris	Tu	Ir	Paris
Ela mora em Pequim	Ela	Morar	Pequim
Eu sou de Pequim	Eu	Ser	Pequim
Eles vêm do Porto	Eles	Vir	Porto
Eu moro no Porto	Eu	Morar	Porto
Ela mora em Portugal	Ela	Morar	Portugal
Você é de Portugal	Você	Ser	Portugal
Ela mora na Praia	Ela	Morar	Praia
Eles moram na Praia	Eles	Morar	Praia
Ele vem do Rio de Janeiro	Ele	Vir	Rio de Janeiro
Tu és do Rio de Janeiro	Tu	Ser	Rio de Janeiro
Eles moram na Rússia	Eles	Morar	Rússia
Você mora na Rússia	Você	Morar	Rússia
Ela mora em São Paulo	Ela	Morar	São Paulo
Ele vem de São Paulo	Ele	Vir	São Paulo
Eu moro em São Tomé	Eu	Morar	São Tomé
Vocês vão a São Tomé	Vocês	Ir	São Tomé
Tu és da Suécia	Tu	Ser	Suécia
Tu és da Suécia	Tu	Ser	Suécia
Eles são de Timor-Leste	Eles	Ser	Timor-Leste
Vocês são de Timor-Leste	Vocês	Ser	Timor-Leste
Ele vem de Tóquio	Ele	Vir	Tóquio
Vocês vão a Tóquio	Vocês	Ir	Tóquio
Ele vai a Trinidad e Tobago	Ele	Ir	Trinidad e Tobago
Ele vem de Trinidad e Tobago	Ele	Vir	Trinidad e Tobago
Ela mora em Valência	Ela	Morar	Valência
Vocês são de Valência	Vocês	Ser	Valência
Você vem de Veneza	Você	Vir	Veneza
Elas vêm de Veneza	Elas	Vir	Veneza
