No	pt_word	pt_word_art	pt_ipa_PT	pt_ipa_BR	pt_type_gender	pt_notes	en_word	en_ipa_US	en_ipa_UK	en_type	en_marker	en_notes	es_word	es_ipa_ES	es_ipa_LA	es_type_gender	es_marker	es_notes	image	fr_word	fr_word_art	fr_ipa	fr_type_gender	fr_notes	de_word	de_word_art	de_ipa	de_type_gender	de_notes	val_word	val_ipa	cat_ipa	val_type_gender	val_notes	it_word	it_ipa	it_type_gender	it_notes	en_pron	pt_pron	es_pron	fr_pron	de_pron	it_pron	val_pron	tags
10132	fogão	o fogão	/fu.ˈɡɐ̃w̃/	/fo.ˈɡɐ̃w̃/	sm		stove						estufa							cuisinière					Herd					estufa					stufa											
10133	lava-loiça	o lava-loiça	/ˈla.vɐ ˈloi.sɐ/	/ˈla.vɐ ˈloi.sɐ/	sm		dishwasher						lavavajillas							lave-vaisselle					Geschirrspüler					escalfador					lavastoviglie											
10134	micro-ondas	o micro-ondas	/ˌmi.kɾu.ˈõ.dɐʃ/	/ˌmi.kɾu.ˈõ.dɐʃ/	sm		microwave						microondas							micro-ondes					Mikrowelle					microones					microonde											
10141	frigorífico	o frigorífico	/fɾi.ɡu.ɾi.ˈfi.ku/	/fɾi.ɡo.ɾi.ˈfi.ku/	sm		fridge						refrigerador							réfrigérateur					Kühlschrank					frigorífic					frigorifero											
10270	prato	o prato	/ˈpɾa.tu/	/ˈpɾa.tu/	sm	<i>O prato estava cheio de comida deliciosa.</i>	plate						plato							assiette					Teller					plat					piatto											
10271	garfo	o garfo	/ˈɡaɾ.fo/	/ˈɡaɾ.fo/	sm	<i>Peguei no garfo e comencei a saborear o jantar.</i>	fork						tenedor							forchetta					Gabel					forquilla					forchetta											
10272	faca	a faca	/ˈfa.kɐ/	/ˈfa.ka/	sf	<i>A faca estava afilada e cortou a carne facilmente.</i>	knife						cuchillo							couteau					Messer					cotxeillo					coltello											
10273	colher	a colher	/ˈko.ʎɛɾ/	/ˈko.ʎeɾ/	sf (pl: colheres)	<i>Mexi a sopa com a colher antes de a provar.</i>	spoon						cuchara							cuillère					Löffel					cullera					cucchiaino											
10274	guardanapo	o guardanapo	/ɡwɐɾ.ðɐ.ˈna.pu/	/ɡwaʁ.dɐ.na.ˈpu/	sm	<i>Peguei um guardanapo para limpar as mãos depois de comer.</i>	napkin						servilleta							serviette					Serviette					nàpia					tovagliolo											
10276	copo	o copo	/ˈko.pu/	/ˈko.pu/	sm	<i>O vinho foi servido num copo muito giro.</i>	glass						vaso							verre					Glas					got					coperta											
10277	toalha	a toalha	/to.ˈʎa/	/to.ˈʎa/	sf	<i>Estendí a toalha para pôr a mesa.</i>	tablecloth						mantel							nappe					Tischdecke					tovallola					tovaglia											
10278	talher, talheres	o/a talher, os/a talheres	/ˈta.ʎɛɾ/, /ta.ˈʎeɾɨʃ/	/ta.ˈʎeɾ/, /ta.ˈʎe.ɾis/	sm/f	<i>Encontré os talheres na gaveta da cozinha.</i>	cutlery						cubertería							couverts					Besteck					cuberts					posate											
10279	chávena	a chávena	/ˈʃa.vɨ.nɐ/	/ˈʃa.ve.nɐ/	sf		cup						taza							tasse					Tasse					tassa					tazza											
10280	taça	a taça	/ˈta.sɐ/	/ˈta.sa/	sf		bowl						tazón							bol					Schüssel					tassa					scodella											
10281	garrafa	a garrafa	/ɡɐ.ˈʁa.fɐ/	/ɡa.ˈʁa.fa/	sf		bottle						botella							bouteille					Flasche					ampolla					bottiglia											
10282	jarra	a jarra	/ˈʒa.ʁɐ/	/ˈʒa.ʁɐ/	sf		jug						jarra							carafe					Krug					jarra					bottiglia											
10283	panela	a panela	/pɐ.ˈne.lɐ/	/pa.ˈne.la/	sf	<i>O fogão estava aceso e a panela fervia.</i>	pan						sartén							poele					Pfanne					olla					pentola											
10284	louça	a louça	/ˈlou.sɐ/	/ˈlow.sɐ/	sf	<i>Preciso de lavar a louça.</i>	dishes						vajilla							vaisselle					Geschirr					vaixella					piatti											
10137	cadeiras	as cadeiras	/kɐ.ˈðej.ɾɐʃ/	/ka.ˈdej.ɾɐʃ/	sfp		chairs						sillas							chaises					Stühle					cadires					sedie											
10362	máquina de café	a máquina de café	/ˈma.ki.nɐ dɨ ˈka.fɨ/	/ˈma.ki.nɐ dʒi ˈka.fi/	sf		coffee machine						cafetera							machine à café					Kaffeemaschine					màquina de cafè					macchina del caffè											
10365	tigelas	as tigelas	/ti.ˈʒɛ.lɐʃ/	/ti.ˈʒɛ.lɐʃ/	sf		bowls						tazones							bols					Schalen					cubs					ciotole											
10366	pratos fundos	os pratos fundos	/ˈpɾa.tuʃ ˈfũ.duʃ/	/ˈpɾa.tus ˈfũ.dus/	sm		deep plates						platos hondos							assiettes creuses					Teller tief					Plats fondos					piatti fondi											
10367	forno	o forno	/ˈfoɾ.nu/	/ˈfoʁ.nu/	sm		oven						horno							four					Ofen					forn					forno											
10368	escorredor	o escorredor	/iʃ.ku.ʁe.ˈdoʁ/	/is.ko.ʁe.ˈdoʁ/	sm		drainer						escurridor							égouttoir					Abtropffläche					escorredor					scolapasta											
10369	passador	o passador	/pɐ.sɐ.ˈdoɾ/	/pa.sɐ.ˈdoʁ/	sm		colander						colador							passoire					Seiher					coleador					colino											
10370	descascador	o descascador	/dɨʃ.kɐʃ.ˈka.doɾ/	/dɨʃ.kɐʃ.ˈka.doʁ/	sm		peeler						pelador							épluche-légumes					Schäler					escorredor					sbucciatore											
