10202	ir / seguir em frente		/iɾ/, /se.ˈɡiɾ ẽ.ˈfɾẽ.tɨ/	/iɾ/, /se.ˈɡiɾ ẽ.ˈfɾẽ.tʃi/	exp								ir / seguir adelante
10203	ir pela rua X		/iɾ ˈpe.ɫɐ ˈʁu.ɐ ʃi/	/iɾ ˈpe.ɫɐ ˈʁu.ɐ ʃi/	exp								ir por la calle X
10204	virar na segunda rua		/vi.ˈɾaɾ/ na se.ˈɡũ.dɐ ˈʁu.ɐ/	/vi.ˈɾaɾ/ na se.ˈɡũ.dɐ ˈʁu.ɐ/	exp								girar en la segunda calle
10205	virar à esquerda		/vi.ˈɾaɾ/ a ɨʃ.ˈkeɾ.dɐ/	/vi.ˈɾaɾ/ a ɨʃ.ˈkeɾ.dɐ/	exp								girar a la izquierda
10206	virar à direita		/vi.ˈɾaɾ/ a di.ˈɾej.tɐ/	/vi.ˈɾaɾ/ a dʒi.ˈɾej.tɐ/	exp								girar a la derecha
10207	atravessar (a praça)		/ɐ.tɾɐ.ve.ˈsaɾ a ˈpɾa.sɐ/	/ɐ.tɾɐ.ve.ˈsaʁ a ˈpɾa.sɐ/	v								atravesar (la plaza)
10208	ir até à rua		/iɾ/ ɐˈtɛ/ a ˈʁu.ɐ/	/iɾ/ ɐˈtɛ/ a ˈʁu.ɐ/	exp								ir hasta la calle
10209	apanhar (o comboio, o autocarro)		/ɐ.pɐ.ˈɲaɾ u kũ.ˈboj.ju, u o.w.tu.ˈka.ʁu/	/ɐ.pɐ.ˈɲaɾ (u kũ.ˈboj.ju, u o.w.tu.ˈka.ʁu)/	v	Nunca apanho no comboio							tomar (el tren, el autobús)
10210	ir de (comboio, mota)		/iɾ/ dɨ kũ.ˈboj.ju, ˈmo.tɐ/	/iɾ/ dɨ kũ.ˈboj.ju, ˈmo.tɐ/	exp								ir en (tren, motocicleta)
10211	para o centro de cidade		/paɾɐ u ˈsẽ.tɾu dɨ si.ˈdadʒɨ/	/paɾɐ u ˈsẽ.tɾu dɨ si.ˈdadʒi/	exp								para el centro de la ciudad
10212	venir de (autocarro, carro)		ve.ˈniɾ/ dɨ ˌaw.tu.ˈka.ʁu, ˈka.ʁu/	ve.ˈniɾ/ dɨ ˌaw.tu.ˈka.ʁu, ˈka.ʁu/	exp								venir de (autobús, coche)
10213	ir a pé		/iɾ ɐ ˈpe/	/iɾ ɐ ˈpe/	exp								ir a pie
