10192	bicicleta	a bicicleta	/bi.si.si.ˈlɛ.tɐ/	/bi.si.si.ˈle.tɐ/	sf								la bicicleta
10193	avião	o avião	/ɐ.vi.ˈɐ̃w̃/	/ɐ.vi.ˈɐ̃w̃/	sm								el avión
10194	mota	a mota	/ˈmo.tɐ/	/ˈmo.tɐ/	sf								la motocicleta
10195	comboio	o comboio	/kõ.ˈboj.ʊ/	/kõ.ˈboj.u/	sm								el tren
10196	autocarro	o autocarro	/ˌaw.tu.ˈka.ʁu/	/ˌaw.tu.ˈka.ʁu/	sm								el autobús
10197	metro	o metro	/ˈmɛ.tɾu/	/ˈmɛ.tɾu/	sm								el metro
10198	bilhetes (de comboio)	os bilhetes	/bi.ˈʎɛ.tɨʃ/	/bi.ˈʎɛ.tʃis/	smp								los billetes
10199	barco	o barco	/ˈbaɾ.ku/	/ˈbaʁ.ku/	sm								el barco
10200	eléctrico	o eléctrico	/eˈlɛk.tɾi.ku/	/eˈlɛk.tɾi.ku/	sm								el tranvía
10201	carro	o carro	/ˈka.ʁu/	/ˈka.ʁu/	sm								el coche
