10291	os Países Baixos	Países Baixos	/'pa.i.zɨʒ 'bai.ʃuʃ/	/'pa.i.zɨʒ 'bai.ʃus/	smp								Países Bajos
10292	a Alemanha	Alemanha	/ɐ.lɨ'mɐ.ɲɐ/	/a.lɨ'ma.ɲɐ/	sf								Alemania
10293	o Equador	Equador	/e.kwɐ'doɾ/	/e.kwa'doʁ/	sm								Ecuador
10294	Israel	Israel	/is.ɾɐ'ɛɫ/	/is.ɾa'ɛw/	sm								Israel
10295	o Canadá	Canadá	/kɐ.nɐ.'dɐ/	/kɐ.nɐ.'da/	sm								Canadá
10296	o México	México	/'mɛ.ʃi.ku/	/'mɛ.ʃi.ko/	sm								México
10297	Portugal	Portugal	/puɾ.tu'ɣaɫ/	/poɾ.tu'ɡaɫ/	sm								Portugal
10298	a China	China	/'ʃi.nɐ/	/'ʃi.nɐ/	sf								China
10299	o Chile	Chile	/'ʃi.li/	/'ʃi.li/	sm								Chile
10300	a Guiné Equatorial	Guiné Equatorial	/ɡi'ni i.kwɐ.to'ɾjɐw/	/ɡi'ni i.kwa.to'ɾjɐw/	sf								Guinea Ecuatorial
10301	o Timor-Leste	Timor-Leste	/ti.'moɾ 'lɛʃ.tɨ/	/ti.'moɾ 'lɛs.tʃi/	sm								Timor Oriental
10302	o Cabo Verde	Cabo Verde	/'kabu 'veɾ.ðɨ/	/'kabu 'veɾ.ðʒi/	sm								Cabo Verde
10303	Moçambique	Moçambique	/musɐ̃.'bik/	/musɐ̃.'bik/	sm								Mozambique
10304	Trinidad e Tobago	Trinidad e Tobago	/tɾi.ni.'dɐd ɨ to.'ba.ɡu/	/tɾi.ni.'dɐd ɨ to.'ba.ɡu/	smp								Trinidad y Tobago
10305	o Afeganistão	Afeganistão	/ɐ.fɨ.ɡɐ̃ʃ.tɐ̃'w̃/	/a.fe.ɡɐ̃ʃ.tɐ̃'w̃/	sm								Afganistán
10306	Andorra	Andorra	/ɐ̃.'do.ʁɐ/	/ɐ̃.'do.ʁɐ/	sf								Andorra
10307	a Angola	Angola	/ɐ̃.'ɡɔ.lɐ/	/ɐ̃.'ɡɔ.lɐ/	sf								Angola
10308	o Brasil	Brasil	/bɾɐ'ziw/	/bɾa'ziw/	sm								Brasil
10309	o Japão	Japão	/ʒɐ.'pɐ̃w̃/	/ʒa.'pɐ̃w̃/	sm								Japón
10310	os Estados Unidos	Estados Unidos	/ɨʃ.tɐ.'dus u.'ni.dus/	/is.'ta.dus u.'ni.dus/	smp								Estados Unidos
10311	a França	França	/'fɾɐ̃.sɐ/	/'fɾɐ̃.sɐ/	sf								Francia
10312	as Honduras	Honduras	/lu.ʒẽ.'buɾ.ɡu/	/lu.ʒẽ.'buɾ.ɡu/	sm								Honduras
10313	o Egito	Egito	/'e.ʒi.tu/	/e'ʒi.tu/	sm								Egipto
10314	o Iraque	Iraque	/i.'ɾɐ.kɨ/	/i.'ɾa.kɨ/	sm								Iraq
10315	os Camarões	Camarões	/kɐ.mɐ.'ɾõj̃ʃ/	/kɐ.mɐ.'ɾõj̃ʃ/	smp								Camerún
10316	a Colômbia	Colômbia	/ku.'lõm.bi.ɐ/	/ko.'lõm.bi.ɐ/	sf								Colombia
10317	o Marrocos	Marrocos	/mɐ.'ʁɔ.kuʃ/	/mɐ.'ʁɔ.kuʃ/	sm								Marruecos
10318	São Tomé and Príncipe	São Tomé and Príncipe	/sɐ̃w to.'mɛ ɨ pɾĩ.'si.pɨ/	/sɐ̃w to.'mɛ i pɾĩ.'sipɨ/	sm								Santo Tomé y Príncipe
10319	a Espanha	Espanha	/ɨʃ.'pɐ.ɲɐ/	/is.'pa.ɲɐ/	sf								España
