10214	alegre		/ɐ'lɛɡɾi/	/ɐ'le.ɡɾi/	adj m/f		cheerful			adj			alegre	/a'leɣɾe/		adj m/f.
10215	alto, alta		/'aɫtu/, /'aɫtɐ/	/'awtu/, /'awtɐ/	adjm , adjf		tall	/tɔːl/		adj			alto, alta	/ˈalta/,/ˈalto/		adjf
10216	ativo, ativa		/ɐ'tivu/, /ɐ'tivɐ/	/a'tivu/, /a'tivɐ/	adjm , adjf		active	/'æktɪv/		adj			activo, activa	/ak'tiβo/, /ak'tiβa/		adjm, adjf
10217	arrogante		/ɐʁu'ɡɐt(ɨ)/	/aʁu'ɡɐt(ɨ)/	adj		arrogant	/ˈærəɡənt/		adj			arrogante	/aro'ɣante/		adj m/f.
10218	careca		/ka.ˈɾɛ.ka/	/ka.ˈɾɛ.ka/	adj m/f		bald						calvo, calva			
10219	graúdo, graúda		/ɡɾɐ.'u.du/, /ɡɾɐ.'u.dɐ/	/ɡɾɐ.'u.du/, /ɡɾɐ.'u.dɐ/	adj	bem desenvolvido; crescido.<i>"batata g."</i><br><br>vultoso, considerável. <i>"negócio g."</i><br>diz-se de ou indivíduo de estatura elevada, grandalhão.<br><br>que ou aquele que tem prestígio, influência; poderoso.<br><br><i>"conseguiu regalias através de um funcionário g. da empresa"</i><br>	big						grande			
10220	negro, negra		/ˈnɛɡɾu/, /ˈnɛɡɾɐ/	/ˈnɛɡɾu/, /ˈnɛɡɾɐ/	adjm, adjf		black	/blæk/					negro, negra	/ˈneɡɾo/		
10221	preto, preta		/ˈpɾetu/, /ˈpɾetɐ/	/ˈpɾetu/, /ˈpɾetɐ/	adjm, adjf		black	/blæk/					negro, negra	/ˈneɡɾo/		
10222	loiro, loira		/ˈlɔj.ɾu/, /ˈlɔj.ɾɐ/	/ˈlɔj.ɾu/, /ˈlɔj.ɾɐ/	adjm, adjf		blonde						rubio, rubia			
10223	chata, chato		/ˈʃatɐ/, /ˈʃatu/	/ˈʃatɐ/, /ˈʃatu/	adjf , adjm		boring	/əˈnɔɪɪŋ/					molesto, molesta	/moˈlesto/, /moˈlesta/		
10224	comunicativo, comunicativa		/ko.mu.ni.kaˈti.vu/, /ko.mu.ni.kaˈti.vɐ/	/ko.mu.ni.kaˈti.vu/, /ko.mu.ni.kaˈti.vɐ/	adj		communicative						comunicativo, comunicativa			
10225	convencido, convencida		/kõ.vẽ.ˈsi.du/, /kõ.vẽ.ˈsi.dɐ/	/kõ.vẽ.ˈsi.du/, /kõ.vẽ.ˈsi.dɐ/	adj		convinced						convencido, convencida			
10226	legal		/lɨˈɡaɫ/	/lɨˈɡaw̃/	adjm/f		cool	/blæk/					genial, guay			
10227	covarde		/ko.ˈvaɾ.ðɨ/	/ko.ˈvaɾ.ði/	adj		coward						cobarde			
10228	curioso, curiosa		/kuɾju'zo/, /kuɾju'zozɐ/	/kuɾju'zo/, /kuɾju'zozɐ/	adjm , adjf		curious	/'kjʊriəs/		adj			curioso, curiosa	/kuɾjo'so/, /kuɾjo'sa/		adjm, adjf
10229	moreno, morena		/mo'ɾenu/, /mo'ɾenɐ/	/mo'ɾenu/, /mo'ɾenɐ/	adjm , adjf		dark-skinned	/ˈdɑːrk ˈhɛrd/		adj			moreno, morena	/mo'ɾeno/, /mo'ɾena/		adjm, adjf
10230	divorciado, divorciada		/di.vɔɾsi'adu/, /di.vɔɾsi'adɐ/		adjm , adjf		divorced	/dɪˈvɔrst/		adj			divorciado, divorciada	/di.voɾˈθjaðo/ , /di.voɾˈθjaða/		adjm, adjf
10231	excêntrico, excêntrica		/ɨʃ.ˈsẽt.ɾi.ku/, /ɨʃ.ˈsẽt.ɾi.kɐ/	/is.ˈsẽt.ɾi.ku/, /is.ˈsẽt.ɾi.kɐ/	adj		eccentric						excéntrico, excéntrica			
10232	elegante		/ɨɫɨ'ɡɐt(ɨ)/	/ɨɫɨ'ɡɐt(ɨ)/	adj m/f	También utilizada para decir que una persona está delgada.	elegant	/ˈɛlɪɡənt/		adj			elegante	/ele'ɣante/		adj m/f.
10233	gordo, gorda		/'ɡɔɾdu/, /'ɡɔɾdɐ/	/'ɡoʁdu/, /'ɡoʁdɐ/	adjm , adjf		fat	/fæt/		adj			gordo, gorda	/'goɾðo/, /'goɾða/		adjm, adjf
10234	simpático, simpática		/sĩ'patiku/, /sĩ'patikɐ/	/sĩ'patiku/, /sĩ'patikɐ/	adjm , adjf		friendly	/naɪs/		adj			simpático, simpática	/sim'patiko/, /sim'patika/		adjm, adjf
10235	divertido, divertida		/di.vɨɾ'tiðu/, /di.vɨɾ'tiðɐ/	/di.vɛʁ'tidu/, /di.vɛʁ'tidɐ/	adjm , adjf		fun	/fʌn/		adj			divertido, divertida	/diβeɾˈtiðo/, /diβeɾˈtiða/		adjm, adjf
10236	engraçado, engraçada		/ẽ.ɡɾɐˈsa.du/, /ẽ.ɡɾɐˈsa.dɐ/	/ẽ.ɡɾɐˈsa.du/, /ẽ.ɡɾɐˈsa.dɐ/	adjm , adjf		funny	/ˈfʌni/					gracioso, graciosa	/ɡɾaˈθjoso/, /ɡɾaˈθjosa/		
10237	feliz		/ˈfɛ.liz/		adjetivo		happy	/ˈhæp.i/		adj			feliz	/feˈlis/		adj m/f.
10238	trabalhador, trabalhadora		/tɾɐbɐʎa'doɾ/, /tɾɐbɐʎa'doɾɐ/	/tɾɐbaʎa'doɾ/, /tɾɐbaʎa'doɾɐ/	adjm , adjf		hardworking	/ˈhɑːrdˌwɜːrkɪŋ/		adj			trabajador, trabajadora	/tɾaβaxaˈðoɾ/, /tɾaβaxaˈðoɾa/		adjm, adjf
10239	independente		/ĩ.ˌde.pẽ.ˈdẽ.tɨ/	/ĩ.ˌde.pẽ.ˈdẽ.tʃi/	adj		independent						independiente			
10240	inteligente		/ĩ.tɨɫiˈʒẽ.tɨ/	/ĩ.tɨɫiˈʒẽ.tʃi/	adj m/f		intelligent	/ɪnˈtɛlɪdʒənt/					inteligente	/inteˈli.xente/		
