6149	alegre		/ɐ'lɛɡɾi/	/ɐ'le.ɡɾi/	adj m/f		cheerful			adj			alegre	/a'leɣɾe/		adj m/f.																														
6150	alto, alta		/'aɫtu/, /'aɫtɐ/	/'awtu/, /'awtɐ/	adjm , adjf		tall	/tɔːl/		adj			alto, alta	/ˈalta/,/ˈalto/		adjf 																														
6151	antipático, antipática		/ɐ̃tʃipɐ'tiku/, /ɐ̃tʃipɐ'tikɐ/	/ɐ̃tʃipɐ'tiku/, /ɐ̃tʃipɐ'tikɐ/	adjm , adjf		unfriendly	/ʌnˈfrɛndli/		adj			antipático, antipática	/anti'patiko/, /anti'patika/		adjm, adjf																														
6152	aposentado, aposentada (PT)		/ɐpuzẽ'tadu/, /ɐpuzẽ'tadɐ/	/ɐpozẽ'tadu/, /ɐpozẽ'tadɐ/	adjm , adjf		retired	/rɪ'taɪɚd/		adj			jubilado, jubilada	/xuβi'laðo/, /xuβi'laða/		adjm, adjf																														
6153	arrogante		/ɐʁu'ɡɐt(ɨ)/	/aʁu'ɡɐt(ɨ)/	adj		arrogant	/ˈærəɡənt/		adj			arrogante	/aro'ɣante/		adj m/f.																														
6154	ativo, ativa		/ɐ'tivu/, /ɐ'tivɐ/	/a'tivu/, /a'tivɐ/	adjm , adjf		active	/'æktɪv/		adj			activo, activa	/ak'tiβo/, /ak'tiβa/		adjm, adjf																														
6155	baixo, baixa		/'bajʃu/, /'bajʃɐ/	/'bajʃu/, /'bajʃɐ/	adjm , adjf		short	/ʃɔːrt/		adj			bajo, baja	/'baxo/, /'baxa/		adjm, adjf																														
6156	cansada, cansado		/kɐ̃'sɐdɐ/, /kɐ̃'sɐdu/	/kɐ̃'sadɐ/, /kɐ̃'sadu/	adjm , adjf		tired	/ˈtaɪərd/		adj			cansada, cansado	/kan'saðo/, /kan'saða/		adjm, adjf																														
6157	casada, casado		/kɐ'zaðɐ/ , /kɐ'zaðu/		adjm , adjf		married	/ˈmærɪd/		adj			casada, casado	/kaˈsaða/  , /kaˈsaðo/		adjm, adjf																														
6158	comprido, comprida		/kõ'pɾidu/, /kõ'pɾidɐ/	/kõ'pɾidu/, /kõ'pɾidɐ/	adjm, adjf		long	/lɔŋ/		adj			largo, larga	/'laɾɡo/, /'laɾɡa/		adjf, adjm																														
6159	curioso, curiosa		/kuɾju'zo/, /kuɾju'zozɐ/	/kuɾju'zo/, /kuɾju'zozɐ/	adjm , adjf		curious	/'kjʊriəs/		adj			curioso, curiosa	/kuɾjo'so/, /kuɾjo'sa/		adjm, adjf																														
6160	curto, curta		/'kuɾtu/, /'kuɾtɐ/	/'kuʁtu/, /'kuʁtɐ/	adjm , adjf		short	/ʃɔːrt/		adj			corto, corta	/'koɾto/, /'koɾta/		adjm, adjf																														
