10270	alemão, alemã	/ɐ'lɛmɐw̃/, /ɐ'lɛmɐ/	/a'lemaʊ̃/, /a'lema/	adjm , adjf			German	/ˈdʒɜrmən/		adj, proper noun	*		alemán, alemana	/ale'man/, /ale'mana/		adjm, adjf	*			allemand, allemande		/ almɑ̃ /, / almɑd /		
10271	angolano, angolana	/ɐ̃ɡulu'ɐnu/, /ɐ̃ɡulu'nɐ/	/ɐ̃ɡolu'ɐnu/, /ɐ̃ɡolu'nɐ/	adjm, adjf			Angolan	/æŋ'ɡoʊlən/, /-ɑn/		adj, proper noun	*		angoleño, angoleña	/aŋɡo'leɲo/, /aŋɡo'leɲa/		adjm, adjf	*			angolais, angolaise		/ɑ̃gɔlɛ/, /ɑ̃gɔlɛz/		
10272	belga	/'bɛʎɡɐ/	/'bɛʎɡɐ/	adjf			Belgian	/'bɛldʒən/		adj, proper noun	*		belga	/'bel.ɣa/		adj m/f	*			belge		/bɛlʒ/		
10273	brasileiro, brasileira	/bɾɐzi'lejɾu/, /bɾɐzi'lejɾɐ/	/bɾɐzi'lejɾu/, /bɾɐzi'lejɾɐ/	adjm, adjf			Brazilian	/bɹə'zɪliən/, /-jə-/		adj, proper noun	*		brasileño, brasileña	/bɾazi'leɲo/, /bɾazi'leɲa/		adjm, adjf	*			brésilien, brésilienne		/bʀeziljɛ̃/, /bʀeziljɛn/		
10274	cabo-verdiano, cabo-verdiana	/kabu vɨɾdi'ɐnu/, /kabu vɨɾdi'ɐnɐ/	/'kabu veɾdi'ɐnu/, /'kabu veɾdi'ɐnɐ/	adjm, adjf			Cape Verdean	/ˌkeɪp vɜrˈdiːən/, /-dən/		adj, proper noun	*		caboverdiano, caboverdiana	/kaboβeɾˈðjano/, /kaboβeɾˈðjana/		adjm, adjf	*			capverdien, capverdienne		/kapvɛʀdjɛ̃/, / kapvɛʀdjɛn/		ou cap-verdien, ienne
10275	canadense, canadense	/kɐnɐ'dẽsi/, /kɐnɐ'dẽsɐ/	/kanɐ'dẽsi/, /kanɐ'dẽsɐ/	adjm , adjf			Canadian	/kə'neɪdiən/		adj, proper noun	*		canadiense, canadiense	/kanaˈðjense/, /kanaˈðjense/		adj m/f	*			canadien, canadienne		/kanadjɛ̃/,/kanadjɛn/		
10276	chinês, chinesa	/ʃi'nɛʃ/, /ʃi'nɛzɐ/	/ʃi'nɛs/, /ʃi'nɛzɐ/	adjm , adjf			Chinese	/ˈtʃaɪˌniz/, /ˈtʃaɪˌnizə/		adj, proper noun	*		chino, china	/ˈtʃino/, /ˈtʃina/		adjm, adjf	*			chinois, chinoise		/ʃinwa/, /ʃinwaz/	nadj(pl)	la main-d’œuvre chinoise a contribué de façon importante au développement économique Chinese manpower contributed greatly to economic development
10277	egípcio, egípcia	/i'ʒipsiu/, /i'ʒipsiɐ/	/e'ʒipsiu/, /e'ʒipsiɐ/	adjm , adjf			Egyptian	/ɪˈdʒɪpʃən/		adj, proper noun	*		egipcio, egipcia	/eˈxiθjo/, /eˈxiθθa/		adjm, adjf	*			égyptien, égyptienne		/eʒipsjɛ̃/, /eʒipsjɛn/	nadj	nous avons mangé de la cuisine égyptienne
10278	espanhol, espanhola	/iʃpɐ'ɲɔl/, /iʃpɐ'ɲɔlɐ/	/ispa'ɲol/, /ispa'ɲolɐ/	adjm , adjf			Spanish	/'spænɪʃ/		adj, proper noun	*		español, española	/espaˈɲol/, /espaˈɲola/		adjm, adjf	*			espagnol, espagnole		/ɛspaɲɔl/		
10279	francês, francesa	/fɾɐ̃'sɛʃ/, /fɾɐ̃'sɛzɐ/	/fɾɐ̃'ses/, /fɾɐ̃'sezɐ/	adjm , adjf			French	/frɛntʃ/		adj, proper noun	*		francés, francesa	/fɾanˈθes/, /fɾanˈθesa/		adjm, adjf	*			français, française		/fʀɑ̃sɛ/, /fʀɑ̃sɛz/		
10280	guineense	/ɡĩne'ẽsi/	/ɡi'neẽsi/	adj			Guinean	/ɡɪˈniːən/		adj, proper noun	*		guineano, guineana	/ɡi'neano/		adjm, adjf	*			bissau-guinéen, bissau-guinéenne		/bisoɡineɛ̃/,  /bisoɡineɛn/		ou bissao-guinéen  /bisaɔɡineɛ̃/, bissao-guinéenne  /bisaɔɡineɛn/
10281	inglês, inglesa	/ĩ'glɛʃ/, /ĩ'glɛzɐ/	/ĩ'gles/, /ĩ'glezɐ/	adjm , adjf			English	/ˈɪŋɡlɪʃ/, /ˈɪŋɡlɪʃə/		adj, proper noun	*		inglés, inglesa	/iŋˈɡles/, /iŋˈɡlesa/		adjm, adjf	*			anglais, anglaise		/ɑ̃glɛ/, /ɑ̃glɛz/		
10282	japonês, japonesa	/ʒɐpu'nɛʃ/, /ʒɐpu'nɛzɐ/	/ʒɐpo'nɛs/, /ʒɐpo'nɛzɐ/	adjm , adjf			Japanese	/dʒæpəˈniːz/, /dʒæpəˈniːzə/		adj, proper noun	*		japonés, japonesa	/xa.poˈnes/, /xa.poˈnesa/		adjm, adjf	*			japonais, japonaise		/ʒapɔnɛ/, /ʒapɔnɛz/	adjm, adjf	l’économie japonaise ne se porte pas si mal the Japanese economy is faring rather well
