10040	contabilista	o contabilista	/kõ.tɐ.bi.ˈliʃ.tɐ/	/kõ.ta.bi.ˈliʃ.tɐ/	sm								contable	/kon'taβle/		sm/f		
10041	arquiteto	o arquiteto	/ɐɾ.ki.ˈtɛ.tu/	/aɾ.ki.ˈte.tu/	sm								arquitecto	/aɾkiˈtekto/, /aɾkiˈtekta/		sm, sf		
10042	artista	o/a artista	/ɐɾ.ˈtiʃ.tɐ/	/aɾ.ˈtʃiʃ.tɐ/	sm/f								artista	/arˈtista/		sm/f		
10043	desportista	o/a desportista	/dɨʃ.puɾ.ˈtiʃ.tɐ/	/diʃ.puɾ.ˈtiʃ.tɐ/	sm/f								deportista	/depoɾˈtista/		sm/f		
10044	banqueiro, a	o banqueiro, a banqueira	/bɐ̃.ˈkej.ɾu/, /bɐ̃.ˈkej.ɾɐ/	/bɐ̃.ˈkej.ɾu/, /bɐ̃.ˈkej.ɾɐ/	sm/f								banquero, banquera	/baŋ'keɾo/, /baŋ'keɾa/		sm, sf		
10045	paquete	o/a paquete	/pɐ.ˈke.tɨ/	/pa.ˈke.tɨ/	sm/f								marinero, marinera	/boˈtones/		sm/f		
10046	biologista	o/a biologista	/bi.o.lo.ˈʒiʃ.tɐ/	/bjo.lo.ˈʒis.tɐ/	sm/f								biólogo, bióloga	/biˈoloɣo/, /biˈoloɣa/		sm, sf		
10047	empresário	o empresário, a empresária	/ẽ.pɾɨ.ˈza.ɾju/, /ẽ.pɾi.ˈza.ɾjɐ/	/ẽ.pɾi.ˈza.ɾju/, /ẽ.pɾi.ˈza.ɾjɐ/	sm/f								empresario, empresaria	/emprezaˈɾjo/, /em.pre.saˈɾja/		sm, sf		
10048	caixa	o/a caixa	/ˈkaj.ʃɐ/	/ˈkaʃ.ɐ/	sm/f								cajero, cajera	/ka'xeɾo/, /ka'xeɾa/		sm, sf		
10049	químico, química	o químico, a química	/ˈkwĩ.mi.ku/, /ˈkwĩ.mi.kɐ/	/ˈkĩ.mi.ku/, /ˈkĩ.mi.kɐ/	sm/f								químico, química	/'kimiko/, /'kimika/		sm, sf		
10050	funcionário público	o funcionário público, a funcionária pública	/fũ.si.si.ˈna.ɾju ˈpub.li.ku/, /fũ.si.si.ˈna.ɾjɐ ˈpub.li.kɐ/	/fũ.si.si.ˈna.ɾju ˈpub.li.ku/, /fũ.si.si.ˈna.ɾjɐ ˈpub.li.kɐ/	sm/f								funcionario público, funcionaria pública	/funθjoˈnaɾjo ˈpubliko/, /funθjoˈnaɾja ˈpublika/		sm, sf		
10051	palhaço, palhaça	o palhaço, a palhaça	/pɐ.ˈʎa.su/, /pɐ.ˈʎa.sɐ/	/pa.ˈʎa.so/, /pa.ˈʎa.sa/	sm/f								payaso, payasa	/paˈʝaso/		sm		
10052	engenheiro informático	o engenheiro informático, a engenheira informática	/ẽ.ʒɐ.ˈɲej.ɾu ɨ̃.fɔɾ.mɐ.ˈti.ku/, /ẽ.ʒɐ̃.ˈʁej.ɾɐ ĩ.fɔɾ.mɐ.ˈti.kɐ/	/ẽ.ʒɐ.ˈʁej.ɾu ĩ.foɾ.mɐ.ˈti.ku/, /ẽ.ʒɐ̃.ˈʁej.ɾɐ ĩ.foɾ.mɐ.ˈti.kɐ/	sm/f								ingeniero informático	/inxeɾˈnjeɾo inforˈmatiko/, /inxeɾˈnjeɾa inforˈmatika/		sm, sf		
