10297	T-shirt	a T-shirt	/a tɛ.ˈʃiɾt/	/a tɛ.ˈʃiɾt/	sf								camiseta
10298	casaco	o casaco	/kɐ.ˈza.ku/	/ka.ˈza.ku/	sm								abrigo, chaqueta
10299	camisola	a camisola	/kɐ.mi.ˈzɔ.lɐ/	/ka.mi.ˈzɔ.lɐ/	sf								camisón, jersey
10300	calças de ganga	as calças de ganga	/ˈkaɫ.sɐʃ dɨ ˈɡɐ̃.ɡɐ/	/ˈkaɫ.sɐʃ dʒi ˈɡɐ̃.ɡɐ/	sfp								jeans, vaqueros
10301	calções	os calções	/ˈkaɫ.sɐ̃w̃ʃ/	/ˈkaɫ.sɐ̃w̃ʃ/	smp								bermudas, pantalones cortos
10302	botas	as botas	/ˈbo.tɐʃ/	/ˈbo.tɐʃ/	sfp								botas, botines
10303	vestido	o vestido	/vɨʃ.ˈti.ðu/	/ves.ˈti.du/	sm								vestido, traje
10304	cachecol	o cachecol	/ka.ʃɨ.ˈkɔɫ/	/ka.ʃi.ˈkɔw̃/	sm								bufanda, pañuelo
10305	sandálias	as sandálias	/sɐ̃.ˈda.ʎɐʃ/	/sɐ̃.ˈda.ʎɐʃ/	sfp								sandalias, chancletas
10306	gabardina	a gabardina	/ɡɐ.bɐɾ.ˈdi.nɐ/	/ɡɐ.bɐɾ.ˈdi.nɐ/	sf								gabardina, impermeable
10307	saia	a saia	/ˈsaj.ɐ/	/ˈsaj.ɐ/	sf								falda, pollera
10308	ténis	os ténis	/ˈtɛ.niʃ/	/ˈte.nis/	smp								zapatillas, tenis
10309	biquini	o biquini	/bi.ˈki.ni/	/bi.ˈki.ni/	sm								bikini
10310	boné	o boné	/bo.ˈnɛ/	/bo.ˈnɛ/	sm								gorra
10311	gorro	o gorro	/ˈɡo.ʁu/	/ˈɡo.ʁu/	sm								gorro
10312	meias	as meias	/ˈmɐj.ɐʃ/	/ˈmɐj.ɐʃ/	sfp								medias, calcetines
10313	roupa	a roupa	/ˈʁo(w̃).pɐ/	/ˈʁo(w̃).pɐ/	sf								ropa, vestimenta
10314	bolso	o bolso	/ˈboɫ.su/	/ˈboɫ.su/	sm								bolsillo
