o café	café	o café	/u kɐ.ˈfɛ/	/&#x27;ka.fi/	sm	/o café/	coffee	/ˈkɒfi/	/ˈkɒfi/	n			café	/ˈkafe/		sm				café		kafe			Kaffee	der Kaffee				cafè					caffè											Português::Curso::A1 Português::Vocabulario::Alimentos::Bebidas
a cerveja	cerveja	a cerveja	/ɐ sɨɾ.ˈvɐj.ʒɐ/	/seʁˈve.ʒɐ/	sf	/a cerveja/	beer	/bɪr/	/bɪə/	n			cerveza	/θeɾˈβeθa/		sust. fem.				bière		[bjɛʀ]	nf	je veux prendre deux bouteilles de bière avant de partir	Bier					cervesa					birra											Português::Curso::A1 Português::Vocabulario::Alimentos::Bebidas
o chá	chá	o chá	/u ˈʃa/	/ʃa/	sm	/o chá/	tea	/ti/	/tiː/	n			té			/te/				thé		[te]	nm	je vous ai aussi apporté du thé	Tee					te					tè											Português::Curso::A1 Português::Vocabulario::Alimentos::Bebidas
o leite	leite	o leite	/u ˈɫɐj.tɨ/	/ˈlej.tʃi/	sm	/o leite/	milk	/mɪlk/	/mɪlk/	n			leche	/ˈletʃe/		sust. fem.				lait					Milch					llet					latte											Português::Curso::A1 Português::Vocabulario::Alimentos::Bebidas
um sumo de laranja	sumo de laranja	um sumo de laranja	/ˈũ ˈsu.mu dɨ ɫɐ.ˈɾɐ̃.ʒɐ/	/&#x27;sumu dʒi laˈɾãʒɐ/	sm	/um sumo de laranja/	orange juice	/ˈɔrɪndʒ ʤus/	/ˈɒrɪndʒ ʤuːs/	n			zumo de naranja							jus d&#x27;orange					Orangensaft					suc de taronja					succo d'arancia											Português::Curso::A1 Português::Vocabulario::Alimentos::Bebidas
um chá	chá	um chá	/ˈũ ˈʃa/	/ʃa/	sm	/um chá/	a tea	/ə ti/	/ə tiː/	n			un té							un thé					ein Tee					un te					un tè											Português::Curso::A1 Português::Vocabulario::Alimentos::Bebidas
o vino	vino	o vino	/u ˈvi.nu/		sm	/o vino/	wine			n			vino																																	Português::Curso::A1 Português::Vocabulario::Alimentos::Bebidas
o morango	morango	o morango	/u mu.ˈɾɐ̃.gu/	/moˈɾɐ̃.ɡu/	sm		strawberry	/ˈstrɔːbəri/	/ˈstrɔːbəri/	n			fresa	/ˈfɾesa/		sf				fraise		fʀɛz			Erdbeere					maduixa					fragola											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
a ameixa	ameixa	a ameixa	/ɐ ɐ.ˈmɐj.ʃɐ/	/ɐˈmej.ʃɐ/	sf		plum	/plʌm/	/plʌm/	n			ciruela	/θiˈɾwela/		sf				prune		/pʀyn/			Pflaume					pruna					prugna											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
a banana	banana	a banana	/ɐ bɐ.ˈnɐ.nɐ/	/baˈna.nɐ/	sf		banana	/bəˈnænə/	/bəˈnɑːnə/	n			plátano	/ˈplɑtano/		sm, sf.				banane		/banan/			Banane	die Banane				banana					banana											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
o limão	limão	o limão	/u ɫi.ˈmɐ̃w/	/liˈmɐ̃w̃/	sm		lemon	/ˈlɛmən/	/ˈlɛmən/	n			limón	/liˈmon/		s.m.				citron		/sitʀɔ̃/			Zitrone					llimona					limone											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
a maçã	maçã	a maçã	/ɐ mɐ.ˈsɐ̃/	/maˈsɐ/	sf		apple	/ˈæpl̩/	/ˈæpl̩/	n			manzana	/manˈsana/		s.f.				pomme		/pɔm/	nf	Elle croqua la pomme avec un bruit qu’il détesta She crunched into the apple with a noise that he detested.	Apfel					poma					mela											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
a(s) uva(s)	uva	a(s) uva(s)	/ɐz ˈu.vɐʃ/	/ˈu.vɐ/	sf		grape	/ɡreɪp/	/ɡreɪp/	n			uva	/ˈuβa/		sf			&lt;img src=&quot;_en_grapes.JPG&quot;&gt;	raisin					Traube					raïm					uva											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
a laranja	laranja (fruta)	a laranja	/ɐ ɫɐ.ˈɾɐ̃.ʒɐ/	/la.ˈɾɐ̃.ʒɐ/	sf		orange (fruit)	/ˈɔrɪndʒ/	/ˈɒrɪndʒ/	n			naranja (fruta)	/naˈɾaŋxa/						orange (fruit)		[ɔʀɑ͂ʒ]	adji,nf	ils cultivent des oranges	Orange (Frucht)					taronja (fruita)					arancia (frutta)											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
a fruta	fruta	a fruta	/ɐ ˈfɾu.tɐ/	/ˈfɾu.tɐ/	sf		fruit	/frut/	/fruːt/	n			fruta							fruit					Obst					fruita					frutta											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
o abacate	abacate	o abacate	/u ɐ.bɐ.ˈka.tɨ/	/ɐ.ba.ˈka.tʃi/	sm		avocado	/ˌævəˈkɑdoʊ/	/ˌævəˈkɑːdəʊ/	n			aguacate						&lt;img src=&quot;_avocado.jpg&quot;&gt;	avocat					Avocado					alvocat					avocado											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
o kiwi	kiwi	o kiwi	/u kɨ.ˈui/	/ˈki.wi/	sm		kiwi	/ˈkiwi/	/ˈkiːwi/	n			kiwi							kiwi					Kiwi					kiwi					kiwi											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
a papaia	papaia	a papaia	/ɐ pɐ.ˈpaj.ɐ/	/pɐ.ˈpa.i.ɐ/	sf		papaya	/pəˈpaɪə/	/pəˈpaɪə/	n			papaya							papaye					Papaya					papaia					papaya											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
a meloa	meloa	a meloa	/ɐ mɨ.ˈɫo.ɐ/	/mi.ˈlo.ɐ/	sf		melon	/ˈmɛlən/	/ˈmɛlən/	n			melón							melon					Melone					meló					melone											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
o mamão	mamão	o mamão	/u mɐ.ˈmɐ̃w/	/ma.ˈmɐ̃w̃/	sm		papaya	/pəˈpaɪə/	/pəˈpaɪə/	n			papaya							papaye					Papaya					papaia					papaia											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
a melancia	melancia	a melancia	/ɐ mɨ.ɫɐ̃.ˈsi.ɐ/	/mi.ˈlɐ̃.si.ɐ/	sf		watermelon	/ˈwɔtərmɛlən/	/ˈwɔːtəmɛlən/	n			sandía							pastèque					Wassermelone					síndria					anguria											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
os frutos do bosque	frutos do bosque	os frutos do bosque	/uʃ ˈfɾu.tuʒ du ˈboʃ.kɨ/	/ˈfɾu.tus du ˈboʃ.ki/	smp		berries	/ˈbɛrɪz/	/ˈbɛrɪz/	nfp			frutos del bosque							baies					Beeren					fruita del bosc					frutti di bosco											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
a manteiga	manteiga	a manteiga	/ɐ mɐ̃.ˈtɐj.gɐ/	/mɐ̃ˈtej.ɡɐ/	sf		butter	/ˈbʌtər/	/ˈbʌtə/	n			mantequilla	/manteˈkiʎa/		s.f.				beurre		/bœʀ/	nm	j’aurais appris à faire du beurre, du fromage I would have learned to make butter and cheese	Butter					mantega					burro											Português::Curso::A1 Português::Vocabulario::Alimentos
o(s) ovo(s)	ovo	o(s) ovo(s)	/uz ˈo.vuʃ/	/ˈɔ.vu/	sm		egg	/ɛɡ/	/ɛɡ/	n			huevo	/ˈwebo/		sust. masc.			<img src="_en_egg.JPG">	œuf		[œf, pl ø]	nm	n’oublie pas de chercher tes œufs de Pâques	Ei	das Ei				ou					uovo											Português::Curso::A1 Português::Vocabulario::Alimentos
o pão	pão	o pão	/u ˈpɐ̃w/	/ˈpɐ̃w̃/	sm		bread	/brɛd/	/brɛd/	n			pan	/pan/		sust. masc.				pain		[pɛ͂]	nm	ça grille le pain pendant qu’on le tranche	Brot					pa					pane											Português::Curso::A1 Português::Vocabulario::Alimentos
