o café	café	o café	/u kɐ.ˈfɛ/	/ˈka.fi/	sm		coffee	/ˈkɒfi/	/ˈkɒfi/	n			café	/ˈkafe/		sm			<img src="_en_coffee.JPG">	café		kafe			Kaffee	der Kaffee				cafè					caffè											Português::Curso::A1 Português::Vocabulario::Alimentos Português::Vocabulario::Alimentos::Bebidas
a cerveja	cerveja	a cerveja	/ɐ sɨɾ.ˈvɐj.ʒɐ/	/seʁˈve.ʒɐ/	sf		beer	/bɪr/	/bɪə/	n			cerveza	/θeɾˈβeθa/		sust. fem.			<img src="_beer.jpg">	bière		[bjɛʀ]	nf	je veux prendre deux bouteilles de bière avant de partir	Bier					cervesa					birra											Português::Curso::A1 Português::Vocabulario::Alimentos Português::Vocabulario::Alimentos::Bebidas
o chá	chá	o chá	/u ˈʃa/	/ʃa/	sm		tea	/ti/	/tiː/	n			té			/te/			<img src="_cha.JPG">	thé		[te]	nm	je vous ai aussi apporté du thé	Tee					te					tè											Português::Curso::A1 Português::Vocabulario::Alimentos Português::Vocabulario::Alimentos::Bebidas
o leite	leite	o leite	/u ˈɫɐj.tɨ/	/ˈlej.tʃi/	sm		milk	/mɪlk/	/mɪlk/	n			leche	/ˈletʃe/		sust. fem.			<img src="_en_milk.JPG">	lait					Milch					llet					latte											Português::Curso::A1 Português::Vocabulario::Alimentos Português::Vocabulario::Alimentos::Bebidas
um sumo de laranja	sumo de laranja	um sumo de laranja	/ˈũ ˈsu.mu dɨ ɫɐ.ˈɾɐ̃.ʒɐ/	/ˈsumu dʒi laˈɾãʒɐ/	sm		orange juice	/ˈɔrɪndʒ ʤus/	/ˈɒrɪndʒ ʤuːs/	n			zumo de naranja						<img src="fresh-orange-juice-1614822_640.jpg">	jus dˈorange					Orangensaft					suc de taronja					succo d'arancia											Português::Curso::A1 Português::Vocabulario::Alimentos Português::Vocabulario::Alimentos::Bebidas
um chá	chá	um chá	/ˈũ ˈʃa/	/ʃa/	sm		a tea	/ə ti/	/ə tiː/	n			un té						<img src="_cha.JPG">	un thé					ein Tee					un te					un tè											Português::Curso::A1 Português::Vocabulario::Alimentos Português::Vocabulario::Alimentos::Bebidas
o vino	vino	o vino	/u ˈvi.nu/		sm		wine			n			vino						<img src="_vino_wine.JPG">																											Português::Curso::A1 Português::Vocabulario::Alimentos Português::Vocabulario::Alimentos::Bebidas
o morango	morango	o morango	/u mu.ˈɾɐ̃.gu/	/moˈɾɐ̃.ɡu/	sm		strawberry	/ˈstrɔːbəri/	/ˈstrɔːbəri/	n			fresa	/ˈfɾesa/		sf				fraise		fʀɛz			Erdbeere					maduixa					fragola											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
a ameixa	ameixa	a ameixa	/ɐ ɐ.ˈmɐj.ʃɐ/	/ɐˈmej.ʃɐ/	sf		plum	/plʌm/	/plʌm/	n			ciruela	/θiˈɾwela/		sf				prune		/pʀyn/			Pflaume					pruna					prugna											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
a banana	banana	a banana	/ɐ bɐ.ˈnɐ.nɐ/	/baˈna.nɐ/	sf		banana	/bəˈnænə/	/bəˈnɑːnə/	n			plátano	/ˈplɑtano/		sm, sf.				banane		/banan/			Banane	die Banane				banana					banana											Português::Curso::A1 Português::Vocabulario::Alimentos::Frutas
