a banheira	banheira	a banheira	/ɐ bɐ.ˈɲɐj.ɾɐ/	/bɐ.ˈɲej.ɾɐ/	sf		bathtub						bañera							baignoire					Badewanne					banyera					vasca da bagno
a torneira	torneira	a torneira	/ɐ tuɾ.ˈnɐj.ɾɐ/	/toɾ.ˈnej.ɾɐ/	sf	<i>Abri a torneira e a água estava gelada.</i>	tap						grifo							robinet					Hahn					robinet					rubinetto
o espelho	espelho	o espelho	/u ʃ.ˈpɐ.ʎu/	/is.ˈpe.ʎu/	sm		mirror						espejo							miroir					Spiegel					mirall					specchio
a sanita	sanita	a sanita	/ɐ sɐ.ˈni.tɐ/	/sɐ.ˈni.tɐ/	sf	<i>A sanita está entupida, preciso de chamar um canalizador.</i>	toilet						inodoro							WC					Toilette					banyera					vaso
o lavatório	lavatório	o lavatório	/u ɫɐ.vɐ.ˈtɔ.ɾi.u/	/lɐ.vɐ.ˈtɔ.ɾju/	sm	<i>Lavé o rostro no lavatório.</i>	washbasin						lavabo							lavabo					Waschbecken					llavador					lavabo
a toalha	toalha	a toalha	/ɐ tu.ˈa.ʎɐ/	/to.ˈʎa/	sf		towel						toalla							serviette					Handtuch					fulard					asciugamano
o chuveiro	chuveiro	o chuveiro	/u ʃu.ˈvɐj.ɾu/	/ʃu.ˈvej.ɾu/	sm	<i>O chuveiro está com pouca pressão de agua.</i>	shower						ducha							douche					Dusche					dutxa					doccia
a pasta de dentes	pasta de dentes	a pasta de dentes	/ɐ ˈpaʃ.tɐ dɨ ˈdẽ.tɨʃ/	/ˈpaʃ.tɐ dʒi ˈdẽ.tis/	sf		toothpaste						pasta de dientes							dentifrice					Zahnpasta					pasta de dents					dentifricio
a escova de dentes	escova de dentes	a escova de dentes	/ɐ ʃ.ˈko.vɐ dɨ ˈdẽ.tɨʃ/	/ˈɛʃ.ko.vɐ dʒi ˈdẽ.tis/	sf		toothbrush						cepillo de dientes							brosse à dents					Zahnbürste					raspall de dents					spazzolino da denti
o gel de banho	gel de banho	o gel de banho	/u ˈʒɛɫ dɨ ˈbɐ.ɲu/	/ˈʒɛw dʒi ˈbɐ.ɲu/	sm		shower gel						gel de ducha							gel douche					Duschgel					gel de dutxa					gel doccia
o creme	creme	o creme	/u ˈkɾe.mɨ/	/ˈkɾe.mi/	sm		cream						crema							créme					Creme					crema					crema
o papel higiénico	papel higiénico	o papel higiénico	/u pɐ.ˈpɛɫ .ʒi.ˈɛ.ni.ku/	/pa.ˌpeɫ i.ʒi.ˈẽj.ku/	sm		toilet paper						papel higiénico							papier toilette					Klopapier					paper higiènic					carta igienica
o sabonete	sabonete	o sabonete	/u sɐ.bu.ˈne.tɨ/	/sa.bo.ˈne.tʃi/	sm		soap						jabón							savon					Seife					sabó					sapone
o desodorizante	desodorizante	o desodorizante	/u dɨ.zu.du.ɾi.ˈzɐ̃.tɨ/	/de.zo.do.ɾi.ˈzan.tʃi/	sm		deodorant						desodorante							déodorant					Deodorant					desodorant					desodorante
o condicionador	condicionador	o condicionador	/u kõ.dɨ.si.u.nɐ.ˈdoɾ/	/kõ.di.si.o.na.ˈdoʁ/	sm		conditioner						acondicionador							après-shampooing					Conditioner					acondicionador					balsamo
o champô	champô	o champô	/u ʃɐ̃.ˈpo/	/ʃɐ̃.ˈpu/	sm		shampoo						champú							shampoing					Shampoo					xampú					shampoo
a esponja de banho	esponja de banho	a esponja de banho	/ɐ ʃ.ˈpõ.ʒɐ dɨ ˈbɐ.ɲu/	/is.põ.ʒɐ dʒi ˈbɐ.ɲu/	sf		bath sponge						esponja de baño							éponge de bain					Badeschwamm					esponja de bany					spugna da bagno
a escova	escova	a escova	/ɐ ʃ.ˈko.vɐ/	/ˈɛʃ.ko.vɐ dʒi ˈdẽ.tis/	sf		brush						cepillo							brosse					Bürste					raspall					spazzola
o perfume	perfume	o perfume	/u pɨɾ.ˈfu.mɨ/	/peɾ.ˈfu.mɨ/	sm		perfume						perfume							parfum					Parfüm					perfum					profumo
