o andar	andar	o andar	/u ɐ̃.ˈdaɾ/	/ɐ̃.ˈdaʁ/	sm		floor (as in floor number in a building)						piso (en un edificio)							plancher					Stockwerk						pis					piano
o armario	armario	o armario	/u aɾ.mɐ.ˈɾi.u/	/aɾ.ˈma.ɾju/	sm		wardrobe						armario (cerrado)							armoire					Schrank						armari					armadio
a cadeira	cadeira	a cadeira	/ɐ kɐ.ˈdɐj.ɾɐ/	/ka.ˈdej.ɾɐ/	sf		chair						silla							chaise					Stuhl						cadira					sedia
o esquentador	esquentador	o esquentador	/u ʃ.kẽ.tɐ.ˈdoɾ/	/is.kɐ̃.ˈta.duɾ/	sm		heater						calentador							chauffe-eau					Heizung						escalfador					scaldabagno
a estante	estante	a estante	/ɐ ʃ.ˈtɐ̃.tɨ/	/is.ˈtɐ̃t͡ʃi/	sf		shelf						estantería, librero							étagère					Regal						prestatge					scaffale
a gaveta	gaveta	a gaveta	/ɐ gɐ.ˈve.tɐ/	/gɐ.ˈve.tɐ/	sf		drawer						cajón							tiroir					Schublade						calaix					cassetto
a janela	janela	a janela	/ɐ ʒɐ.ˈne.ɫɐ/	/ʒɐ.ˈne.lɐ/	sf		window						ventana							fenêtre					Fenster						finestra					finestra
a mesa	mesa	a mesa	/ɐ ˈme.zɐ/	/ˈme.zɐ/	sf		table						mesa							table					Tisch						taula					tavolo
a prateleira	prateleira	a prateleira	/ɐ pɾɐ.tɨ.ˈɫɐj.ɾɐ/	/pɾɐ.te.ˈlej.ɾɐ/	sf		shelf						entrepaño							étagère					Regal						prestatge					scaffale
a secretária	secretária	a secretária	/ɐ sɨ.kɾɨ.ˈta.ɾi.ɐ/	/sɨ.kɾɨ.ˈta.ɾjɐ/	sf		desk						secretaria							bureau					Schreibtisch						secretària					scrivania
o sofá	sofá	o sofá	/u su.ˈfa/	/so.ˈfa/	sm		sofa						sillón							canapé					Sofa						sofà					divano
o tapete	tapete	o tapete	/u tɐ.ˈpe.tɨ/	/ta.ˈpe.tɨ/	sm		carpet						alfombra							tapis					Teppich						catifa					tappeto
a televisão	televisão	a televisão	/ɐ tɨ.ɫɨ.vi.ˈzɐ̃w/	/te.li.vi.ˈzɐ̃w̃/	sf		television						televisión							télévision					Fernseher						televisió					televisione
