a máquina de lavar	máquina de lavar (roupa)	a máquina de lavar	/ɐ ˈma.ki.nɐ dɨ ɫɐ.ˈvaɾ/	/ˈma.ʃinɐ dʒi la.ˈvaɾ/	sf		washing machine						lavadora							machine à laver					Waschmaschine					llavador (roba)					lavatrice (vestiti)
a vassoura	vassoura	a vassoura	/ɐ vɐ.ˈso.ɾɐ/	/vɐ.su.ˈɾɐ/	sf		broom						escoba							balai					Besen					escoba					scopa
as luvas	luvas	as luvas	/ɐʒ ˈɫu.vɐʃ/	/ˈlu.vɐʃ/	sf		gloves						guantes							gants					Handschuhe					guants					guanti
o lava-roupas	lava-roupas	o lava-roupas	/u ˈɫa.vɐ-ˈʁo.pɐʃ/	/ˈla.vɐ.ˈʁo.upɐʃ/	sm		washing machine						lavadora							lave-linge					Waschmaschine					llavadora					lavatrice
os baldes	baldes	os baldes	/uʒ ˈbaɫ.dɨʃ/	/ˈbaw.dʒis/	sm		buckets						cubos							seaux, seau					Eimer					cubs					bidoni
os panos de chão	panos de chão	os panos de chão	/uʃ ˈpɐ.nuʒ dɨ ˈʃɐ̃w/	/ˈpa.nus dʒi ʃɐ̃w̃/	sm		floor cloths						mopas							chiffons de sol					Bodenlappen					panys de terra					panni da pavimento
os panos	panos	os panos	/uʃ ˈpɐ.nuʃ/	/ˈpa.nus/	sm		cloths						paños							chiffons					Lappen					panys					panni
a tabua de engomar	tabua de engomar	a tabua de engomar	/ɐ tɐ.ˈbu.ɐ dɨ ẽ.gu.ˈmaɾ/	/ˈta.bwa dʒi ẽ.ɡo.ˈmaʁ/	sf		ironing board						tabla de planchar							planche à repasser					Bügelbrett					taula de planxar					tavola da stiro
o estendal	estendal	o estendal	/u ʃ.tẽ.ˈdaɫ/	/is.tẽ.ˈdaj/	sm		drying rack						tendedero							étendoir					Wäscheständer					estenedor					asciugatrice
o detergente	detergente	o detergente	/u dɨ.tɨɾ.ˈʒẽ.tɨ/	/dʒi.tɨɾ.ˈʒẽ.tʃi/	sm		detergent						detergente							détergent					Reinigungsmittel					detergent					detersivo
