bicicleta	bicicleta	A bicicleta	<img src="pt_bicicleta.JPG">	/ ɐ bɨ.si.ˈkɫe.tɐ /	/ a bisiˈklɛtɐ /	sf		bicycle	/ˈbaɪsɪkəl/	/ˈbaɪsɪkᵊl/	n			bicicleta						bicyclette					Fahrrad					bicicleta					bicicletta											Português::Curso::A1 Português::Vocabulario::Cidade::Transporte
avião	avião	O avião	<img src="pt_aviao.JPG">	/ u ɐ.vi.ˈɐ̃w /	/ u aviˈɐ̃w̃ /	sm		airplane	/ˈɛrˌpleɪn/	/ˈeəpleɪn/	n			avión						avion					Flugzeug					avió					aereo											Português::Curso::A1 Português::Vocabulario::Cidade::Transporte
mota	mota	A mota	<img src="pt_mota.JPG">	/ ɐ ˈmo.tɐ /	/ a ˈmɔtɐ /	sf		motorcycle	/ˈmoʊtə˞ˌsaɪkəl/	/ˈməʊtəˌsaɪkᵊl/	n			moto						moto					Motorrad					moto					motocicletta											Português::Curso::A1 Português::Vocabulario::Cidade::Transporte
comboio	comboio	O comboio	<img src="pt_comboio.JPG">	/ u kõ.ˈboj.u /	/ u kõˈboju /	sm		train	/ˈtɹeɪn/	/ˈtreɪn/	n			tren						train					Zug					tren					treno											Português::Curso::A1 Português::Vocabulario::Cidade::Transporte
autocarro	autocarro	O autocarro	<img src="pt_autocarro.JPG">	/ u aw.tu.ˈka.ʁu /	/ u awtoˈkaʁu /	sm		bus	/ˈbəs/	/ˈbʌs/	n			autobús						autobus					Bus					autobús					autobus											Português::Curso::A1 Português::Vocabulario::Cidade::Transporte
metro	metro	O metro	<img src="pt_metro.JPG">	/ u ˈme.tɾu /	/ u ˈmɛtɾu /	sm	Meio de transporte de<span style="background-color: rgb(255, 255, 255);">&nbsp;passageiros </span><span style="background-color: rgb(255, 255, 255);">que circula num percurso não subterrâneo ou parcialmente subterrâneo,</span>	metro	/ˈmɛtɹoʊ/	/ˈmetrəʊ/	n			metro						métro					U-Bahn					metro					metropolitana											Português::Curso::A1 Português::Vocabulario::Cidade::Transporte
barco	barco	O barco	<img src="pt_barco.JPG">	/ u ˈbaɾ.ku /	/ u ˈbaʁku /	sm		boat	/ˈboʊt/	/ˈbəʊt/	n			barco						bateau					Boot					vaixell					barca											Português::Curso::A1 Português::Vocabulario::Cidade::Transporte
eléctrico	eléctrico	O eléctrico	<img src="pt_electrico.JPG">	/ u i.ˈɫɛk.tɾi.ku /	/ u iˈlɛtɾiku /	sm	Veículo de transporte urbano&nbsp;de&nbsp;passageiros movido a eletricidade, sobre carris de ferro.	tram	/ˈtɹæm/	/ˈtræm/	n			tranvía						tram					Straßenbahn					tram					tram											Português::Curso::A1 Português::Vocabulario::Cidade::Transporte
carro	carro	O carro	<img src="pt_carro.JPG">	/ u ˈka.ʁu /	/ u ˈkaʁu /	sm		car	/ˈkɑr/	/ˈkɑː/	n			coche						voiture					Auto					cotxe					auto											Português::Curso::A1 Português::Vocabulario::Cidade::Transporte
bilhetes	bilhetes	Os bilhetes	<img src="pt_bilhetes.JPG">	/ uʒ bi.ˈʎe.tɨʃ /	/ uʒ biˈʎɛtes /	smp	Senha que, mediante pagamento, dá direito à utilização de meios de transporte públicos.	(train) tickets	/ˈtɹeɪn ˈtɪkəts/	/ˈtreɪn | ˈtɪkɪts/	n			boletos (de tren)						billets de train					Zugtickets					bitllets (de tren)					biglietti (del treno)											Português::Curso::A1 Português::Vocabulario::Cidade::Transporte
passadeira	passadeira	A passadeira	<img src="pt_passadeira.JPG">	/ ɐ pɐ.sɐ.ˈdɐj.ɾɐ /	/ a pasaˈdejɾɐ /	sf	Faixa de segurança destinada à passagem de peões, constituída por retângulos brancos sucessivos pintados na estrada.	crosswalk	/ˈkɹɔsˌwɔk/	/ˈkrɒswɔːk/	n			paso de peatones						passage piéton					Fußgängerüberweg					travesia					attraversamento pedonale											Português::Curso::A1 Português::Vocabulario::Cidade
passeio	passeio	O passeio	<img src="pt_passeio.JPG">	/ u pɐ.ˈsɐj.u /	/ u paˈseju /	sm	Parte da via pública, normalmente sobrelevada, que ladeia a faixa de rodagem e se destina ao trânsito de peões.	sidewalk	/ˈsaɪdˌwɔk/	/ˈsaɪdwɔːk/	n			paseo						trottoir					Gehweg					viatge					passeggiata											Português::Curso::A1 Português::Vocabulario::Cidade
semáforo	semáforo	O semáforo	<img src="pt_semáforo.JPG">	/ u sɨ.ˈma.fu.ɾu /	/ u seˈmafuɾu /	sm	Posto de sinalização luminosa, automática, nos cruzamentos de ruas e estradas.	traffic light	/ˈtɹæfɪk ˈlaɪt/	/ˈtræfɪk ˈlaɪt/	n			semáforo						feu de circulation					Verkehrsampel					semàfor					semáforo											Português::Curso::A1 Português::Vocabulario::Cidade
semáforo	semáforo	O cruzamento	<img src="pt_cruzamento.JPG">	/ u kɾu.zɐ.ˈmẽ.tu /	/ u kɾuzɐˈmẽtu /	sm	Ponto onde convergem duas ou mais vias.	intersection	/ˌɪntə˞ˈsɛkʃən/	/ˌɪntəˈsekʃᵊn/	n			intersección						carrefour					Kreuzung					cruzament					incrocio											Português::Curso::A1 Português::Vocabulario::Cidade
praça	praça	A praça	<img src="pt_praça.JPG">	/ ɐ ˈpɾa.sɐ /	/ a ˈpɾasɐ /	sf	Lugar público e amplo geralmente rodeado de edifícios e onde desembocam várias ruas.	square	/ˈskwɛr/	/ˈskweə/	n			plaza						place					Platz					plaça					piazza											Português::Curso::A1 Português::Vocabulario::Cidade
paragem de autocarros	paragem de autocarros	A paragem de autocarros	<img src="pt_paragem_de_autocarros.JPG">	/ ɐ pɐ.ɾɐ.ʒɐ̃j dɨ aw.tu.ˈka.ʁuʃ /	/ a paˈɾaʒẽj̃ dʒi awtoˈkaʁus /	sf	Lugar onde determinados autocarros param para descida e/ou subida de passageiros.	bus stop	/ˈbəs ˈstɑp/	/ˈbʌs ˈstɒp/	n			parada de autobús						arrêt de bus					Bushaltestelle					parada d&#x27;autobús					fermata dell'autobus											Português::Curso::A1 Português::Vocabulario::Cidade
