perto + longe (antônimo)	antônimo	perto	longe	/ˈpeɾ.tu/	/ˈɫõ.ʒɨ/	/longe/   
alegre + triste (ant)	antônimo	alegre	triste	/ɐ.ˈɫe.gɾɨ/	/ˈtɾiʃ.tɨ/	/triste/   
grande + pequeno (ant)	antônimo	grande	pequeno	/ˈgɾɐ̃.dɨ/	/pɨ.ˈke.nu/	/pequeno/   
em frente de + atrás de (ant)	antônimo	em frente de	atrás de	/ɐ̃j ˈfɾẽ.tɨ dɨ/	/ɐ.ˈtɾaʒ dɨ/	/atrás de/   
em cima de + debaixo de (ant)	antônimo	em cima de	debaixo de	/ɐ̃j ˈsi.mɐ dɨ/	/dɨ.ˈbaj.ʃu dɨ/	/debaixo de/   
curto + comprido (ant)	antônimo	curto	comprido	/ˈkuɾ.tu/	/kõ.ˈpɾi.du/	/comprido/   
simpático + antipático (ant)	antônimo	simpático	antipático	/sĩ.ˈpa.ti.ku/	/ɐ̃.ti.ˈpa.ti.ku/	/antipático/   
alto + baixo (ant)	antônimo	alto	baixo	/ˈaɫ.tu/	/ˈbaj.ʃu/	/baixo/   
gordo + magro (ant)	antônimo	gordo	magro	/ˈgoɾ.du/	/ˈma.gɾu/	/magro/   
bonito + feio (ant)	antônimo	bonito	feio	/bu.ˈni.tu/	/ˈfɐj.u/	/feio/   
arrumado + desarrumado (ant)	antônimo	arrumado	desarrumado	/a.ʁu.ˈma.du/	/dɨ.za.ʁu.ˈma.du/	/desarrumado/   
calmo + nervoso (ant)	antônimo	calmo	nervoso	/ˈkaɫ.mu/	/nɨɾ.ˈvo.zu/	/nervoso/   
divertido + chato (ant)	antônimo	divertido	chato	/di.vɨɾ.ˈti.du/	/ˈʃa.tu/	/chato/   
esperto + ingénuo (ant)	antônimo	esperto	ingénuo	/ʃ.ˈpeɾ.tu/	/ĩ.ˈgɛ.nu.u/	/ingénuo/   
organizado + desorganizado (ant)	antônimo	organizado	desorganizado	/oɾ.gɐ.ni.ˈza.du/	/dɨ.zuɾ.gɐ.ni.ˈza.du/	/desorganizado/   
trabalhador + preguiçoso (ant)	antônimo	trabalhador	preguiçoso	/tɾɐ.bɐ.ʎɐ.ˈdoɾ/	/pɾɨ.gi.ˈso.zu/	/preguiçoso/   
solteiro + casado (ant)	antônimo	solteiro	casado	/sɔɫ.ˈtɐj.ɾu/	/kɐ.ˈza.du/	/casado/   
estreita + larga (ant)	antônimo	estreita	larga	/ʃ.ˈtɾɐj.tɐ/	/ˈɫaɾ.gɐ/	/larga/   
pesado + leve (ant)	antônimo	pesado	leve	/pɨ.ˈza.du/	/ˈɫe.vɨ/	/leve/   
barato + caro (ant)	antônimo	barato	caro	/bɐ.ˈɾa.tu/	/ˈka.ɾu/	/caro/   
lenta + rápida (ant)	antônimo	lenta	rápida	/ˈɫẽ.tɐ/	/ˈʁa.pi.dɐ/	/rápida/   
grosso (objeto) + fino (ant)	antônimo	grosso (objeto)	fino	/ˈgɾo.su/	/ˈfi.nu/	/fino/   
fraco + forte (ant)	antônimo	fraco	forte	/ˈfɾa.ku/   	/ˈfoɾ.tɨ/	/forte/   
cedo + tarde (ant)	antônimo	cedo	tarde	/ˈse.du/	/ˈtaɾ.dɨ/	/tarde/   
fora de hora + hora certa (ant)	antônimo	fora de hora	hora certa	/ˈfo.ɾɐ dɨ ˈo.ɾɐ/	/ˈo.ɾɐ ˈseɾ.tɐ/	/hora certa/   
aborrecido + divertido (ant)	antônimo	aborrecido	divertido	/ɐ.bu.ʁɨ.ˈsi.du/	/di.vɨɾ.ˈti.du/	/divertido/   
rico + pobre (ant)	antônimo	rico	pobre	/ˈʁi.ku/	/ˈpo.bɾɨ/	/pobre/   
longa + curta (ant)	antônimo	longa	curta	/ˈɫõ.gɐ/	/ˈkuɾ.tɐ/	/curta/   
doente + saudável (ant)	antônimo	doente	saudável	/du.ˈẽ.tɨ/	/saw.ˈda.vɛɫ/	/saudável/   
apaixonado + indiferente (ant)	antônimo	apaixonado	indiferente	/ɐ.paj.ʃu.ˈna.du/	/ĩ.dɨ.fɨ.ˈɾẽ.tɨ/	/indiferente/   
velho + novo (ant)	antônimo	velho	novo	/ˈvɐ.ʎu/	/ˈno.vu/	/novo/   
aberto + fechado (ant)	antônimo	aberto	fechado	/ɐ.ˈbeɾ.tu/	/fɨ.ˈʃa.du/	/fechado/   
limpo + sujo (ant)	antônimo	limpo	sujo	/ˈɫĩ.pu/	/ˈsu.ʒu/	/sujo/   
subir + descer (ant)	antônimo	subir	descer	/su.ˈbiɾ/	/dɨʃ.ˈseɾ/	/descer/   
aumentar + diminuir (ant)	antônimo	aumentar	diminuir	/aw.mẽ.ˈtaɾ/	/dɨ.mi.nu.ˈiɾ/	/diminuir/   
vestir + despir (ant)	antônimo	vestir	despir	/vɨʃ.ˈtiɾ/	/dɨʃ.ˈpiɾ/	/despir/   
tirar + pôr (ant)	antônimo	tirar	pôr	/ti.ˈɾaɾ/	/ˈpoɾ/	/pôr/   
gastar + poupar (ant)	antônimo	gastar	poupar	/gɐʃ.ˈtaɾ/	/po.ˈpaɾ/	/poupar/   
arrumar + desarrumar (ant)	antônimo	arrumar	desarrumar	/a.ʁu.ˈmaɾ/	/dɨ.za.ʁu.ˈmaɾ/	/desarrumar/   
abrir + fechar (ant)	antônimo	abrir	fechar	/ɐ.ˈbɾiɾ/	/fɨ.ˈʃaɾ/	/fechar/   
sujar + limpar (ant)	antônimo	sujar	limpar	/su.ˈʒaɾ/	/ɫĩ.ˈpaɾ/	/limpar/   
entrar + sair (ant)	antônimo	entrar	sair	/ẽ.ˈtɾaɾ/	/sɐ.ˈiɾ/	/sair/   
nascer + morrer (ant)	antônimo	nascer	morrer	/nɐʃ.ˈseɾ/	/mu.ˈʁeɾ/	/morrer/   
rir + chorar (ant)	antônimo	rir	chorar	/ˈʁiɾ/	/ʃu.ˈɾaɾ/	/chorar/   
chegar + partir (ant)	antônimo	chegar	partir	/ʃɨ.ˈgaɾ/	/paɾ.ˈtiɾ/	/partir/   
