ativo, ativa	<img src="Sasha_Connie_Running_Away.jpg">	ativo, ativa	ativo, ativa	/ɐ'tivu/, /ɐ'tivɐ/	/ aˈtʃivu | aˈtʃivɐ /	adjm , adjf			active	/ˈæktɪv/	/ˈæktɪv/	adj			activo, activa	/ak'tiβo/, /ak'tiβa/		adjm, adjf				actif, active						aktiv						actiu, activa						attivo, attiva											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
arrogante	<img src="Jean_Smile.jpg">	arrogante	arrogante	/ɐʁu'ɡɐt(ɨ)/	/ aʁoˈɡɐ̃tʃi /	adj m/f			arrogant	/ˈɛrəɡənt/	/ˈærəɡᵊnt/	adj			arrogante	/aro'ɣante/		adj m/f.				arrogant						arrogant						arrogant						arrogante											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
careca	<img src="Keith_Face.JPG">	careca	careca	/ka.ˈɾɛ.ka/	/ kaˈɾɛkɐ /	adj m/f			bald	/ˈbɔld/	/ˈbɔːld/	adj			calvo							chauve						kahl						calb						calvo											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao::Cabelo Português::Vocabulario::Tipo_Palavra::Adjetivos
graúdo, graúda	<img src="Mikasa How Old Are you.jpg">	graúdo, graúda	graúdo, graúda	/ɡɾɐ.'u.du/, /ɡɾɐ.'u.dɐ/	/ ɡɾaˈudu | ɡɾaˈudɐ /	adjm, adjf			being a grown-up	/ˈbiɪŋ ə ˈɡɹoʊnˌəp/	/ˈbiːɪŋ ə ˈɡrəʊnʌp/	adj			crecido, crecida							grand, grande						groß						grande						grande											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Idade Português::Vocabulario::Tipo_Palavra::Adjetivos
negro, negra	<img src="Onyankopon_Face.JPG">	negro, negra	negro, negra	/ˈnɛɡɾu/, /ˈnɛɡɾɐ/	/ ˈnɛɡɾu | ˈnɛɡɾɐ /	adjm, adjf			black	/ˈblæk/	/ˈblæk/	adj			negro, negra	/ˈneɡɾo/						noir, noire						schwarz						negre, negra						nero, nera											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Pele Português::Vocabulario::Tipo_Palavra::Adjetivos
preto, preta	<img src="Onyankopon_Hange.JPG">	preto, preta	preto, preta	/ˈpɾetu/, /ˈpɾetɐ/	/ ˈpɾɛtu | ˈpɾɛtɐ /	adjm, adjf	Es ofensivo y es mejor usar negro, negra cuando se trata de personas. Sin embargo es una palabra común, sobre todo en canciones y en literatura, por eso aparece está incluida en este deck.		black	/ˈblæk/	/ˈblæk/	adj			negro, negra (con "p" - ofensivo)	/ˈneɡɾo/						noir, noire						schwarz						negre, negra						nero, nera											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Pele Português::Vocabulario::Tipo_Palavra::Adjetivos
loiro, loira	<img src="Krista_02.jpg">	loiro, loira	loiro, loira	/ˈlɔj.ɾu/, /ˈlɔj.ɾɐ/	/ ˈlojɾu | ˈlojɾɐ /	adjm, adjf			blond, blonde	/ˈblɑnd | ˈblɑnd/	/ˈblɒnd | ˈblɒnd/	adj			rubio, rubia							blond, blonde						blond						ros, rossa						biondo, bionda											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao::Cabelo Português::Vocabulario::Tipo_Palavra::Adjetivos
chata, chato	<img src="Connie Aburrido.gif">	chata, chato	chata, chato	/ˈʃatɐ/, /ˈʃatu/	/ ˈʃatɐ | ˈʃatu /	adjf , adjm			boring	/ˈbɔrɪŋ/	/ˈbɔːrɪŋ/	adj			aburrido, aburrida  (con "ch")	/moˈlesto/, /moˈlesta/						ennuyeux, ennuyeuse						langweilig						avorrit, avorrida						noioso, noiosa											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
moreno, morena (cabelo)	<img src="Mina_Face.JPG">	moreno, morena	moreno, morena	/mo'ɾenu/, /mo'ɾenɐ/	/ moˈɾɛnu | moˈɾɛnɐ /	adjm , adjf			brunette	/bɹuˈnɛt/	/bruˈnet/	adj			con pelo oscuro													brünett												castano, castana											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao::Cabelo Português::Vocabulario::Tipo_Palavra::Adjetivos
alegre	<img src="Sasha_Character.JPG">	alegre	alegre	/ɐ'lɛɡɾi/	/ aˈlɛɡɾi /	adj m/f			cheerful	/ˈtʃɪrfəl/	/ˈtʃɪəfᵊl/	adj			alegre	/a'leɣɾe/		adj m/f.				heureux						fröhlich						alegre						felice											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
comunicativo, comunicativa	<img src="Armin Speech GIF.webp">	comunicativo, comunicativa	comunicativo, comunicativa	/ko.mu.ni.kaˈti.vu/, /ko.mu.ni.kaˈti.vɐ/	/ komunikaˈtʃivu | komunikaˈtʃivɐ /	adjm, adjf			communicative	/kəˈmjunəˌkeɪtɪv/	/kəˈmjuːnɪkətɪv/	adj			comunicativo, comunicativa							communicatif, communicative						kommunikativ						comunicatiu, comunicativa						comunicativo, comunicativa											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
convencido, convencida	<img src="Jean_Engreido.gif">	convencido, convencida	convencido, convencida	/kõ.vẽ.ˈsi.du/, /kõ.vẽ.ˈsi.dɐ/	/ kõvẽˈsidu | kõvẽˈsidɐ /	adjm, adjf			condescending	/ˌkɑndɪˈsɛndɪŋ/	/ˌkɒndɪˈsendɪŋ/	adj			engreído, engreída							hautain, hautaine						überheblich						convençut, convençuda						convinto, convinta											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
legal		legal	legal	/lɨˈɡaɫ/	/ leˈɡaw /	adj m/f			cool	/ˈkul/	/ˈkuːl/	adj			guay (ES), chido, a (MEX)- (Con "l")							sympa						cool						guai						carino, carina											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
covarde	<img src="Daz.JPG">	covarde	covarde	/ko.ˈvaɾ.ðɨ/	/ koˈvaʁdʒi /	adj m/f			coward, cowardly	/ˈkaʊə˞d | ˈkaʊə˞dli/	/ˈkaʊəd | ˈkaʊədli/	adj			cobarde							lâche						feige						covard						codardo											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
curioso, curiosa	<img src="Hange_Curious.JPG">	curioso, curiosa	curioso, curiosa	/kuɾju'zo/, /kuɾju'zozɐ/	/ kuɾiˈɔzu | kuɾiˈɔzɐ /	adjm , adjf			curious	/ˈkjʊriəs/	/ˈkjʊəriəs/	adj			curioso, curiosa	/kuɾjo'so/, /kuɾjo'sa/		adjm, adjf				curieux, curieuse						neugierig						curiós, curiosa						curioso, curiosa											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
moreno, morena (pele)	<img src="Ymir_Face.JPG">	moreno, morena	moreno, morena	/mo'ɾenu/, /mo'ɾenɐ/	/ moˈɾɛnu | moˈɾɛnɐ /	adjm , adjf			dark-skinned	/ˈdɑrkˈskɪnd/	/ˌdɑːkˈskɪnd/	adj			moreno, morena	/mo'ɾeno/, /mo'ɾena/		adjm, adjf				brun, brune												moreno, morena																	Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Pele Português::Vocabulario::Tipo_Palavra::Adjetivos
divorciado, divorciada		divorciado, divorciada	divorciado, divorciada	/di.vɔɾsi'adu/, /di.vɔɾsi'adɐ/	/ dʒivoʁsiˈadu | dʒivoʁsiˈadɐ /	adjm , adjf			divorced	/dəˈvɔrst/	/dɪˈvɔːst/	adj			divorciado, divorciada							divorcé, divorcée						geschieden						divorciat, divorciada						divorziato, divorziata											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Estado_civil Português::Vocabulario::Tipo_Palavra::Adjetivos
excêntrico, excêntrica	<img src="Hange_CHaracter.JPG">	excêntrico, excêntrica	excêntrico, excêntrica	/ɨʃ.ˈsẽt.ɾi.ku/, /ɨʃ.ˈsẽt.ɾi.kɐ/	/ iʃˈsẽtɾiku | iʃˈsẽtɾikɐ /	adjm, adjf			eccentric	/ɪkˈsɛntɹɪk/	/ekˈsentrɪk/	adj			excéntrico, excéntrica	/di.voɾˈθjaðo/ , /di.voɾˈθjaða/		adjm, adjf				excentrique						exzentrisch						excèntric, excèntrica						eccentrico, eccentrica											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
elegante (boa aparência)	<img src="Vogue Cover Mikasa Levi Eren Historia.jpg">	elegante	elegante	/ɨɫɨ'ɡɐt(ɨ)/	/ ileˈɡɐ̃tʃi /	adj m/f	También es utilizada para decir que una persona está delgada, en lugar de magro, magra.		elegant	/ˈɛlɪɡənt/	/ˈelɪɡᵊnt/	adj			elegante							élégant						elegant						elegant						elegante											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
gordo, gorda	<img src="Gross_Fat.webp">	gordo, gorda	gordo, gorda	/'ɡɔɾdu/, /'ɡɔɾdɐ/	/ ˈɡɔʁdu | ˈɡɔʁdɐ /	adjm , adjf			fat	/ˈfæt/	/ˈfæt/	adj			gordo, gorda	/ele'ɣante/		adj m/f.				gros, grosse						dick						gros, grossa						grasso, grassa											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Pessoas::Descripçao::Corpo Português::Vocabulario::Tipo_Palavra::Adjetivos
simpático, simpática	<img src="Marco_Jean.jpg">	simpático, simpática	simpático, simpática	/sĩ'patiku/, /sĩ'patikɐ/	/ sĩˈpatʃiku | sĩˈpatʃikɐ /	adjm , adjf			friendly	/ˈfɹɛndli/	/ˈfrendli/	adj			simpático, simpática	/'goɾðo/, /'goɾða/		adjm, adjf				sympa						nett						simpàtic, simpàtica						simpatico, simpatica											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
divertido, divertida	<img src="Sasha_Connie_Balancing_Potatos.jpg">	divertido, divertida	divertido, divertida	/di.vɨɾ'tiðu/, /di.vɨɾ'tiðɐ/	/ dʒiveʁˈtʃidu | dʒiveʁˈtʃidɐ /	adjm , adjf			fun	/ˈfən/	/ˈfʌn/	adj			divertido, divertida	/sim'patiko/, /sim'patika/		adjm, adjf				drôle						lustig						divertit, divertida						divertente											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
engraçado, engraçada	<img src="sasha connie.jpeg">	engraçado, engraçada	engraçado, engraçada	/ẽ.ɡɾɐˈsa.du/, /ẽ.ɡɾɐˈsa.dɐ/	/ ẽɡɾaˈsadu | ẽɡɾaˈsadɐ /	adjm , adjf			funny	/ˈfəni/	/ˈfʌni/	adj			gracioso, graciosa	/diβeɾˈtiðo/, /diβeɾˈtiða/		adjm, adjf				drôle						lustig						graciós, graciosa						divertente											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
feliz	<img src="Armin_Ocean_Happy.jpeg">	feliz	feliz	/ˈfɛ.liz/	/ feˈliʃ /	adj m/f			happy	/ˈhæpi/	/ˈhæpi/	adj			feliz	/ɡɾaˈθjoso/, /ɡɾaˈθjosa/						heureux						glücklich						feliç						felice											Português::Curso::A1 Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
trabalhador, trabalhadora	<img src="Eren Working.gif">	trabalhador, trabalhadora	trabalhador, trabalhadora	/tɾɐbɐʎa'doɾ/, /tɾɐbɐʎa'doɾɐ/	/ tɾabaʎaˈdoʁ | tɾabaʎaˈdɔɾɐ /	adjm , adjf			hardworking	/ˈhɑrdˈwɜ˞kɪŋ/	/#hardworking#/	adj			trabajador, trabajadora	/feˈlis/		adj m/f.				travailleur, travailleuse						fleißig						treballador, treballadora						lavoratore, lavoratrice											Português::Curso::A1 Português::Vocabulario::Pessoas::Carácter Português::Vocabulario::Tipo_Palavra::Adjetivos
