#separator:tab
#html:true
#tags column:47
bem-disposto, bem-disposta	bem-disposto, bem-disposta	bem-disposto, bem-disposta	"<img src=""_bem-disposta_acordar.JPG"">"	/bɐ̃j-dɨʃ.ˈpoʃ.tu/ ,  /bɐ̃j-dɨʃ.ˈpoʃ.tɐ/	/ bẽdʒisˈpɔstu | bẽdʒisˈpɔstɐ /	adj m, adj f	<div>1.&nbsp;Que&nbsp;tem&nbsp;boa&nbsp;disposição&nbsp;ou&nbsp;bom&nbsp;humor.</div><div>2.&nbsp;Que&nbsp;está&nbsp;bem&nbsp;de&nbsp;saúde.</div>	good-spirited	/ˈɡʊdˈspɪrətəd/	/ˈɡʊdˈspɪrɪtɪd/				con ánimos (salud), alegre							de bonne humeur					fröhlich					bendispost					ben disposto										Português::Curso::A1::Livro_O_Alienista Português::Vocabulario::Pessoas::Carácter Português::Vocabulario::Corpo_Saude Português::Vocabulario::Pessoas::Descripçao Português::Vocabulario::Tipo_Palavra::Adjetivos
cabeça	cabeça	a cabeça	"<img src=""_cabeça_judith.JPG"">"	/ɐ kɐˈbɛsɐ/	/a kaˈbɛsɐ/	sf		head						cabeza						tête					Kopf					cap					capo											Português::Curso::A1 Português::Vocabulario::Corpo::Partes_do_Corpo
orelha	orelha	a orelha	"<img src=""_en_ears.JPG"">"	/ɐ oˈɾɐʎɐ/	/a oˈɾeʎɐ/	sf		ear						oreja						oreille					Ohr					orella					orecchio											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
perna	perna	a perna	"<img src=""_pernas_piernas_legs.JPG"">"	/ɐ ˈpɛɾnɐ/	/a ˈpɛʁnɐ/	sf		leg						pierna						jambe					Bein					cama					gamba											Português::Curso::A1 Português::Vocabulario::Corpo::Pernas Português::Vocabulario::Corpo_Saude
costas	costas	as costas	"<img src=""_costas_espalda_back.JPG"">"	/ɐʃ ˈkɔʃtɐʃ/	/aʃ ˈkɔstas/	sfp		back						espalda						dos					Rücken					esquena					schiena											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
nariz	nariz	o nariz	"<img src=""_nariz.JPG"">"	/u nɐˈɾiʃ/	/u naˈɾiʃ/	sm		nose						nariz						nez					Nase					nas					naso											Português::Curso::A1 Português::Vocabulario::Corpo::Rostro Português::Vocabulario::Corpo_Saude
dentes	dentes	os dentes	"<img src=""_en_teeth.JPG"">"	/uʒ ˈdẽtɨʃ/	/uʒ ˈdẽtes/	smp		teeth						dientes						dents					Zähne					dents					denti											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
testa	testa	a testa	"<img src=""_testa_frente.JPG"">"	/ɐ ˈtɛʃtɐ/	/a ˈtɛstɐ/	sf		forehead						frente						front					Stirn					front					front											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
olhos	olhos	os olhos	"<img src=""Olhos_Verdes.jpg"">"	/uz ˈɔʎuʃ/	/uz ˈɔʎus/	smp		eyes						ojos						yeux					Augen					ulls					occhi											Português::Curso::A1 Português::Vocabulario::Corpo::Rostro Português::Vocabulario::Corpo_Saude
olho	olho	o olho	"<img src=""_amber_eye.jpg"">"	/u ˈɔʎu/	/u ˈɔʎu/	sm		eye						ojo						œil					Auge					ull					occhio											Português::Curso::A1 Português::Vocabulario::Corpo::Rostro Português::Vocabulario::Corpo_Saude
boca	boca	a boca	"<img src=""_boca_mouth.JPG"">"	/ɐ ˈbɔkɐ/	/a ˈbɔkɐ/	sf		mouth						boca						bouche					Mund					boca					bocca											Português::Curso::A1 Português::Vocabulario::Corpo::Partes_do_Corpo Português::Vocabulario::Corpo::Rostro
orelhas	orelhas	as orelhas	"<img src=""noise baby cover ears sorolls.JPG"">"	/ɐz oˈɾɐʎɐʃ/	/az oˈɾeʎas/	sfp		ears						orejas						oreilles					Ohren					orelles					orecchie											Português::Curso::A1 Português::Vocabulario::Corpo::Cabeça Português::Vocabulario::Corpo_Saude
cotovelo	cotovelo	o cotovelo	"<img src=""_codo_cotovelo_elbow.JPG"">"	/u kutuˈvɛlu/	/u kotoˈvɛlu/	sm		elbow						codo						coude					Ellenbogen					colze					gomito											Português::Curso::A1 Português::Vocabulario::Corpo Português::Vocabulario::Corpo::Braço Português::Vocabulario::Pessoas::Partes_do_Corpo
mão	mão	a mão	"<img src=""hand mano.JPG"">"	/ɐ ˈmɐ̃w̃/	/a ˈmɐ̃w̃/	sf		hand						mano						main					Hand					mà					mano											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
mãos	mãos	as mãos	"<img src=""_maos_manos_hands.JPG"">"	/ɐʒ ˈmɐ̃w̃ʃ/	/aʒ ˈmɐ̃w̃s/	sfp		hands						manos						mains					Hände					mans					mani											Português::Curso::A1 Português::Vocabulario::Corpo Português::Vocabulario::Corpo::Braço Português::Vocabulario::Corpo::Maos Português::Vocabulario::Corpo_Saude
peito (corpo)	peito	o peito	"<img src=""_peito.jpg"">"	/u ˈpɐjtu/	/u ˈpejtu/	sm		chest						pecho						poitrine					Brust					pit					petto											Português::Curso::A1 Português::Vocabulario::Corpo::Tronco Português::Vocabulario::Corpo_Saude
barriga	barriga	a barriga	"<img src=""_barriga_belly.JPG"">"	/ɐ bɐˈʁiɡɐ/	/a baˈʁiɡɐ/	sf		belly						barriga						ventre					Bauch					panxa					pancia											Português::Curso::A1 Português::Vocabulario::Corpo::Partes_do_Corpo Português::Vocabulario::Corpo::Tronco
ancas	ancas	as ancas	"<img src=""hip-cadera-maluc-photo.JPG"">"	/ɐz ˈɐ̃kɐʃ/	/az ˈɐ̃kas/	sfp		hips						caderas						hanches					Hüften					malucs					anche											Português::Curso::A1 Português::Vocabulario::Corpo::Partes_do_Corpo
joelho	joelho	o joelho	"<img src=""knees.jpg"">"	/u ʒuˈɐʎu/	/u ʒoˈeʎu/	sm		knee						rodilla						genou					Knie					genoll					ginocchio											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
tornozelo	tornozelo	o tornozelo	"<img src=""ankle.JPG"">"	/u tuɾnuˈzɛlu/	/u toʁnoˈzɛlu/	sm		ankle						tobillo						cheville					Knöchel					turmell					caviglia											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
pescoço	pescoço	o pescoço	"<img src=""neck.JPG"">"	/u pɨˈʃkɔsu/	/u pesˈkɔsu/	sm		neck						cuello						cou					Verband collare collo																					Português::Curso::A1 Português::Vocabulario::Corpo_Saude
braço	braço	o braço	"<img src=""forearm.jpg"">"	/u ˈbɾasu/	/u ˈbɾasu/	sm		arm						brazo						bras					Arm					braç					braccio											Português::Curso::A1 Português::Vocabulario::Corpo::Partes_do_Corpo
pé	pé	o pé	"<img src=""_foot_pie-pe.JPG"">"	/u ˈpɛ/	/u ˈpɛ/	sm		foot						pie						pied					Fuß					pe					piede											Português::Curso::A1 Português::Vocabulario::Corpo::Pernas Português::Vocabulario::Corpo::Pes Português::Vocabulario::Corpo_Saude
rabo (PT)	rabo	o rabo	"<img src=""_rabo.JPG"">"	/u ˈʁabu/	/u ˈʁabu/	sm		ass ()						culo (PT)						queue					Schwanz					cua					coda											Português::Curso::A1 Português::Vocabulario::Corpo::Partes_do_Corpo Português::Vocabulario::Corpo::Tronco Português::Vocabulario::Corpo_Saude
nádegas	nádegas	as nádegas	"<img src=""Buttocks.gif"">"	/ɐʒ ˈnadɨɡɐʃ/	/aʒ ˈnadeɡas/	sfp		buttocks						nalgas						fesses					Gesäß					galtes					natiche											Português::Curso::A1 Português::Vocabulario::Corpo::Tronco
sobrancelhas	sobrancelhas	as sobrancelhas	"<img src=""_sobrancelhas_cejas.gif"">"	/ɐʃ subɾɐ̃ˈsɐʎɐʃ/	/aʃ sobɾɐ̃ˈseʎas/	sfp		eyebrows						cejas						sourcils					Augenbrauen					cebes					sopracciglia											Português::Curso::A1 Português::Vocabulario::Corpo::Rostro Português::Vocabulario::Corpo_Saude
maçã da cara	maçã da cara	a maçã da cara	"<img src=""_pomulos_maça_da_cara.JPG"">"	/ɐ mɐˈsɐ̃ dɐ ˈkaɾɐ/	/a maˈsɐ̃ dɐ ˈkaɾɐ/	exp		cheek						pómulo																																Português::Curso::A1 Português::Vocabulario::Corpo::Rostro Português::Vocabulario::Corpo_Saude
calcanhar, calcanhar de Aquiles	calcanhar	o calcanhar	"<img src=""_calcanhar_talon.JPG"">"	/u kaɫkɐˈɲaɾ/, /u kaɫkɐˈɲaɾ dɨ ɐˈkilɨʃ/	/u kawkɐˈɲaʁ/, /u kawkɐˈɲaʁ dʒi aˈkiles/	exp		heel						talón						talon d'Achille					achillesferse					taló d'Aquil·les					tallone di Achille											Português::Curso::A1 Português::Vocabulario::Corpo::Partes_do_Corpo Português::Vocabulario::Corpo::Pes
bochechas	bochechas	as bochechas	"<img src=""_bochechas.JPG"">"	/ɐʒ buˈʃɐʃɐʃ/	/aʒ boˈʃeʃas/	sfp		cheeks						mejillas						joues					Wangen					galtes					guance											Português::Curso::A1 Português::Vocabulario::Corpo::Partes_do_Corpo Português::Vocabulario::Corpo::Rostro
queixo	queixo	o queixo	"<img src=""_queixo.JPG"">"	/u ˈkɐjʃu/	/u ˈkejʃu/	sm		chin						barbilla						menton					Kinn					barbeta					mento											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
lábios	lábios	os lábios	"<img src=""_labios_lips.JPG"">"	/uʒ ˈlabiuʃ/	/uʒ ˈlabius/	smp		lips						labios						lèvres					Lippen					llavis					labbra											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
pálpebras	pálpebras	as pálpebras	"<img src=""_parpados_palbebras.JPG"">"	/ɐʃ ˈpaɫpɨbɾɐʃ/	/aʃ ˈpawpebɾas/	sfp		eyelids						párpados						paupières					Augenlider					parpelles					palpebre											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
garganta	garganta	a garganta	"<img src=""_garganta.JPG"">"	/ɐ ɡɐɾˈɡɐ̃tɐ/	/a ɡaʁˈɡɐ̃tɐ/	sf		throat						garganta						gorge					Kehle					gola					gola											Português::Curso::A1 Português::Vocabulario::Corpo::Cabeça Português::Vocabulario::Corpo_Saude
ouvidos	ouvidos	os ouvidos	"<img src=""hearing.jpg"">"	/uz oˈviduʃ/	/uz oˈvidus/	smp		ears						oídos						oreilles					Ohren					oïdes					orecchie											Português::Curso::A1 Português::Vocabulario::Corpo::Cabeça Português::Vocabulario::Corpo_Saude
ossos	ossos	os ossos	"<img src=""_leg_bones_ossos_huesos.png"">"	/uz ˈɔsuʃ/	/uz ˈɔsus/	smp		bones						huesos						os					Knochen					ossos					ossa											Português::Curso::A1 Português::Vocabulario::Corpo::Iterno Português::Vocabulario::Corpo_Saude
músculos	músculos	os músculos	"<img src=""_musculos_muscles.JPG"">"	/uʒ ˈmuʃkuluʃ/	/uʒ ˈmuskulus/	smp		muscles						músculos						muscles					Muskeln					músculs					muscoli											Português::Curso::A1 Português::Vocabulario::Corpo::Iterno Português::Vocabulario::Corpo_Saude
articulações	articulações	as articulações	"<img src=""joints_articulaciones.jpg"">"	/ɐz ɐɾtikulɐˈsõj̃ʃ/	/az aʁtʃikulaˈsõj̃s/	sfp		joints						articulaciones						articulations					Gelenke					articulacions					articolazioni											Português::Curso::A1 Português::Vocabulario::Corpo::Iterno
tendões	tendões	os tendões	"<img src=""tendon.JPG"">"	/uʃ tẽˈdõj̃ʃ/	/uʃ tẽˈdõj̃s/	smp		tendons						tendones						tendons					Sehnen					tendons					tendini											Português::Vocabulario::Corpo Português::Vocabulario::Corpo::Iterno
coração	coração	o coração	"<img src=""_coraçao.JPG"">"	/u kuɾɐˈsɐ̃w̃/	/u koɾaˈsɐ̃w̃/	sm		heart						corazón						cœur					Herz					cor					cuore											Português::Curso::A1 Português::Vocabulario::Corpo_Saude
aparelho reprodutor	aparelho reprodutor	o aparelho reprodutor	"<img src=""_aparelho_reprodutor_reproductory_system.JPG"">"	/u ɐpɐˈɾɐʎu ʁɨpɾuduˈtoɾ/	/u apaˈɾeʎu ʁepɾoduˈtoʁ/	exp		reproductive system						sistema reproductor						système reproducteur					Fortpflanzungssystem					sistema reproductor					sistema riproduttivo											Português::Vocabulario::Corpo::Iterno
estômago	estômago	o estômago	"<img src=""_estomago_2.jpeg"">"	/u ˈʃtomɐɡu/	/u isˈtomaɡu/	smf		stomach						estómago						estomac					Magendarm					estómac					stomaco											Português::Curso::A1 Português::Vocabulario::Corpo::Iterno Português::Vocabulario::Corpo_Saude
pés	pés	os pés	"<img src=""_pies_pes_feet.JPG"">"	/uʃ ˈpɛʃ/	/uʃ ˈpɛs/	smp		feet						pies						pieds					Füße					peus					piedi											Português::Curso::A1 Português::Vocabulario::Corpo::Pernas Português::Vocabulario::Corpo_Saude
espirrar	espirrar	espirrar	"<img src=""_espirrar.gif"">"	/ʃpiˈʁaɾ/	/ispiˈʁaʁ/	v		to sneeze						estornudar						éternuer					niesen					esternudar					starnutire											Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Feridas
assoar-se	assoar-se	assoar-se	"<img src=""_precisar_lenços_tissues.JPG"">"	/ɐsuˈaɾsɨ/	/asoˈaʁsi/	v		to blow one's nose						sonarse						se moucher					sich schnäuzen					sonar-se					soffiarsi il naso											Português::Curso::A1 Português::Vocabulario::Corpo_Saude Português::Vocabulario::Corpo_Saude::Tratamento
