10001	bilheteria (de cinema)	a bilheteria	/a bi.ʎɐ.ˈta.ɾi.ɐ/	/a bi.ʎɐ.ˈte.ɾi.ɐ/	sf								taquilla (de cine)					
10002	cabelereiro	o/a cabelereiro	/kɐ.bɨ.ɫɨ.ˈɾɐj.ɾu/	/ka.be.le.ˈɾej.ɾu/	sm/f								peluquero, peluquera					
10003	frutaria	a frutaria	/fɾu.tɐ.ˈɾi.ɐ/	/fɾu.ta.ˈɾi.ɐ/	sf								frutería					
10004	banco	o banco	/ˈbɐ̃.ku/	/ˈbɐ̃.ku/	sm								banco					
10005	farmácia	a farmácia	/fɐɾ.ˈma.sjɐ/	/faʁ.ˈma.sjɐ/	sf								farmacia					
10006	barbeiro	o/a barbeiro	/baɾ.ˈbɐj.ɾu/	/baʁ.ˈbej.ɾu/	sm/f								barbero, barbera					
10007	loja (de roupa)	a loja	/ˈlɔ.ʒɐ/	/ˈlɔ.ʒɐ/	sf								tienda (de ropa)					
10008	hotel	o hotel	/u u.ˈtɛɫ/	/o te.ˈɫ/	sm								hotel					
10009	livaria	a livraria	/li.ˈvɾɐ.ɾi.ɐ/	/li.ˈvɾa.ɾi.ɐ/	sf								librería					
10010	pastelaria	a pastelaria	/pɐʃ.tɨ.ˈla.ɾi.ɐ/	/pɐʃ.te.ˈla.ɾi.ɐ/	sf								pastelería					
10011	papelaria	a papelaria	/pɐ.pɨ.ˈla.ɾi.ɐ/	/pa.pe.ˈla.ɾi.ɐ/	sf								papelería					
10012	talho	o talho	/ˈta.ʎu/	/ˈta.ʎu/	sm								carnicería					
10013	ourivesaria	a ourivesaria	/u.ɾi.vɨ.zɐ.ˈɾi.ɐ/	/u.ɾi.vi.za.ˈɾi.ɐ/	sf								joyería, orfebre					
10014	sapataria	a sapataria	/sɐ.pɐ.ta.ˈɾi.ɐ/	/sɐ.pɐ.ta.ˈɾi.ɐ/	sf								zapatería					
10015	oculista	o oculista	/o.ku.ˈliʃ.tɐ/	/o.ku.ˈlis.tɐ/	sm								optometrista					
10016	florista	o/a florista	/flo.ˈɾiʃ.tɐ/	/flo.ˈɾis.tɐ/	sm/f								florista					
10017	biblioteca	a biblioteca	/bi.bli.u.ˈtɛ.kɐ/	/bi.bli.u.ˈtɛ.kɐ/	sf								biblioteca					
10018	bar	o bar	/bɐɾ/	/baʁ/	sm								bar					
10019	supermercado	o supermercado	/su.pɨɾ.mɛɾ.ka.ˈðu/	/su.peɾ.mɛɾ.ka.ˈdu/	sm								supermercado					
10020	ginásio	o ginásio	ʒi.ˈna.zju/	ʒi.ˈnɐ.zju/	sm								gimnasio					
10021	escola	a escola	/ɨʃ.ˈko.lɐ/	/ɪʃ.ˈko.lɐ/	sf								escuela					
10022	universidade	a universidade	/u.ni.vɨɾ.si.ˈða.ðɨ/	/u.ni.vɨɾ.si.ˈdadi/	sf								universidad					
10023	restaurante	o restaurante	/ʁɨs.tɐu.ɾɐ̃.ˈtɨ/	/ʁeʃ.tɐu.ˈɾɐ̃.tʃi/	sm								restaurante					
10024	cinema	o cinema	/si.ˈne.mɐ/	/si.ˈne.mɐ/	sm								cinema					
10025	praia	a praia	/ˈpɾaj.ɐ/	/ˈpɾaj.ɐ/	sf								playa					
10026	museu	o museu	/mu.ˈze.w/	/mu.ˈzew/	sm								museo					
10027	mercearia	a mercearia	/mɛɾ.si.ɐ.ˈɾi.ɐ/	/mɛɾ.se.ɐ.ˈɾi.ɐ/	sf								tienda de comestibles					
10028	hospital	o hospital	/uʃ.pi.ˈtaɫ/	/oʃ.pi.ˈtau/	sm								hospital					
10029	parque	o parque	/ˈpaɾ.kɨ/	/ˈpaɾ.ki/	sm								parque					
10030	parlamento	o parlamento	/paɾ.lɐ.ˈmẽ.tu/	/paʁ.la.ˈmẽ.tu/	sm								parlamento					
10031	jardim	o jardim	/ʒɐɾ.ˈdʒĩ/	/ʒaʁ.ˈdʒĩ/	sm								jardín					
10032	aeroporto	o aeroporto	/ɐi.ɾu.ˈpoɾ.tu/	/a.i.ɾu.ˈpoɾ.tu/	sm								aeropuerto					
10033	residência	a residência	/ʁɨ.zi.ˈðẽ.si.ɐ/	/ʁe.zi.ˈðẽ.si.ɐ/	sf								residencia					
10034	laboratório	o laboratório	/lɐ.bo.ɾa.ˈtɔ.ɾi.u/	/la.bo.ɾa.ˈtɔ.ɾi.u/	sm								laboratorio					
10035	estação (de metrô, de correios)	a estação	/es.tɐ.si.ˈɐ̃w̃/	/es.ta.si.ˈɐ̃w̃/	sf								estación					
10036	teatro	o teatro	/tɨ.ˈa.tɾu/	/tɨ.ˈa.tɾu/	sm								teatro					
10037	quiosque	o quiosque	/ki.ˈɔʃ.kɨ/	/ki.ˈɔʃ.ki/	sm								kiosco					
10038	correios	os correios	/ko.ˈɾɐjʃ/	/ko.ˈʁejʃ/	sm								correos					
10039	padaria	a padaria	/pɐ.ðɐ.ˈɾi.ɐ/	/pa.ða.ˈɾi.ɐ/	sf								panadería					Muy poco común en las ciudades (PT) porque el pan normalmente se puede comprar en la pastelaria, que además funciona como café, donde se puede también almorzar (pero no cenar). 
